time,retire,frontend,backend,speculate,
 1.0,33.6,44.8,16.0, 5.6,
 2.0,22.1,65.2,10.0, 2.7,
 3.0,35.4,39.9,20.8, 3.9,
 4.0,44.1,39.3,14.8, 1.8,
 5.0,50.5,29.2,17.4, 2.8,
 6.0,31.8,30.6,36.3, 1.3,
 7.0,41.1,24.3,30.7, 3.8,
 8.0,37.8,24.0,34.1, 4.1,
 9.0,40.7,23.5,31.4, 4.3,
10.0,42.0,22.7,30.9, 4.4,
11.0,40.2,23.9,31.6, 4.2,
12.0,39.4,23.5,32.9, 4.2,
13.0,40.1,23.0,32.7, 4.1,
14.0,41.2,22.8,31.8, 4.2,
15.0,38.5,23.7,33.7, 4.1,
16.0,41.7,23.0,31.0, 4.3,
17.0,42.7,22.6,30.4, 4.3,
18.0,41.3,24.3,30.6, 3.8,
19.0,39.1,24.1,32.7, 4.0,
20.0,43.2,22.9,29.6, 4.3,
21.0,41.0,23.4,31.4, 4.1,
22.0,41.8,23.3,30.8, 4.1,
23.0,37.8,23.7,34.4, 4.1,
24.0,40.1,23.8,32.0, 4.1,
25.0,42.8,21.6,31.1, 4.4,
26.0,39.8,23.3,32.8, 4.1,
27.0,40.0,23.9,32.2, 4.0,
28.0,38.2,23.9,33.9, 4.0,
29.0,39.5,23.2,33.2, 4.1,
30.0,38.2,23.4,34.5, 4.0,
31.0,41.5,23.4,30.9, 4.2,
32.0,39.3,23.7,32.9, 4.2,
33.0,41.1,23.5,31.2, 4.2,
34.0,37.4,23.3,35.2, 4.0,
35.0,40.7,23.4,31.8, 4.1,
36.0,39.3,23.3,33.3, 4.0,
37.0,43.1,21.4,30.9, 4.6,
38.0,38.0,23.4,34.5, 4.1,
39.0,41.6,22.4,31.7, 4.3,
40.0,41.7,23.0,31.2, 4.1,
41.0,37.8,23.7,34.4, 4.1,
42.0,41.6,22.5,31.7, 4.2,
43.0,38.1,24.3,33.6, 3.9,
44.0,42.0,22.5,31.2, 4.3,
45.0,38.6,23.8,33.6, 4.1,
46.0,40.0,23.6,32.3, 4.2,
47.0,41.8,22.6,31.2, 4.3,
48.0,40.2,23.4,32.5, 4.0,
49.0,45.2,21.3,29.2, 4.3,
50.0,40.5,23.2,32.3, 3.9,
51.0,38.8,24.2,33.2, 3.9,
52.0,40.4,23.2,32.1, 4.2,
53.0,39.3,24.1,32.5, 4.2,
54.0,41.7,22.5,31.4, 4.4,
55.0,41.7,22.4,31.6, 4.4,
56.0,41.5,22.9,31.3, 4.3,
57.0,48.6,19.9,27.2, 4.3,
58.0,45.9,21.7,28.0, 4.4,
59.0,39.4,22.8,33.6, 4.2,
60.0,37.6,24.1,34.3, 4.0,
61.0,39.8,23.3,32.7, 4.1,
62.0,39.5,23.0,33.3, 4.2,
63.0,40.7,23.2,31.9, 4.2,
64.0,40.5,22.9,32.3, 4.2,
65.0,39.8,23.9,32.2, 4.1,
66.0,41.3,22.9,31.5, 4.3,
67.0,41.7,22.9,31.1, 4.2,
68.0,42.2,22.4,31.3, 4.2,
69.0,39.9,23.1,32.8, 4.1,
70.0,36.5,24.2,35.3, 4.0,
71.0,38.9,22.9,34.0, 4.2,
72.0,37.9,23.8,34.2, 4.0,
73.0,39.7,23.5,32.7, 4.0,
74.0,39.6,23.2,33.1, 4.1,
75.0,42.6,22.2,30.8, 4.3,
76.0,41.5,22.6,31.6, 4.2,
77.0,40.7,22.7,32.4, 4.2,
78.0,38.0,24.0,34.1, 3.9,
79.0,39.9,23.8,32.2, 4.0,
80.0,39.9,23.0,33.0, 4.2,
81.0,37.7,23.6,34.5, 4.1,
82.0,39.9,23.1,32.9, 4.1,
83.0,39.6,23.3,33.0, 4.1,
84.0,40.1,23.5,32.5, 3.9,
85.0,39.1,23.4,33.4, 4.1,
86.0,39.8,23.1,33.0, 4.1,
87.0,40.2,23.2,32.5, 4.2,
88.0,39.8,22.4,33.5, 4.2,
89.0,39.0,22.9,34.0, 4.1,
90.0,39.9,23.4,32.6, 4.0,
91.0,38.4,24.0,33.5, 4.0,
92.0,38.4,24.2,33.3, 4.1,
93.0,36.5,23.7,35.9, 3.9,
