time,load,runnable,cpu,idle,iowait,irq,net lo,net enp2s0,net wlp3s0,net docker0,
 1.0,1.25,2,6.75%,0.00%,0.00%,0.88%,0,0,0,0,
 2.0,1.25,2,7.06%,0.00%,0.00%,0.50%,0,186,60,0,
 3.0,1.25,2,2.88%,0.00%,0.00%,0.38%,782,46295,268,0,
 4.0,1.25,2,5.50%,0.75%,0.00%,0.19%,0,268,134,0,
 5.0,1.25,2,6.19%,0.00%,0.00%,0.00%,0,394,274,0,
 6.0,2.43,17,74.50%,0.38%,0.00%,0.00%,0,198,60,0,
 7.0,2.43,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
 8.0,2.43,17,100.06%,0.00%,0.00%,0.00%,0,1772,840,0,
 9.0,2.43,17,99.94%,0.00%,0.00%,0.00%,0,1656,694,0,
10.0,2.43,17,100.00%,0.00%,0.00%,0.00%,0,1750,126,0,
11.0,3.52,17,100.44%,0.00%,0.00%,0.00%,0,0,0,0,
12.0,3.52,17,100.00%,0.00%,0.00%,0.00%,0,148,148,0,
13.0,3.52,17,99.94%,0.00%,0.00%,0.00%,0,0,0,0,
14.0,3.52,17,100.06%,0.00%,0.00%,0.00%,0,120,60,0,
15.0,3.52,17,100.00%,0.00%,0.00%,0.00%,0,460,260,0,
16.0,4.52,17,99.94%,0.00%,0.00%,0.00%,0,648,324,0,
17.0,4.52,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
18.0,4.52,17,100.06%,0.00%,0.00%,0.00%,0,120,60,0,
19.0,4.52,17,100.00%,0.00%,0.00%,0.00%,0,608,200,0,
20.0,4.52,17,100.00%,0.00%,0.00%,0.00%,0,246,126,0,
21.0,5.44,17,99.94%,0.00%,0.00%,0.00%,0,0,60,0,
22.0,5.44,17,100.06%,0.00%,0.00%,0.00%,0,120,60,0,
23.0,5.44,17,99.94%,0.00%,0.00%,0.00%,0,120,60,0,
24.0,5.44,17,100.06%,0.00%,0.00%,0.00%,0,230,60,0,
25.0,5.44,17,100.00%,0.00%,0.00%,0.00%,0,366,126,0,
26.0,6.28,17,100.38%,0.00%,0.00%,0.00%,0,120,60,0,
27.0,6.28,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
28.0,6.28,17,100.00%,0.00%,0.00%,0.00%,0,120,190,0,
29.0,6.28,17,100.00%,0.00%,0.00%,0.00%,0,0,74,0,
30.0,6.28,17,100.00%,0.00%,0.00%,0.00%,0,246,186,0,
31.0,7.06,17,99.94%,0.00%,0.00%,0.00%,0,186,60,0,
