time,load,runnable,cpu,idle,iowait,irq,net lo,net enp2s0,net wlp3s0,net docker0,
 1.0,0.92,2,6.69%,0.00%,0.00%,0.44%,0,120,60,0,
 2.0,0.92,2,6.88%,0.00%,0.00%,0.31%,0,66,0,0,
 3.0,0.85,1,3.06%,0.00%,0.00%,0.38%,782,46694,104,0,
 4.0,0.85,17,37.38%,0.06%,0.00%,0.00%,0,0,0,0,
 5.0,0.85,17,100.00%,0.00%,0.00%,0.00%,0,126,126,0,
 6.0,0.85,17,100.00%,0.00%,0.00%,0.00%,0,258,60,0,
 7.0,0.85,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
 8.0,2.06,17,100.00%,0.00%,0.00%,0.00%,0,120,164,0,
 9.0,2.06,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
10.0,2.06,17,100.44%,0.00%,0.00%,0.00%,0,246,186,0,
11.0,2.06,17,99.94%,0.00%,0.00%,0.00%,0,0,0,0,
12.0,2.06,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
13.0,3.18,17,100.06%,0.00%,0.00%,0.00%,0,0,0,0,
14.0,3.18,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
15.0,3.18,17,99.94%,0.00%,0.00%,0.00%,0,312,186,0,
16.0,3.18,17,100.00%,0.00%,0.00%,0.00%,0,290,290,0,
17.0,3.18,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
18.0,4.20,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
19.0,4.20,17,100.06%,0.00%,0.00%,0.00%,0,268,208,0,
20.0,4.20,17,100.00%,0.00%,0.00%,0.00%,0,126,126,0,
21.0,4.20,17,99.94%,0.00%,0.00%,0.00%,0,0,0,0,
22.0,4.20,17,100.06%,0.00%,0.00%,0.00%,0,148,74,0,
23.0,5.15,17,100.38%,0.00%,0.00%,0.00%,0,0,0,0,
24.0,5.15,17,99.94%,0.00%,0.00%,0.00%,0,0,0,0,
