time,retire,frontend,backend,speculate,
 1.0,33.4,45.2,15.9, 5.6,
 2.0,22.5,64.0,10.6, 2.8,
 3.0,28.5,46.8,20.1, 4.6,
 4.0, 9.6,35.3,54.9, 0.3,
 5.0, 2.8, 5.0,92.2, 0.1,
 6.0, 3.4, 1.9,94.6, 0.1,
 7.0, 2.5, 1.4,96.0, 0.1,
 8.0, 2.6, 1.5,95.9, 0.1,
 9.0, 3.1, 1.8,95.1, 0.1,
10.0, 2.3, 1.2,96.5, 0.1,
11.0, 3.3, 2.3,94.4, 0.1,
12.0, 2.0, 1.0,96.9, 0.1,
13.0, 3.2, 2.1,94.7, 0.1,
14.0, 2.1, 1.1,96.7, 0.1,
15.0, 3.0, 2.1,94.9, 0.1,
16.0, 1.8, 0.9,97.2, 0.1,
17.0, 2.9, 2.0,95.0, 0.1,
18.0, 2.0, 1.2,96.7, 0.1,
19.0, 2.6, 1.7,95.7, 0.1,
20.0, 2.6, 1.6,95.7, 0.1,
21.0, 2.3, 1.2,96.5, 0.1,
22.0, 2.7, 1.9,95.3, 0.1,
23.0, 1.9, 1.1,97.0, 0.1,
24.0, 2.4, 1.6,95.9, 0.1,
25.0, 2.6, 1.7,95.6, 0.1,
26.0, 2.0, 1.1,96.9, 0.1,
27.0, 2.6, 1.8,95.5, 0.1,
28.0, 2.3, 1.5,96.1, 0.1,
29.0, 1.9, 1.1,96.9, 0.1,
30.0, 2.5, 1.6,95.8, 0.1,
31.0, 2.3, 1.5,96.1, 0.1,
32.0, 2.0, 1.1,96.9, 0.1,
33.0, 2.4, 1.6,95.9, 0.1,
34.0, 2.4, 1.5,96.0, 0.1,
35.0, 2.0, 1.1,96.8, 0.1,
36.0, 2.4, 1.6,96.0, 0.1,
37.0, 2.4, 1.6,95.9, 0.1,
38.0, 2.1, 1.2,96.7, 0.1,
39.0, 2.3, 1.6,96.1, 0.1,
40.0, 2.4, 1.5,96.1, 0.1,
41.0, 2.0, 1.0,96.9, 0.1,
42.0, 2.3, 1.3,96.3, 0.1,
43.0, 2.4, 1.6,96.0, 0.1,
44.0, 2.1, 1.3,96.5, 0.1,
45.0, 2.0, 1.1,96.8, 0.1,
46.0, 2.3, 1.5,96.2, 0.1,
47.0, 2.4, 1.4,96.1, 0.1,
48.0, 1.9, 1.0,97.0, 0.1,
49.0, 2.0, 1.1,96.8, 0.1,
50.0, 2.4, 1.5,96.1, 0.1,
51.0, 2.3, 1.4,96.2, 0.1,
52.0, 1.8, 0.9,97.2, 0.1,
53.0, 2.0, 1.1,96.9, 0.1,
54.0, 2.3, 1.5,96.2, 0.1,
55.0, 2.3, 1.4,96.3, 0.1,
56.0, 1.9, 1.0,97.0, 0.1,
57.0, 1.9, 0.9,97.1, 0.1,
58.0, 2.2, 1.2,96.5, 0.1,
59.0, 2.3, 1.4,96.2, 0.1,
60.0, 2.1, 1.3,96.5, 0.1,
61.0, 1.8, 0.9,97.2, 0.1,
62.0, 2.1, 1.0,96.8, 0.1,
63.0, 2.2, 1.4,96.3, 0.1,
64.0, 2.3, 1.4,96.3, 0.1,
65.0, 2.0, 1.0,96.9, 0.1,
66.0, 2.1, 1.1,96.8, 0.1,
67.0, 2.2, 1.3,96.5, 0.1,
68.0, 2.3, 1.4,96.3, 0.1,
69.0, 2.0, 1.1,96.8, 0.1,
70.0, 1.8, 1.0,97.1, 0.1,
71.0, 2.0, 1.0,96.9, 0.1,
72.0, 2.3, 1.4,96.3, 0.1,
73.0, 2.3, 1.3,96.3, 0.1,
74.1, 2.0, 1.0,96.9, 0.1,
75.1, 2.1, 1.2,96.7, 0.1,
76.1, 2.2, 1.4,96.3, 0.1,
77.1, 2.3, 1.3,96.3, 0.1,
