time,load,runnable,cpu,idle,iowait,irq,net lo,net enp2s0,net wlp3s0,net docker0,
 1.0,0.61,2,7.00%,0.00%,0.00%,0.56%,0,126,126,0,
 2.0,0.61,2,6.44%,0.00%,0.00%,0.19%,0,0,0,0,
 3.0,0.56,2,2.50%,0.00%,0.00%,0.00%,912,46856,583,0,
 4.0,0.56,17,81.69%,0.19%,0.00%,0.25%,0,1580,608,0,
 5.0,0.56,17,99.88%,0.00%,0.00%,0.00%,0,364,286,0,
 6.0,0.56,17,100.00%,0.00%,0.00%,0.00%,0,554,327,0,
 7.0,0.56,17,100.44%,0.00%,0.00%,0.00%,0,548,194,0,
 8.0,1.79,17,100.00%,0.00%,0.00%,0.00%,0,60,146,0,
 9.0,1.79,17,100.00%,0.00%,0.00%,0.00%,0,2482,1796,0,
10.0,1.79,17,100.00%,0.00%,0.00%,0.00%,0,148,148,0,
11.0,1.79,17,100.00%,0.00%,0.00%,0.00%,0,246,186,0,
12.0,1.79,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
13.0,2.93,17,100.38%,0.00%,0.00%,0.00%,0,264,190,0,
14.0,2.93,17,100.00%,0.00%,0.00%,0.06%,0,1640,972,0,
15.0,2.93,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
16.0,2.93,17,100.00%,0.00%,0.00%,0.00%,0,394,260,0,
17.0,2.93,19,100.00%,0.00%,0.00%,0.00%,0,344,172,0,
18.0,3.98,17,100.00%,0.00%,0.00%,0.00%,0,180,120,0,
19.0,3.98,17,100.38%,0.00%,0.00%,0.00%,0,1700,1336,0,
20.0,3.98,18,100.06%,0.00%,0.00%,0.00%,0,60,60,0,
21.0,3.98,17,99.94%,0.00%,0.00%,0.00%,0,246,186,0,
22.0,3.98,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
23.0,4.94,18,100.00%,0.00%,0.00%,0.00%,0,258,60,0,
24.0,4.94,17,100.06%,0.00%,0.00%,0.00%,0,1659,608,0,
25.0,4.94,17,100.31%,0.00%,0.00%,0.00%,0,180,120,0,
26.0,4.94,17,100.00%,0.00%,0.00%,0.00%,0,678,372,0,
27.0,4.94,17,100.00%,0.00%,0.00%,0.00%,0,236,102,0,
28.0,5.83,17,100.00%,0.00%,0.00%,0.00%,0,296,102,0,
29.0,5.83,17,100.06%,0.00%,0.00%,0.00%,0,1837,972,0,
30.0,5.83,17,99.94%,0.00%,0.00%,0.00%,0,180,120,0,
31.0,5.83,17,100.00%,0.00%,0.00%,0.00%,0,126,126,0,
32.0,5.83,17,100.44%,0.00%,0.00%,0.06%,0,454,122,0,
33.0,6.64,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
34.0,6.64,17,99.88%,0.00%,0.00%,0.06%,0,1508,450,0,
35.0,6.64,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
36.0,6.64,17,100.00%,0.00%,0.00%,0.00%,0,186,126,0,
37.0,6.64,17,100.00%,0.00%,0.00%,0.00%,0,180,102,0,
38.0,7.39,17,100.00%,0.00%,0.00%,0.00%,0,0,42,0,
39.0,7.39,17,100.31%,0.00%,0.00%,0.06%,0,1456,1074,0,
40.0,7.39,17,99.94%,0.00%,0.00%,0.06%,0,366,225,0,
41.0,7.39,17,100.06%,0.00%,0.00%,0.00%,0,366,288,0,
42.0,7.39,17,100.00%,0.00%,0.00%,0.00%,0,296,84,0,
43.0,8.08,17,99.94%,0.00%,0.00%,0.00%,0,116,102,0,
44.0,8.08,17,100.00%,0.00%,0.00%,0.00%,0,1756,1014,0,
45.0,8.08,17,100.44%,0.00%,0.00%,0.00%,0,156,78,0,
46.0,8.08,17,100.00%,0.00%,0.00%,0.00%,0,306,246,0,
47.0,8.08,17,100.00%,0.00%,0.00%,0.00%,0,60,60,0,
