time,retire,frontend,backend,speculate,
 1.0,33.4,44.8,16.3, 5.6,
 2.0,22.4,64.8,10.1, 2.7,
 3.0,28.5,45.5,21.8, 4.2,
 4.0,22.2,47.9,16.6,13.4,
 5.0,18.9,53.3,14.5,13.4,
 6.0,16.4,56.2,13.5,13.8,
 7.0,14.7,56.8,13.4,15.1,
 8.0,14.0,57.4,12.4,16.2,
 9.0,14.6,56.4,12.7,16.3,
10.0,17.9,48.7,19.3,14.2,
11.0,15.5, 9.9,69.2, 5.5,
12.0,12.4, 8.6,73.7, 5.2,
13.0,12.0, 7.9,75.2, 4.9,
14.0,15.8,10.6,67.7, 5.9,
15.0,10.8,35.7,45.3, 8.2,
16.0,21.2,32.7,35.8,10.3,
17.0,20.0,21.8,51.8, 6.5,
18.0,17.5, 7.8,69.3, 5.4,
19.0,15.6, 7.2,72.3, 4.9,
20.0,14.0, 6.8,74.6, 4.5,
21.0,13.4, 6.5,75.6, 4.4,
22.0,13.5, 6.2,75.8, 4.5,
23.0,13.6, 6.1,75.8, 4.5,
24.0,13.9, 6.4,75.0, 4.6,
25.0,17.0, 9.4,68.1, 5.5,
26.0, 8.0,41.4,40.6,10.0,
27.0, 4.9,19.5,70.4, 5.1,
28.0,16.0,45.3,25.1,13.6,
29.0,14.9,48.8,21.9,14.4,
30.0,14.7,47.9,23.3,14.0,
31.0,14.9,46.6,24.9,13.6,
32.0,16.2,42.3,28.8,12.7,
33.0,23.6,30.5,35.2,10.6,
34.0,22.6,10.8,60.1, 6.5,
35.0,20.7, 8.5,65.1, 5.7,
36.0,24.4, 9.8,59.6, 6.1,
37.0,16.2,32.4,43.0, 8.3,
38.0, 4.3,29.4,59.5, 6.8,
39.0,12.5,39.6,35.4,12.5,
40.0,13.9,50.1,20.4,15.6,
41.0,13.7,49.1,22.1,15.1,
42.0,14.5,46.2,25.2,14.1,
43.0,15.7,42.4,29.2,12.8,
44.0,17.1,39.5,31.5,11.9,
45.0,20.2,32.3,37.2,10.3,
46.0,28.6,20.0,43.8, 7.6,
47.0,24.7,13.4,55.3, 6.7,
48.0,18.7, 7.6,68.5, 5.3,
49.0,17.2, 7.5,70.0, 5.2,
50.0,19.6, 9.7,64.5, 6.2,
51.0,16.9,26.2,48.3, 8.6,
52.0, 4.8,30.0,57.4, 7.7,
53.0,10.6,37.0,41.2,11.1,
54.0,14.4,48.0,23.3,14.3,
55.0,15.2,44.4,27.3,13.2,
56.0,17.5,37.2,34.3,11.0,
57.0,24.5,26.0,41.3, 8.2,
58.0,24.8,14.6,54.0, 6.7,
59.0,20.0, 8.8,65.3, 5.9,
60.0,20.7, 9.3,64.0, 6.0,
61.0,23.0,10.8,59.5, 6.7,
62.0,20.3,21.1,50.5, 8.2,
63.0, 7.4,31.4,52.6, 8.6,
64.0, 8.3,29.9,52.6, 9.2,
65.0,14.3,46.0,25.7,14.0,
66.0,15.7,43.0,28.2,13.0,
67.0,17.4,38.1,32.9,11.5,
68.0,21.5,28.7,40.6, 9.1,
69.0,27.7,16.4,49.6, 6.3,
70.0,23.6,10.0,60.6, 5.8,
71.0,21.0, 8.1,65.3, 5.6,
72.0,21.9, 9.7,62.1, 6.3,
73.0,18.7,23.7,49.0, 8.6,
74.0, 8.0,30.0,53.8, 8.1,
75.0, 9.4,31.8,49.0, 9.8,
76.0,15.3,45.3,26.0,13.5,
77.0,17.2,39.9,31.1,11.8,
78.0,22.1,30.1,38.6, 9.2,
79.0,27.6,17.7,47.9, 6.8,
80.0,26.1,11.1,56.2, 6.6,
81.0,25.4,10.4,57.3, 6.9,
82.0,25.5,13.9,52.9, 7.7,
83.0,16.7,28.9,45.3, 9.1,
84.0, 7.4,32.0,52.6, 8.0,
85.0,10.4,35.1,44.1,10.4,
86.0,15.4,44.4,27.0,13.2,
87.0,18.4,37.6,32.6,11.4,
88.0,24.8,24.5,42.6, 8.1,
89.0,28.4,14.7,50.5, 6.4,
