time,retire,frontend,backend,speculate,
 1.0,33.6,45.2,15.7, 5.6,
 2.0,22.1,64.7,10.5, 2.7,
 3.0,53.7,27.4,16.1, 2.8,
 4.0,11.8,26.8,61.0, 0.5,
 5.0, 6.7,19.6,73.6, 0.1,
 6.0, 3.1, 4.6,92.3, 0.1,
 7.0, 3.7, 4.2,92.1, 0.1,
 8.0, 5.1,14.3,80.6, 0.1,
 9.0, 3.4, 4.0,92.5, 0.1,
10.0, 4.3, 3.9,91.7, 0.1,
11.0, 4.2, 4.3,91.4, 0.1,
12.0, 3.6, 3.8,92.6, 0.1,
13.0, 4.7, 4.1,91.2, 0.1,
14.0, 3.5, 3.7,92.8, 0.1,
15.0, 3.8, 4.0,92.1, 0.1,
16.0, 4.5, 4.1,91.3, 0.1,
17.0, 3.9, 4.0,92.0, 0.1,
18.0, 4.5, 4.1,91.3, 0.1,
19.0, 3.9, 3.8,92.2, 0.1,
20.0, 4.0, 4.1,91.9, 0.1,
21.0, 4.5, 4.1,91.3, 0.1,
22.0, 3.8, 3.9,92.3, 0.1,
23.0, 4.6, 4.3,91.1, 0.1,
24.0, 3.9, 4.0,92.1, 0.1,
25.0, 4.0, 4.1,91.8, 0.1,
26.0, 4.5, 4.0,91.5, 0.1,
27.0, 3.9, 3.9,92.1, 0.1,
28.0, 4.5, 4.3,91.1, 0.1,
29.0, 3.9, 3.9,92.2, 0.1,
30.0, 4.2, 4.0,91.7, 0.1,
31.0, 4.1, 4.0,91.8, 0.1,
32.0, 4.1, 3.9,91.9, 0.1,
33.0, 4.4, 4.2,91.3, 0.1,
34.0, 3.9, 4.0,92.1, 0.1,
35.0, 4.2, 4.0,91.7, 0.1,
36.0, 4.1, 4.1,91.7, 0.1,
37.0, 4.0, 3.9,92.1, 0.1,
38.0, 4.5, 4.2,91.2, 0.1,
39.0, 3.8, 3.8,92.3, 0.1,
40.0, 4.2, 4.0,91.7, 0.1,
41.0, 4.2, 4.0,91.8, 0.1,
42.0, 4.0, 3.9,92.1, 0.1,
43.0, 4.5, 4.1,91.4, 0.1,
44.0, 3.8, 3.8,92.3, 0.1,
45.0, 4.3, 4.0,91.7, 0.1,
46.0, 4.2, 4.0,91.7, 0.1,
47.0, 3.9, 3.9,92.0, 0.1,
48.0, 4.5, 4.0,91.5, 0.1,
49.0, 3.7, 3.8,92.4, 0.1,
50.0, 4.4, 4.0,91.6, 0.1,
51.0, 4.4, 4.0,91.5, 0.1,
52.0, 3.8, 3.9,92.2, 0.1,
53.0, 4.3, 4.2,91.4, 0.1,
54.0, 3.7, 3.9,92.3, 0.1,
55.0, 4.4, 4.4,91.1, 0.1,
56.0, 4.3, 4.4,91.3, 0.1,
57.0, 4.0, 4.0,91.9, 0.1,
58.0, 4.3, 4.5,91.2, 0.1,
59.0, 3.7, 4.0,92.3, 0.1,
60.0, 4.4, 4.5,91.1, 0.1,
61.0, 4.2, 4.5,91.2, 0.1,
62.0, 4.0, 4.3,91.7, 0.1,
63.0, 4.3, 4.6,91.1, 0.1,
64.0, 3.8, 4.3,91.9, 0.1,
65.0, 4.3, 4.4,91.2, 0.1,
66.0, 4.3, 4.3,91.3, 0.1,
67.0, 4.1, 4.1,91.7, 0.1,
68.0, 4.2, 4.2,91.5, 0.1,
69.0, 3.9, 4.2,91.9, 0.1,
70.0, 4.0, 4.3,91.6, 0.1,
71.0, 4.4, 4.3,91.2, 0.1,
72.0, 4.2, 4.2,91.6, 0.1,
73.0, 4.0, 4.1,91.9, 0.1,
74.0, 4.2, 4.1,91.6, 0.1,
75.0, 3.8, 4.4,91.8, 0.1,
76.0, 4.4, 4.1,91.4, 0.1,
77.0, 4.1, 4.4,91.4, 0.1,
78.0, 4.0, 3.9,92.0, 0.1,
79.0, 4.4, 3.9,91.6, 0.1,
80.0, 3.7, 4.1,92.1, 0.1,
81.0, 4.4, 4.1,91.5, 0.1,
82.0, 4.1, 4.2,91.7, 0.1,
83.0, 3.9, 4.2,91.8, 0.1,
84.0, 4.4, 4.1,91.5, 0.1,
85.0, 3.8, 4.2,91.9, 0.1,
86.0, 4.3, 4.3,91.3, 0.1,
87.0, 4.1, 4.3,91.5, 0.1,
88.0, 4.1, 4.0,91.9, 0.1,
89.0, 4.4, 4.2,91.4, 0.1,
90.0, 3.9, 4.0,92.0, 0.1,
91.0, 4.2, 4.0,91.7, 0.1,
92.0, 4.1, 4.2,91.6, 0.1,
93.0, 4.1, 4.0,91.8, 0.1,
94.0, 4.4, 4.1,91.5, 0.1,
95.0, 3.9, 3.9,92.1, 0.1,
96.0, 4.2, 3.9,91.8, 0.1,
97.0, 4.1, 4.1,91.7, 0.1,
98.0, 4.0, 4.0,91.9, 0.1,
99.0, 4.3, 4.2,91.4, 0.1,
100.0, 3.9, 3.9,92.1, 0.1,
101.0, 4.2, 4.1,91.7, 0.1,
102.0, 4.1, 4.2,91.7, 0.1,
103.0, 4.1, 4.2,91.7, 0.1,
104.0, 4.4, 4.4,91.1, 0.1,
105.0, 3.9, 3.9,92.1, 0.1,
106.0, 4.2, 4.3,91.4, 0.1,
107.0, 4.0, 4.2,91.7, 0.1,
108.0, 4.1, 4.2,91.6, 0.1,
109.0, 4.5, 4.4,91.1, 0.1,
110.0, 4.0, 3.9,92.1, 0.1,
111.1, 4.2, 4.4,91.3, 0.1,
112.1, 4.0, 4.3,91.6, 0.1,
113.1, 4.1, 4.1,91.8, 0.1,
114.1, 4.2, 4.6,91.1, 0.1,
115.1, 4.1, 4.0,91.9, 0.1,
116.1, 4.2, 4.4,91.4, 0.1,
117.1, 4.1, 4.4,91.4, 0.1,
118.1, 4.0, 4.0,92.0, 0.1,
119.1, 4.3, 4.6,91.1, 0.1,
120.1, 4.0, 4.0,92.0, 0.1,
121.1, 4.2, 4.2,91.5, 0.1,
122.1, 3.9, 4.4,91.6, 0.1,
123.1, 4.0, 4.0,91.9, 0.1,
124.1, 4.2, 4.3,91.5, 0.1,
125.1, 4.3, 4.0,91.6, 0.1,
126.1, 4.1, 4.4,91.4, 0.1,
127.1, 4.0, 4.2,91.7, 0.1,
128.1, 4.1, 4.2,91.7, 0.1,
129.1, 4.0, 4.3,91.6, 0.1,
130.1, 4.3, 4.0,91.5, 0.1,
131.1, 4.1, 4.3,91.5, 0.1,
132.1, 4.1, 4.2,91.7, 0.1,
133.1, 4.3, 4.2,91.5, 0.1,
134.1, 4.0, 4.1,91.8, 0.1,
135.1, 4.3, 4.1,91.5, 0.1,
136.1, 4.1, 4.3,91.6, 0.1,
137.1, 3.9, 4.3,91.7, 0.1,
138.1, 4.2, 4.3,91.5, 0.1,
139.1, 4.1, 4.2,91.7, 0.1,
140.1, 4.3, 4.1,91.5, 0.1,
141.1, 4.0, 4.4,91.5, 0.1,
142.1, 4.1, 4.3,91.6, 0.1,
143.1, 4.1, 4.2,91.6, 0.1,
144.1, 4.2, 4.1,91.6, 0.1,
145.1, 4.3, 4.2,91.5, 0.1,
146.1, 4.0, 4.3,91.6, 0.1,
147.1, 4.1, 4.3,91.6, 0.1,
148.1, 4.0, 4.2,91.7, 0.1,
149.1, 4.1, 4.4,91.3, 0.1,
150.1, 4.3, 4.1,91.5, 0.1,
151.1, 3.9, 4.3,91.8, 0.1,
152.1, 4.2, 4.4,91.4, 0.1,
153.1, 3.8, 4.1,92.1, 0.1,
154.1, 4.2, 4.4,91.3, 0.1,
155.1, 4.3, 4.2,91.4, 0.1,
156.1, 4.1, 4.2,91.7, 0.1,
157.1, 4.2, 4.3,91.4, 0.1,
158.1, 3.8, 4.2,91.9, 0.1,
159.1, 4.2, 4.2,91.5, 0.1,
160.1, 4.3, 4.5,91.2, 0.1,
161.1, 4.1, 4.1,91.6, 0.1,
162.1, 4.2, 4.2,91.5, 0.1,
163.1, 3.8, 4.2,91.9, 0.1,
164.1, 4.2, 4.2,91.5, 0.1,
165.1, 4.3, 4.4,91.2, 0.1,
166.1, 4.2, 4.1,91.7, 0.1,
167.1, 4.2, 4.3,91.6, 0.1,
168.1, 3.8, 4.3,91.8, 0.1,
169.1, 4.2, 4.3,91.4, 0.1,
170.1, 4.3, 4.3,91.3, 0.1,
171.1, 4.2, 4.2,91.5, 0.1,
172.1, 4.0, 4.2,91.8, 0.1,
173.1, 4.0, 4.3,91.6, 0.1,
174.1, 4.1, 4.4,91.4, 0.1,
175.1, 4.3, 4.4,91.3, 0.1,
176.1, 4.2, 4.4,91.4, 0.1,
177.1, 4.1, 4.3,91.6, 0.1,
178.1, 4.0, 4.3,91.6, 0.1,
179.1, 4.0, 4.4,91.5, 0.1,
180.1, 4.4, 4.1,91.4, 0.1,
181.1, 4.1, 4.3,91.5, 0.1,
182.1, 4.1, 4.2,91.7, 0.1,
183.1, 4.0, 4.1,91.8, 0.1,
184.1, 4.1, 4.3,91.6, 0.1,
185.1, 4.3, 4.1,91.5, 0.1,
186.1, 4.2, 4.2,91.6, 0.1,
187.1, 4.1, 4.3,91.6, 0.1,
188.1, 4.0, 4.2,91.7, 0.1,
189.1, 4.2, 4.3,91.4, 0.1,
190.1, 4.1, 4.1,91.7, 0.1,
191.1, 4.1, 4.3,91.5, 0.1,
192.1, 4.2, 4.3,91.4, 0.1,
193.1, 4.0, 4.2,91.7, 0.1,
194.1, 4.3, 4.2,91.4, 0.1,
195.1, 4.1, 4.1,91.8, 0.1,
196.1, 4.1, 4.2,91.6, 0.1,
197.1, 4.2, 4.2,91.5, 0.1,
198.1, 4.1, 4.2,91.7, 0.1,
199.1, 4.3, 4.2,91.4, 0.1,
200.1, 4.1, 3.9,91.9, 0.1,
201.1, 4.2, 4.3,91.4, 0.1,
202.1, 4.2, 4.2,91.5, 0.1,
203.1, 4.1, 4.2,91.6, 0.1,
204.1, 4.3, 4.5,91.1, 0.1,
205.1, 5.6, 6.0,88.4, 0.1,
206.1, 8.4, 9.9,81.6, 0.1,
207.1,20.8,43.2,33.8, 2.3,
208.1,14.7,35.8,48.3, 1.2,
209.1, 6.7,19.7,73.5, 0.1,
210.1, 3.1, 4.4,92.6, 0.1,
211.1, 3.6, 4.0,92.3, 0.1,
212.1, 5.2,14.3,80.5, 0.1,
213.1, 3.3, 4.0,92.7, 0.1,
214.1, 4.4, 3.9,91.6, 0.1,
215.1, 4.3, 4.5,91.1, 0.1,
