time,load,runnable,cpu,idle,iowait,irq,net lo,net enp2s0,net wlp3s0,net docker0,
 1.0,0.92,2,6.94%,0.00%,0.00%,0.12%,0,246,186,0,
 2.0,0.92,2,6.69%,0.00%,0.00%,0.06%,0,120,60,0,
 3.0,0.92,2,3.50%,0.00%,0.00%,0.25%,840,47492,414,0,
 4.0,0.92,17,43.44%,0.06%,0.00%,0.06%,0,374,102,0,
 5.0,2.13,17,100.06%,0.00%,0.00%,0.00%,0,180,0,0,
 6.0,2.13,17,100.00%,0.00%,0.00%,0.00%,0,378,186,0,
 7.0,2.13,17,99.94%,0.00%,0.00%,0.00%,0,66,0,0,
 8.0,2.13,17,100.38%,0.00%,0.00%,0.06%,0,236,206,0,
 9.0,2.13,17,100.06%,0.00%,0.00%,0.00%,0,375,261,0,
10.0,3.24,17,99.94%,0.00%,0.00%,0.00%,0,808,232,0,
11.0,3.24,17,100.00%,0.00%,0.00%,0.00%,0,186,126,0,
12.0,3.24,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
13.0,3.24,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
14.0,3.24,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
15.0,4.26,17,100.38%,0.00%,0.00%,0.00%,0,66,0,0,
16.0,4.26,17,100.00%,0.00%,0.00%,0.00%,0,1982,798,0,
17.0,4.26,17,100.06%,0.00%,0.00%,0.00%,0,1649,0,0,
18.0,4.26,17,99.94%,0.00%,0.00%,0.00%,0,2456,1170,0,
19.0,4.26,17,100.00%,0.00%,0.00%,0.00%,0,138,588,0,
20.0,5.20,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
21.0,5.20,17,100.00%,0.00%,0.00%,0.00%,0,126,126,0,
22.0,5.20,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
23.0,5.20,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
24.0,5.20,17,100.44%,0.00%,0.00%,0.06%,0,120,60,0,
25.0,6.07,17,99.94%,0.00%,0.00%,0.00%,0,952,684,0,
26.0,6.07,17,100.00%,0.00%,0.00%,0.00%,0,246,126,0,
27.0,6.07,17,100.06%,0.00%,0.00%,0.00%,0,688,232,0,
28.0,6.07,17,99.94%,0.00%,0.00%,0.00%,0,262,60,0,
29.0,6.07,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
30.0,6.86,17,100.00%,0.00%,0.00%,0.00%,0,952,624,0,
31.0,6.86,17,99.94%,0.00%,0.00%,0.00%,0,265,186,0,
32.0,6.86,17,100.06%,0.00%,0.00%,0.00%,0,120,60,0,
33.0,6.86,17,100.00%,0.00%,0.00%,0.00%,0,186,60,0,
34.0,6.86,17,100.38%,0.00%,0.00%,0.00%,0,120,60,0,
35.0,7.67,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
36.0,7.67,17,100.00%,0.00%,0.00%,0.00%,0,482,200,0,
37.0,7.67,17,100.00%,0.00%,0.00%,0.00%,0,120,134,0,
38.0,7.67,17,100.00%,0.00%,0.00%,0.00%,0,428,368,0,
