time,retire,frontend,backend,speculate,
 1.0,33.4,44.9,16.1, 5.6,
 2.0,22.4,64.2,10.6, 2.8,
 3.0,29.7,46.3,19.6, 4.5,
 4.0,50.6,21.0,23.2, 5.2,
 5.0,50.5, 8.2,37.2, 4.1,
 6.0,50.0, 3.4,45.2, 1.4,
 7.0,48.1, 3.2,47.1, 1.5,
 8.0,53.7, 4.6,38.1, 3.6,
 9.0,56.0, 7.7,30.4, 5.9,
10.0,50.1, 3.6,44.7, 1.6,
11.0,49.0, 3.2,46.2, 1.5,
12.0,48.6, 2.6,47.1, 1.7,
13.0,58.5, 9.6,23.9, 8.0,
14.0,48.4, 3.4,46.7, 1.5,
15.0,51.2, 3.0,44.3, 1.5,
16.0,48.5, 2.6,47.6, 1.2,
17.0,57.5,10.6,23.9, 8.0,
18.0,48.9, 3.4,46.1, 1.6,
19.0,49.4, 2.4,47.0, 1.2,
20.0,49.9, 3.4,45.3, 1.4,
21.0,56.4, 8.4,28.4, 6.9,
22.0,52.0, 4.6,40.5, 2.9,
23.0,48.3, 2.3,48.4, 1.1,
24.0,50.7, 3.6,44.2, 1.5,
25.0,54.4, 7.8,31.5, 6.3,
26.0,53.5, 4.8,38.5, 3.2,
27.0,48.1, 2.8,47.9, 1.3,
28.0,48.0, 3.4,47.1, 1.5,
29.0,55.8, 7.1,31.6, 5.5,
30.0,52.2, 5.4,38.4, 3.9,
31.0,50.5, 3.6,44.4, 1.5,
32.0,48.1, 3.2,47.2, 1.5,
33.0,53.4, 4.7,38.0, 3.8,
34.0,55.3, 7.4,31.6, 5.7,
35.0,49.7, 3.6,45.2, 1.5,
36.0,49.1, 3.2,46.2, 1.5,
37.0,48.5, 2.7,47.1, 1.7,
38.0,58.7, 9.5,24.0, 7.9,
39.0,49.2, 3.5,45.7, 1.6,
40.0,50.7, 3.0,44.9, 1.5,
41.0,48.9, 2.7,47.1, 1.3,
42.0,57.1,10.4,24.5, 7.9,
43.0,48.8, 3.4,46.1, 1.7,
44.0,49.6, 2.4,46.8, 1.2,
45.0,50.0, 3.4,45.2, 1.4,
46.0,56.8, 8.5,27.8, 6.9,
47.0,52.5, 4.5,40.2, 2.8,
48.0,48.6, 2.3,48.0, 1.1,
49.0,49.6, 3.5,45.3, 1.5,
50.0,54.9, 7.9,30.9, 6.4,
51.0,53.3, 4.7,38.8, 3.2,
52.0,49.1, 2.8,46.8, 1.3,
53.0,48.2, 3.4,47.0, 1.5,
54.0,55.7, 7.3,31.3, 5.7,
55.0,51.7, 5.2,39.3, 3.8,
56.0,50.3, 3.5,44.7, 1.5,
57.0,48.2, 3.2,47.2, 1.5,
58.0,54.0, 4.9,37.1, 4.0,
59.0,55.6, 7.3,31.5, 5.6,
60.0,49.8, 3.5,45.1, 1.5,
61.0,49.4, 3.2,45.9, 1.5,
62.0,49.5, 2.9,45.6, 2.0,
63.0,58.1, 9.3,25.0, 7.6,
64.0,48.6, 3.4,46.4, 1.6,
65.0,50.9, 2.9,44.7, 1.4,
66.0,49.4, 2.9,46.2, 1.5,
67.0,57.9,10.4,23.8, 7.9,
68.0,48.5, 3.3,46.6, 1.6,
69.0,49.2, 2.4,47.2, 1.2,
70.0,49.9, 3.5,45.0, 1.5,
71.0,56.8, 8.5,27.7, 7.0,
72.0,52.2, 4.3,40.9, 2.6,
73.0,48.5, 2.3,48.1, 1.1,
74.0,49.2, 3.6,45.7, 1.5,
75.0,54.7, 8.0,30.9, 6.5,
76.0,52.7, 4.6,39.6, 3.1,
77.0,49.1, 2.8,46.8, 1.3,
78.0,48.2, 3.4,46.9, 1.5,
79.0,55.9, 7.3,30.9, 5.8,
80.0,52.3, 5.1,38.8, 3.7,
81.0,49.7, 3.5,45.3, 1.4,
82.0,48.0, 3.2,47.4, 1.5,
83.0,54.0, 4.9,37.1, 4.0,
84.0,55.6, 7.3,31.5, 5.6,
85.0,50.0, 3.5,45.0, 1.5,
86.0,49.5, 3.2,45.8, 1.5,
87.0,49.1, 3.0,45.9, 2.0,
88.0,58.5, 9.2,24.8, 7.5,
89.0,48.3, 3.5,46.7, 1.6,
90.0,50.3, 2.9,45.4, 1.4,
91.0,49.8, 2.9,45.7, 1.5,
92.0,57.3,10.1,25.0, 7.6,
93.0,48.9, 3.5,45.9, 1.7,
94.0,49.2, 2.4,47.1, 1.2,
95.0,49.4, 3.5,45.5, 1.6,
96.0,56.5, 8.4,28.3, 6.9,
97.0,52.2, 4.4,40.7, 2.7,
98.0,48.9, 2.4,47.6, 1.1,
99.0,49.8, 3.6,45.0, 1.6,
100.0,55.3, 8.1,30.1, 6.6,
101.0,52.7, 4.4,40.0, 3.0,
102.0,48.8, 2.9,47.1, 1.3,
103.0,47.8, 3.4,47.2, 1.5,
104.0,55.7, 7.4,31.1, 5.8,
105.0,52.4, 5.0,38.9, 3.7,
106.0,50.0, 3.5,45.0, 1.5,
107.0,48.2, 3.2,47.1, 1.5,
108.0,53.9, 5.1,36.7, 4.2,
109.0,55.5, 7.0,32.0, 5.4,
110.0,49.5, 3.5,45.4, 1.5,
111.0,49.4, 3.2,45.9, 1.5,
112.0,49.5, 3.2,44.9, 2.3,
113.0,57.7, 8.9,26.2, 7.2,
114.0,48.5, 3.5,46.3, 1.6,
115.0,49.8, 2.8,46.0, 1.4,
116.0,49.7, 3.2,45.3, 1.8,
117.0,57.5, 9.9,25.1, 7.5,
118.0,49.1, 3.4,45.8, 1.7,
119.0,49.8, 2.4,46.6, 1.2,
120.0,50.7, 3.8,43.6, 1.9,
121.0,55.9, 8.3,28.9, 6.9,
122.0,52.2, 4.0,41.3, 2.4,
123.0,48.7, 2.5,47.7, 1.1,
124.0,50.0, 3.7,44.6, 1.7,
125.0,55.7, 8.4,29.0, 6.9,
126.0,51.5, 4.0,42.0, 2.6,
127.0,48.8, 3.0,46.9, 1.3,
128.0,48.1, 3.4,46.9, 1.6,
129.0,56.0, 7.6,30.4, 6.0,
130.0,51.5, 4.7,40.4, 3.3,
131.0,49.2, 3.5,45.8, 1.4,
132.0,47.9, 3.2,47.4, 1.5,
133.0,53.8, 5.2,36.7, 4.3,
134.0,55.4, 6.9,32.3, 5.3,
135.0,49.1, 3.5,45.9, 1.5,
136.0,49.1, 3.1,46.3, 1.5,
137.0,49.8, 3.4,44.4, 2.4,
138.0,57.8, 8.8,26.4, 7.1,
139.0,48.6, 3.5,46.2, 1.7,
140.0,50.1, 2.9,45.6, 1.4,
141.0,49.4, 3.3,45.4, 1.9,
142.0,56.7, 9.5,26.6, 7.1,
143.0,49.3, 3.5,45.4, 1.9,
144.0,49.5, 2.5,46.8, 1.2,
145.0,50.2, 3.8,44.1, 1.9,
146.0,55.7, 8.1,29.6, 6.6,
147.0,51.7, 4.3,41.5, 2.6,
148.0,48.0, 2.5,48.4, 1.2,
149.0,49.7, 3.8,44.8, 1.7,
150.0,54.7, 7.8,31.2, 6.3,
151.0,52.3, 4.6,39.9, 3.1,
152.0,48.8, 2.8,47.2, 1.2,
153.0,48.1, 3.5,46.8, 1.6,
