time,retire,frontend,backend,speculate,
 1.0,33.3,44.8,16.3, 5.6,
 2.0,22.2,64.4,10.6, 2.8,
 3.0,33.1,43.2,19.5, 4.2,
 4.0,20.9,28.5,47.5, 3.1,
 5.0,24.5,27.9,44.3, 3.3,
 6.0,26.6,30.3,39.5, 3.7,
 7.0,28.2,28.1,40.0, 3.8,
 8.0,27.4,28.2,40.8, 3.7,
 9.0,26.2,28.7,41.3, 3.8,
10.0,25.9,28.2,42.2, 3.7,
11.0,26.0,27.7,42.5, 3.7,
12.0,26.5,28.1,41.7, 3.7,
13.0,27.7,28.5,40.0, 3.7,
14.0,42.5,31.3,21.8, 4.4,
15.0,45.8,35.3,13.6, 5.2,
16.0,46.3,36.0,12.4, 5.3,
17.0,11.1, 6.9,81.1, 0.9,
18.0, 4.6, 1.8,93.5, 0.1,
19.0, 4.8, 1.9,93.2, 0.1,
20.0, 4.4, 1.8,93.7, 0.1,
21.0, 4.4, 1.9,93.6, 0.1,
22.0, 4.3, 1.7,93.9, 0.1,
23.0, 4.4, 1.6,93.8, 0.1,
24.0, 4.3, 1.8,93.8, 0.1,
25.0, 4.5, 1.9,93.6, 0.1,
26.0, 4.4, 1.6,94.0, 0.1,
27.0, 4.6, 1.7,93.6, 0.1,
28.0, 4.6, 1.8,93.6, 0.1,
29.0, 4.6, 1.8,93.6, 0.1,
30.0, 4.6, 1.8,93.6, 0.1,
31.0, 4.6, 1.8,93.5, 0.1,
32.0, 4.6, 1.8,93.5, 0.1,
33.0, 4.6, 1.8,93.6, 0.1,
34.0, 4.6, 1.8,93.6, 0.1,
35.0, 4.6, 1.8,93.5, 0.1,
36.0, 4.6, 1.8,93.6, 0.1,
37.0, 4.6, 1.8,93.5, 0.1,
38.0, 4.6, 1.8,93.5, 0.1,
39.0, 4.6, 1.8,93.5, 0.1,
40.0, 4.6, 1.8,93.5, 0.1,
41.0, 4.6, 1.8,93.5, 0.1,
42.0, 4.6, 1.8,93.5, 0.1,
43.0, 4.6, 1.8,93.5, 0.1,
44.0, 4.6, 1.8,93.5, 0.1,
45.0, 4.6, 1.8,93.6, 0.1,
46.0, 4.6, 1.8,93.6, 0.1,
47.0, 4.6, 1.8,93.5, 0.1,
48.0, 4.6, 1.8,93.6, 0.1,
49.0, 4.6, 1.8,93.5, 0.1,
50.0, 4.6, 2.0,93.4, 0.1,
51.0, 4.6, 1.9,93.5, 0.1,
52.0, 4.6, 1.8,93.6, 0.1,
53.0, 4.6, 1.8,93.6, 0.1,
54.0, 4.6, 1.8,93.6, 0.1,
55.0, 4.6, 1.8,93.6, 0.1,
56.0, 4.6, 1.8,93.5, 0.1,
57.0, 4.6, 1.8,93.6, 0.1,
58.0, 4.6, 1.8,93.6, 0.1,
59.0, 4.6, 1.8,93.6, 0.1,
60.0, 4.6, 1.8,93.6, 0.1,
61.0, 4.6, 1.8,93.5, 0.1,
62.0, 4.6, 1.8,93.6, 0.1,
63.0, 4.5, 1.8,93.6, 0.1,
64.0, 4.6, 1.8,93.5, 0.1,
65.0, 4.6, 1.8,93.6, 0.1,
66.0, 4.6, 1.8,93.6, 0.1,
67.0, 4.6, 1.8,93.6, 0.1,
68.0, 4.6, 1.8,93.5, 0.1,
69.0, 4.6, 1.8,93.6, 0.1,
70.0, 4.6, 1.8,93.6, 0.1,
71.0, 4.6, 1.8,93.6, 0.1,
72.0, 4.6, 1.8,93.6, 0.1,
73.0, 4.6, 1.8,93.6, 0.1,
74.0, 4.6, 1.8,93.5, 0.1,
75.0, 4.6, 1.8,93.6, 0.1,
76.0, 4.6, 1.8,93.5, 0.1,
77.0, 4.6, 1.8,93.6, 0.1,
78.0, 4.6, 1.8,93.5, 0.1,
79.0, 4.6, 1.8,93.6, 0.1,
80.0, 4.6, 1.8,93.5, 0.1,
81.0, 4.6, 1.8,93.5, 0.1,
82.0, 4.6, 1.8,93.5, 0.1,
83.0, 4.6, 1.8,93.6, 0.1,
84.1, 4.6, 1.8,93.5, 0.1,
85.1, 4.6, 1.8,93.5, 0.1,
86.1, 4.6, 1.8,93.6, 0.1,
87.1, 4.6, 1.8,93.5, 0.1,
88.1, 4.6, 1.8,93.5, 0.1,
89.1, 4.6, 1.7,93.6, 0.1,
90.1, 4.6, 1.8,93.6, 0.1,
91.1, 4.6, 1.8,93.5, 0.1,
92.1, 4.6, 1.8,93.5, 0.1,
93.1, 4.6, 1.8,93.6, 0.1,
94.1, 4.6, 1.8,93.5, 0.1,
95.1, 4.6, 1.8,93.5, 0.1,
96.1, 4.6, 1.8,93.5, 0.1,
97.1, 4.6, 1.8,93.5, 0.1,
98.1, 4.6, 1.8,93.6, 0.1,
