time,load,runnable,cpu,idle,iowait,irq,net lo,net enp2s0,net wlp3s0,net docker0,
 1.0,2.35,2,7.00%,0.00%,0.00%,0.56%,0,120,0,0,
 2.0,2.24,2,6.56%,0.00%,0.00%,0.06%,0,0,60,0,
 3.0,2.24,1,2.56%,0.00%,0.00%,0.12%,840,47904,620,0,
 4.0,2.24,17,77.69%,0.00%,0.00%,0.00%,0,362,228,0,
 5.0,2.24,17,99.94%,0.00%,0.00%,0.00%,0,120,60,0,
 6.0,2.24,17,100.06%,0.00%,0.00%,0.00%,0,273,0,0,
 7.0,3.34,17,99.94%,0.00%,0.00%,0.00%,0,186,60,0,
 8.0,3.34,17,100.00%,0.00%,0.00%,0.00%,0,120,164,0,
 9.0,3.34,17,100.00%,0.00%,0.00%,0.00%,0,306,248,0,
10.0,3.34,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
11.0,3.34,17,100.06%,0.00%,0.00%,0.00%,0,120,60,0,
12.0,4.36,17,99.94%,0.00%,0.00%,0.06%,0,120,60,0,
13.0,4.36,17,100.00%,0.00%,0.00%,0.00%,0,246,60,0,
14.0,4.36,17,100.44%,0.00%,0.00%,0.00%,0,126,126,0,
15.0,4.36,17,99.94%,0.00%,0.00%,0.00%,0,120,60,0,
16.0,4.36,17,100.00%,0.00%,0.00%,0.00%,0,186,60,0,
17.0,5.29,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
18.0,5.29,17,100.06%,0.00%,0.00%,0.00%,0,0,0,0,
19.0,5.29,17,99.94%,0.00%,0.00%,0.00%,0,388,186,0,
20.0,5.29,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
21.0,5.29,17,100.00%,0.00%,0.00%,0.00%,0,1744,0,0,
22.0,6.15,17,99.94%,0.00%,0.00%,0.06%,0,1568,0,0,
23.0,6.15,17,100.38%,0.00%,0.00%,0.00%,0,1624,0,0,
24.0,6.15,17,100.06%,0.00%,0.00%,0.00%,0,126,126,0,
25.0,6.15,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
26.0,6.15,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
27.0,6.94,17,99.94%,0.00%,0.00%,0.00%,0,120,0,0,
28.0,6.94,17,100.06%,0.00%,0.00%,0.00%,0,260,60,0,
29.0,6.94,17,100.00%,0.00%,0.00%,0.00%,0,958,750,0,
30.0,6.94,17,99.94%,0.00%,0.00%,0.00%,0,120,60,0,
31.0,6.94,17,100.44%,0.00%,0.00%,0.00%,0,120,60,0,
32.0,7.66,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
33.0,7.66,17,100.00%,0.00%,0.00%,0.00%,0,558,429,0,
34.0,7.66,17,100.00%,0.00%,0.00%,0.00%,0,738,492,0,
35.0,7.66,17,100.00%,0.00%,0.00%,0.00%,0,908,282,0,
36.0,7.66,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
37.0,8.33,17,100.00%,0.00%,0.00%,0.00%,0,1425,684,0,
38.0,8.33,17,100.38%,0.00%,0.00%,0.00%,0,388,208,0,
39.0,8.33,17,99.94%,0.00%,0.00%,0.00%,0,246,186,0,
40.0,8.33,17,100.06%,0.00%,0.00%,0.00%,0,148,148,0,
41.0,8.33,17,100.00%,0.00%,0.00%,0.00%,0,952,0,0,
42.0,8.94,17,100.00%,0.00%,0.00%,0.06%,0,481,421,0,
43.0,8.94,17,99.94%,0.00%,0.00%,0.00%,0,0,0,0,
44.0,8.94,17,100.38%,0.00%,0.00%,0.00%,0,592,416,0,
45.0,8.94,18,100.06%,0.00%,0.00%,0.00%,0,478,698,0,
46.0,8.94,18,100.00%,0.00%,0.00%,0.00%,0,330,772,0,
47.0,9.59,17,99.94%,0.00%,0.00%,0.00%,0,210,638,0,
48.0,9.59,17,100.06%,0.00%,0.00%,0.00%,0,612,714,0,
49.0,9.59,17,100.00%,0.00%,0.00%,0.00%,0,246,126,0,
50.0,9.59,17,100.38%,0.00%,0.00%,0.00%,0,120,104,0,
51.0,9.59,17,100.00%,0.00%,0.00%,0.00%,0,0,60,0,
52.0,10.10,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
53.0,10.10,17,100.00%,0.00%,0.00%,0.00%,0,596,122,0,
54.0,10.10,17,100.00%,0.00%,0.00%,0.00%,0,265,493,0,
55.0,10.10,17,99.94%,0.00%,0.00%,0.00%,0,120,60,0,
56.0,10.10,17,100.50%,0.00%,0.00%,0.00%,0,120,60,0,
57.0,10.58,17,99.94%,0.00%,0.00%,0.00%,0,120,0,0,
58.0,10.58,17,100.00%,0.00%,0.00%,0.00%,0,0,60,0,
59.0,10.58,17,100.00%,0.00%,0.00%,0.00%,0,246,186,0,
60.0,10.58,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
61.0,10.58,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
62.0,11.01,17,100.06%,0.00%,0.00%,0.00%,0,750,429,0,
63.0,11.01,17,100.38%,0.00%,0.00%,0.00%,0,120,60,0,
64.0,11.01,17,100.00%,0.00%,0.00%,0.00%,0,246,186,0,
65.0,11.01,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
66.0,11.01,17,100.00%,0.00%,0.00%,0.00%,0,259,60,0,
67.0,11.41,17,99.94%,0.00%,0.00%,0.06%,0,236,102,0,
68.0,11.41,17,100.00%,0.00%,0.00%,0.00%,0,492,123,0,
69.0,11.41,17,100.00%,0.00%,0.00%,0.00%,0,242,290,0,
70.0,11.41,17,100.38%,0.00%,0.00%,0.00%,0,236,102,0,
71.0,11.41,17,100.00%,0.00%,0.00%,0.00%,0,236,102,0,
72.0,11.78,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
73.0,11.78,17,100.00%,0.00%,0.00%,0.00%,0,1188,102,0,
