time,retire,frontend,backend,speculate,
 1.0,33.1,45.0,16.4, 5.5,
 2.0,22.7,63.5,10.8, 2.9,
 3.0,32.4,42.3,21.0, 4.3,
 4.0,52.8,12.0,34.3, 0.9,
 5.0,57.9, 4.2,37.4, 0.5,
 6.0,58.0, 4.2,37.3, 0.5,
 7.0,57.5, 4.1,37.9, 0.5,
 8.0,58.0, 4.1,37.3, 0.5,
 9.0,57.9, 4.1,37.5, 0.5,
10.0,57.5, 4.1,37.8, 0.5,
11.0,57.7, 4.1,37.6, 0.5,
12.0,57.7, 4.1,37.7, 0.5,
13.0,58.2, 4.1,37.2, 0.5,
14.0,57.6, 4.0,37.8, 0.5,
15.0,57.9, 4.0,37.7, 0.5,
16.0,57.4, 3.9,38.2, 0.5,
17.0,58.2, 3.9,37.4, 0.5,
18.0,57.9, 3.8,37.8, 0.4,
19.0,58.1, 3.8,37.7, 0.4,
20.0,57.8, 3.8,37.9, 0.5,
21.0,56.9, 4.2,38.3, 0.6,
22.0,57.4, 4.4,37.3, 0.8,
23.0,57.8, 4.6,36.7, 0.9,
24.0,57.3, 4.6,37.3, 0.8,
25.0,56.6, 5.1,37.1, 1.2,
26.0,55.6, 5.9,36.7, 1.8,
27.0,55.3, 6.2,36.5, 2.0,
28.0,55.2, 6.2,36.6, 2.0,
29.0,54.7, 6.2,37.0, 2.0,
30.0,54.4, 6.4,37.1, 2.1,
31.0,54.3, 6.4,37.1, 2.2,
32.0,54.2, 6.4,37.3, 2.1,
33.0,54.0, 6.4,37.4, 2.2,
34.0,54.1, 6.5,37.1, 2.3,
35.0,54.3, 6.6,36.8, 2.3,
36.0,53.8, 6.5,37.5, 2.3,
37.0,54.0, 6.4,37.3, 2.3,
38.0,54.1, 6.6,36.9, 2.4,
39.0,53.7, 6.8,36.9, 2.6,
40.0,53.6, 6.7,37.1, 2.5,
41.0,53.5, 6.7,37.4, 2.5,
42.0,53.7, 6.6,37.3, 2.4,
43.0,53.7, 6.9,36.8, 2.6,
44.0,53.2, 6.8,37.4, 2.6,
45.0,53.6, 6.9,36.9, 2.6,
46.0,53.0, 7.1,37.1, 2.7,
47.0,54.2, 6.8,36.5, 2.5,
48.0,53.1, 6.8,37.6, 2.5,
49.0,53.7, 6.6,37.2, 2.5,
50.0,53.4, 6.6,37.5, 2.5,
51.0,52.9, 7.4,36.7, 3.0,
52.0,53.1, 7.5,36.3, 3.1,
53.0,52.7, 7.5,36.8, 3.0,
54.0,52.8, 7.2,37.1, 2.8,
55.0,52.9, 7.0,37.4, 2.7,
56.0,53.1, 7.1,37.1, 2.7,
57.0,53.1, 7.4,36.7, 2.9,
58.0,52.9, 7.2,37.1, 2.8,
59.0,53.9, 7.0,36.4, 2.7,
60.0,53.2, 6.7,37.6, 2.5,
61.0,53.3, 6.6,37.6, 2.5,
62.0,53.2, 6.7,37.6, 2.5,
63.0,53.3, 6.9,37.2, 2.7,
64.0,52.9, 7.0,37.3, 2.8,
65.0,53.2, 6.9,37.2, 2.7,
66.0,52.7, 6.6,38.2, 2.5,
67.0,53.0, 6.5,38.1, 2.4,
68.0,53.2, 6.5,37.8, 2.4,
69.0,53.6, 6.8,37.1, 2.6,
70.0,53.1, 6.9,37.3, 2.7,
71.0,52.6, 7.1,37.5, 2.8,
72.0,52.7, 6.9,37.7, 2.7,
73.0,53.0, 6.9,37.4, 2.7,
74.0,52.6, 6.7,38.0, 2.6,
75.0,52.8, 6.8,37.8, 2.6,
76.0,52.6, 6.9,37.8, 2.7,
77.0,52.7, 7.0,37.5, 2.8,
78.0,52.4, 6.9,38.0, 2.7,
79.0,52.3, 6.9,38.1, 2.7,
80.0,52.5, 6.9,37.8, 2.8,
81.0,52.3, 6.8,38.3, 2.7,
82.0,52.3, 6.9,38.1, 2.7,
83.0,52.5, 6.9,37.8, 2.8,
84.0,52.4, 7.0,37.8, 2.8,
85.0,52.1, 7.0,38.0, 2.9,
86.0,51.9, 7.1,38.0, 2.9,
87.0,52.5, 7.1,37.5, 2.9,
88.0,52.2, 7.1,37.9, 2.8,
89.0,52.0, 7.0,38.2, 2.8,
90.0,51.9, 6.9,38.5, 2.7,
91.0,52.2, 6.7,38.4, 2.6,
92.0,52.3, 6.8,38.4, 2.6,
93.0,52.1, 6.9,38.3, 2.7,
94.0,51.6, 6.8,39.0, 2.6,
95.0,51.7, 6.9,38.8, 2.6,
96.0,51.5, 7.1,38.6, 2.8,
97.0,51.1, 7.1,38.9, 2.9,
98.0,51.5, 7.1,38.5, 2.8,
99.0,51.6, 7.0,38.7, 2.7,
100.0,51.6, 7.0,38.8, 2.6,
101.0,52.0, 6.9,38.5, 2.6,
102.0,51.9, 6.8,38.9, 2.5,
103.0,51.7, 6.8,38.9, 2.5,
104.0,51.8, 7.0,38.6, 2.6,
105.0,51.5, 7.0,38.8, 2.7,
106.0,51.6, 7.1,38.6, 2.7,
107.0,51.9, 7.1,38.2, 2.7,
108.0,51.7, 7.4,37.9, 2.9,
109.0,51.7, 7.4,37.9, 2.9,
110.0,51.5, 7.3,38.3, 2.9,
111.0,51.9, 7.3,38.0, 2.8,
112.0,51.5, 7.1,38.7, 2.7,
113.0,51.2, 6.9,39.3, 2.6,
114.0,51.5, 6.9,39.0, 2.6,
115.0,51.4, 6.9,39.1, 2.6,
116.0,51.6, 7.1,38.7, 2.7,
117.0,51.1, 7.0,39.2, 2.7,
118.0,51.9, 7.1,38.3, 2.7,
119.0,51.7, 7.1,38.4, 2.8,
120.0,51.9, 7.2,38.1, 2.8,
121.0,51.7, 7.2,38.4, 2.8,
122.0,51.7, 7.1,38.5, 2.7,
123.0,51.8, 7.0,38.5, 2.6,
124.0,51.8, 7.1,38.5, 2.6,
125.0,51.8, 7.2,38.3, 2.7,
126.0,51.5, 7.3,38.5, 2.8,
127.0,51.2, 7.1,39.0, 2.7,
128.0,51.8, 7.1,38.4, 2.6,
129.0,51.6, 7.1,38.7, 2.6,
130.0,51.5, 7.1,38.7, 2.6,
131.0,51.4, 7.1,38.9, 2.6,
132.0,51.6, 7.2,38.5, 2.7,
133.0,51.7, 7.3,38.3, 2.8,
134.0,51.8, 7.2,38.4, 2.7,
135.0,51.9, 7.2,38.3, 2.7,
136.0,52.1, 7.2,38.0, 2.7,
137.0,51.8, 7.1,38.4, 2.6,
138.0,52.1, 7.1,38.2, 2.6,
139.0,51.9, 7.1,38.3, 2.6,
140.0,51.4, 7.0,38.9, 2.6,
141.0,51.7, 7.0,38.7, 2.6,
142.0,51.7, 7.0,38.7, 2.6,
143.0,51.8, 7.2,38.3, 2.7,
144.0,51.2, 7.2,38.9, 2.7,
145.0,51.6, 7.3,38.4, 2.7,
146.0,51.9, 7.3,38.2, 2.7,
147.0,51.6, 7.1,38.8, 2.6,
148.0,52.1, 7.0,38.4, 2.5,
149.0,52.1, 6.9,38.5, 2.4,
150.0,52.0, 6.8,38.8, 2.3,
151.0,52.2, 6.9,38.6, 2.3,
152.0,52.0, 6.9,38.8, 2.3,
153.0,52.3, 6.9,38.5, 2.4,
154.0,52.1, 6.9,38.6, 2.4,
