time,load,runnable,cpu,idle,iowait,irq,net lo,net enp2s0,net wlp3s0,net docker0,
 1.0,0.95,2,6.75%,0.00%,0.00%,1.12%,0,120,60,0,
 2.0,0.95,2,6.94%,0.00%,0.00%,0.94%,0,192,126,0,
 3.0,0.87,1,2.88%,0.00%,0.00%,0.19%,782,47286,868,0,
 4.0,0.87,17,33.06%,0.06%,0.00%,0.06%,0,120,0,0,
 5.0,0.87,17,100.00%,0.00%,0.00%,0.00%,0,0,60,0,
 6.0,0.87,17,100.00%,0.00%,0.00%,0.00%,0,252,60,0,
 7.0,0.87,17,100.06%,0.00%,0.00%,0.00%,0,428,228,0,
 8.0,2.08,17,100.00%,0.00%,0.00%,0.00%,0,356,102,0,
 9.0,2.08,17,99.94%,0.00%,0.00%,0.00%,0,116,42,0,
10.0,2.08,17,100.06%,0.00%,0.00%,0.00%,0,180,120,0,
11.0,2.08,17,100.00%,0.00%,0.00%,0.00%,0,296,162,0,
12.0,2.08,17,100.00%,0.00%,0.00%,0.00%,0,422,288,0,
13.0,3.20,17,99.94%,0.00%,0.00%,0.00%,0,176,84,0,
14.0,3.20,17,100.00%,0.00%,0.00%,0.00%,0,180,102,0,
15.0,3.20,17,100.00%,0.00%,0.00%,0.00%,0,798,390,0,
16.0,3.20,17,100.06%,0.00%,0.00%,0.00%,0,180,102,0,
17.0,3.20,17,99.94%,0.00%,0.00%,0.00%,0,302,210,0,
18.0,4.22,17,100.00%,0.00%,0.00%,0.00%,0,296,144,0,
19.0,4.22,17,100.00%,0.00%,0.00%,0.00%,0,236,102,0,
20.0,4.22,17,100.00%,0.00%,0.00%,0.00%,0,1602,60,0,
21.0,4.22,17,100.38%,0.00%,0.00%,0.00%,0,0,0,0,
22.0,4.22,17,100.00%,0.00%,0.00%,0.00%,0,306,185,0,
23.0,5.16,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
24.0,5.16,17,100.00%,0.00%,0.00%,0.00%,0,236,102,0,
25.0,5.16,17,100.00%,0.00%,0.00%,0.00%,0,176,102,0,
26.0,5.16,17,100.00%,0.00%,0.00%,0.00%,0,296,162,0,
27.0,5.16,17,100.00%,0.00%,0.00%,0.00%,0,306,246,0,
28.0,6.03,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
29.0,6.03,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
30.0,6.03,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
31.0,6.03,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
32.0,6.03,17,99.94%,0.00%,0.00%,0.00%,0,312,186,0,
33.0,6.83,17,100.06%,0.00%,0.00%,0.00%,0,120,60,0,
34.0,6.83,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
35.0,6.83,17,99.94%,0.00%,0.00%,0.00%,0,120,60,0,
36.0,6.83,17,100.00%,0.00%,0.00%,0.00%,0,426,225,0,
37.0,6.83,17,100.44%,0.00%,0.00%,0.00%,0,506,290,0,
38.0,7.57,17,100.00%,0.00%,0.00%,0.00%,0,176,84,0,
39.0,7.57,17,100.06%,0.00%,0.00%,0.00%,0,592,366,0,
40.0,7.57,17,99.94%,0.00%,0.00%,0.00%,0,356,204,0,
41.0,7.57,17,100.00%,0.00%,0.00%,0.00%,0,240,162,0,
42.0,7.57,17,100.00%,0.00%,0.00%,0.00%,0,334,334,0,
43.0,8.24,17,100.00%,0.00%,0.00%,0.00%,0,268,60,0,
44.0,8.24,17,100.00%,0.00%,0.00%,0.00%,0,120,208,0,
45.0,8.24,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
46.0,8.24,17,100.06%,0.00%,0.00%,0.00%,0,148,148,0,
47.0,8.24,17,99.94%,0.00%,0.00%,0.00%,0,246,186,0,
48.0,8.86,17,100.00%,0.00%,0.00%,0.00%,0,139,159,0,
49.0,8.86,17,100.00%,0.00%,0.00%,0.06%,0,2008,704,0,
50.0,8.86,17,99.94%,0.00%,0.00%,0.00%,0,1624,588,0,
