time,load,runnable,cpu,idle,iowait,irq,net lo,net enp2s0,net wlp3s0,net docker0,
 1.0,0.08,2,6.38%,0.00%,0.00%,0.38%,0,422,288,0,
 2.0,0.15,2,6.56%,0.00%,0.00%,0.06%,0,452,198,0,
 3.0,0.15,1,1.94%,0.00%,0.00%,0.38%,840,47268,968,0,
 4.0,0.15,17,86.81%,0.00%,0.00%,0.06%,0,0,0,0,
 5.0,0.15,17,99.94%,0.00%,0.00%,0.00%,0,180,122,0,
 6.0,0.15,17,100.00%,0.00%,0.00%,0.00%,0,378,186,0,
 7.0,1.42,17,100.38%,0.00%,0.00%,0.00%,0,120,60,0,
 8.0,1.42,17,100.06%,0.00%,0.00%,0.00%,0,0,104,0,
 9.0,1.42,17,99.94%,0.00%,0.00%,0.06%,0,120,0,0,
10.0,1.42,17,99.94%,0.00%,0.00%,0.00%,0,120,0,0,
11.0,1.42,17,100.00%,0.00%,0.00%,0.00%,0,858,570,0,
12.0,2.59,17,100.00%,0.00%,0.00%,0.00%,0,0,460,0,
13.0,2.59,17,100.06%,0.00%,0.00%,0.00%,0,592,572,0,
14.0,2.59,17,100.38%,0.00%,0.00%,0.00%,0,1199,1273,0,
15.0,2.59,17,100.00%,0.00%,0.00%,0.00%,0,579,572,0,
16.0,2.59,17,100.00%,0.00%,0.00%,0.00%,0,186,186,0,
17.0,3.66,17,100.00%,0.00%,0.00%,0.00%,0,180,120,0,
18.0,3.66,17,100.00%,0.00%,0.00%,0.00%,0,328,268,0,
19.0,3.66,17,99.94%,0.00%,0.00%,0.00%,0,259,219,0,
20.0,3.66,17,100.44%,0.00%,0.00%,0.00%,0,286,148,0,
21.0,3.66,17,100.00%,0.00%,0.00%,0.00%,0,306,63,0,
22.0,4.65,17,100.00%,0.00%,0.00%,0.00%,0,268,134,0,
23.0,4.65,17,100.00%,0.00%,0.00%,0.00%,0,180,120,0,
24.0,4.65,17,100.00%,0.00%,0.00%,0.00%,0,60,60,0,
25.0,4.65,17,100.00%,0.00%,0.00%,0.00%,0,328,194,0,
26.0,4.65,18,100.00%,0.00%,0.00%,0.00%,0,306,246,0,
27.0,5.56,17,100.44%,0.00%,0.00%,0.00%,0,319,279,0,
28.0,5.56,17,100.00%,0.00%,0.00%,0.00%,0,180,120,0,
29.0,5.56,17,100.00%,0.00%,0.00%,0.00%,0,60,60,0,
30.0,5.56,17,99.94%,0.00%,0.00%,0.00%,0,180,120,0,
31.0,5.56,17,100.06%,0.00%,0.00%,0.00%,0,186,186,0,
32.0,6.40,17,99.94%,0.00%,0.00%,0.00%,0,2212,752,0,
33.0,6.40,17,100.31%,0.00%,0.00%,0.12%,0,1744,438,0,
34.0,6.40,17,100.06%,0.00%,0.00%,0.00%,0,1624,546,0,
35.0,6.40,17,99.94%,0.00%,0.00%,0.00%,0,0,0,0,
36.0,6.40,17,100.00%,0.00%,0.00%,0.00%,0,126,126,0,
37.0,7.17,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
38.0,7.17,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
39.0,7.17,17,100.25%,0.00%,0.00%,0.00%,0,120,0,0,
40.0,7.17,17,100.12%,0.00%,0.00%,0.00%,0,0,0,0,
41.0,7.17,17,100.00%,0.00%,0.00%,0.00%,0,440,317,0,
42.0,7.87,17,100.00%,0.00%,0.00%,0.00%,0,258,60,0,
43.0,7.87,17,100.00%,0.00%,0.00%,0.00%,0,259,159,0,
44.0,7.87,17,100.00%,0.00%,0.00%,0.00%,0,0,60,0,
45.0,7.87,17,100.00%,0.00%,0.00%,0.00%,0,261,60,0,
46.0,7.87,17,100.38%,0.00%,0.00%,0.00%,0,306,186,0,
47.0,8.52,17,100.00%,0.00%,0.00%,0.00%,0,319,120,0,
48.0,8.52,17,100.00%,0.00%,0.00%,0.00%,0,60,0,0,
49.0,8.52,17,100.06%,0.00%,0.00%,0.00%,0,120,60,0,
50.0,8.52,17,99.94%,0.00%,0.00%,0.00%,0,260,60,0,
51.0,8.52,17,100.06%,0.00%,0.00%,0.00%,0,246,186,0,
52.0,9.12,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
53.0,9.12,17,100.38%,0.00%,0.00%,0.00%,0,120,60,0,
54.0,9.12,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
55.0,9.12,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
56.0,9.12,17,100.00%,0.00%,0.00%,0.06%,0,126,126,0,
57.0,9.67,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
58.0,9.67,17,99.94%,0.00%,0.00%,0.00%,0,120,60,0,
