time,retire,frontend,backend,speculate,
 1.0,33.3,44.7,16.4, 5.6,
 2.0,22.2,65.3, 9.8, 2.7,
 3.0,31.7,43.2,20.9, 4.2,
 4.0,20.5,24.2,53.2, 2.0,
 5.0, 6.2,10.9,80.0, 2.8,
 6.0, 4.6, 9.0,83.7, 2.7,
 7.0, 4.7, 8.8,83.8, 2.7,
 8.0, 4.8, 9.1,83.3, 2.8,
 9.0, 4.9, 9.2,83.2, 2.8,
10.0, 4.8, 9.0,83.4, 2.8,
11.0, 4.7, 8.9,83.5, 2.8,
12.0, 4.8, 9.0,83.5, 2.8,
13.0, 4.8, 8.9,83.5, 2.8,
14.0, 4.9, 9.0,83.3, 2.8,
15.0, 4.9, 9.0,83.3, 2.8,
16.0, 4.9, 9.1,83.2, 2.9,
17.0, 4.9, 9.1,83.1, 2.9,
18.0, 4.9, 9.1,83.1, 2.9,
19.0, 5.0, 9.2,82.9, 2.9,
20.0, 5.0, 9.2,83.0, 2.9,
21.0, 5.0, 9.2,82.9, 2.9,
22.0, 5.0, 9.2,82.9, 2.9,
23.0, 4.9, 9.3,82.9, 2.8,
24.0, 4.9, 9.3,82.9, 2.9,
25.0, 4.9, 9.2,83.1, 2.8,
26.0, 4.9, 9.4,82.9, 2.8,
27.0, 4.8, 9.3,83.1, 2.8,
28.0, 4.7, 9.1,83.3, 2.8,
29.0, 4.6, 8.9,83.7, 2.8,
30.0, 4.6, 8.8,83.7, 2.8,
31.0, 4.7, 8.8,83.7, 2.8,
32.0, 4.7, 8.8,83.7, 2.8,
33.0, 4.7, 8.9,83.6, 2.8,
34.0, 4.8, 8.9,83.5, 2.8,
35.0, 4.8, 8.9,83.5, 2.8,
36.0, 4.8, 8.9,83.4, 2.8,
37.0, 4.8, 9.0,83.3, 2.8,
38.0, 4.9, 8.9,83.4, 2.8,
39.0, 4.9, 9.0,83.3, 2.8,
40.0, 4.9, 9.0,83.2, 2.9,
41.0, 4.9, 9.0,83.2, 2.9,
42.0, 4.9, 9.0,83.2, 2.9,
43.0, 4.9, 9.1,83.1, 2.9,
44.0, 4.9, 9.1,83.1, 2.9,
45.0, 5.0, 9.1,83.1, 2.9,
46.0, 5.0, 9.1,83.0, 2.9,
47.0, 5.0, 9.3,82.9, 2.9,
48.0, 4.9, 9.2,83.1, 2.8,
49.0, 4.9, 9.0,83.3, 2.9,
50.0, 4.9, 9.0,83.3, 2.9,
51.0, 4.9, 9.0,83.2, 2.9,
52.0, 4.9, 9.0,83.2, 2.9,
53.0, 4.9, 9.0,83.2, 2.9,
54.0, 5.0, 9.0,83.1, 2.9,
55.0, 5.0, 9.1,83.0, 2.9,
56.0, 4.9, 9.1,83.1, 2.9,
57.0, 4.9, 9.1,83.1, 2.9,
58.0, 4.9, 9.1,83.1, 2.9,
59.0, 4.9, 9.1,83.1, 2.9,
60.0, 4.9, 9.2,83.0, 2.9,
61.0, 4.9, 9.1,83.2, 2.8,
62.0, 4.9, 9.1,83.2, 2.8,
63.0, 4.9, 9.1,83.2, 2.8,
64.0, 4.8, 9.0,83.3, 2.8,
65.0, 4.8, 9.0,83.4, 2.8,
66.0, 4.8, 9.0,83.4, 2.8,
67.0, 4.8, 8.9,83.4, 2.8,
68.0, 4.8, 8.9,83.4, 2.8,
69.0, 4.9, 9.0,83.3, 2.8,
70.0, 4.9, 9.0,83.3, 2.8,
71.0, 4.9, 9.0,83.2, 2.8,
72.0, 4.9, 9.0,83.3, 2.8,
73.0, 4.9, 9.0,83.2, 2.9,
74.0, 4.9, 9.0,83.2, 2.8,
75.0, 4.9, 9.0,83.2, 2.9,
76.0, 4.9, 9.1,83.1, 2.8,
77.0, 4.9, 9.0,83.2, 2.8,
78.0, 5.0, 9.0,83.2, 2.8,
79.0, 4.9, 9.0,83.2, 2.8,
80.0, 4.9, 9.0,83.3, 2.8,
81.0, 5.0, 9.0,83.2, 2.8,
82.0, 4.9, 8.9,83.3, 2.8,
83.0, 4.9, 8.9,83.4, 2.8,
84.0, 4.9, 8.9,83.3, 2.8,
85.0, 4.9, 8.9,83.4, 2.8,
86.0, 5.0, 8.8,83.4, 2.8,
87.0, 5.0, 8.9,83.3, 2.8,
88.0, 5.0, 8.9,83.3, 2.8,
89.0, 5.0, 8.9,83.2, 2.8,
90.0, 5.0, 8.9,83.2, 2.8,
91.0, 5.0, 8.9,83.2, 2.8,
92.0, 5.0, 8.9,83.2, 2.8,
93.0, 5.0, 8.9,83.2, 2.8,
94.0, 5.0, 9.0,83.2, 2.8,
95.0, 5.0, 9.0,83.2, 2.8,
96.0, 5.0, 9.0,83.2, 2.8,
97.0, 4.9, 9.0,83.3, 2.8,
98.0, 4.9, 8.9,83.3, 2.8,
99.0, 4.9, 8.9,83.3, 2.8,
100.0, 4.9, 8.9,83.4, 2.8,
101.0, 4.9, 8.9,83.4, 2.8,
102.0, 4.9, 8.9,83.4, 2.8,
103.0, 4.9, 8.9,83.4, 2.8,
104.0, 4.9, 8.9,83.4, 2.8,
105.0, 5.0, 8.9,83.3, 2.8,
106.0, 5.0, 8.9,83.3, 2.8,
107.0, 5.0, 9.0,83.2, 2.8,
108.0, 5.0, 9.0,83.2, 2.8,
109.0, 5.0, 9.0,83.2, 2.8,
110.0, 5.0, 9.0,83.2, 2.8,
111.0, 5.0, 9.0,83.2, 2.8,
112.0, 5.0, 9.0,83.2, 2.8,
113.0, 5.0, 9.0,83.2, 2.8,
114.0, 5.0, 8.9,83.2, 2.8,
115.0, 5.0, 8.9,83.2, 2.8,
116.0, 5.0, 8.9,83.3, 2.8,
117.0, 5.0, 8.9,83.3, 2.8,
118.0, 5.0, 9.0,83.2, 2.8,
119.0, 5.1, 9.0,83.1, 2.8,
120.0, 5.1, 9.0,83.1, 2.8,
121.0, 5.1, 9.0,83.1, 2.8,
122.0, 5.1, 9.0,83.1, 2.8,
123.0, 5.1, 9.0,83.1, 2.8,
124.0, 5.1, 9.1,83.0, 2.8,
125.0, 5.0, 9.1,83.1, 2.8,
126.0, 5.1, 9.1,83.0, 2.8,
127.0, 5.1, 9.1,83.0, 2.8,
128.0, 5.1, 9.0,83.0, 2.8,
129.0, 5.1, 9.0,83.1, 2.8,
130.0, 5.1, 9.0,83.1, 2.8,
131.0, 5.1, 9.0,83.1, 2.8,
132.0, 5.1, 9.0,83.1, 2.8,
133.0, 5.1, 9.0,83.1, 2.8,
134.0, 5.1, 9.0,83.1, 2.8,
135.0, 5.1, 9.0,83.1, 2.8,
136.0, 5.1, 8.9,83.2, 2.8,
137.0, 5.1, 8.9,83.2, 2.8,
138.0, 5.1, 9.0,83.1, 2.8,
139.0, 5.1, 8.9,83.2, 2.8,
140.0, 5.1, 8.9,83.2, 2.8,
141.0, 5.1, 9.0,83.1, 2.8,
142.0, 5.1, 9.0,83.2, 2.8,
143.0, 5.1, 9.0,83.2, 2.8,
144.0, 5.1, 8.9,83.2, 2.8,
145.0, 5.1, 8.9,83.2, 2.8,
146.0, 5.1, 8.9,83.2, 2.8,
147.0, 5.1, 8.9,83.2, 2.8,
148.0, 5.1, 8.9,83.2, 2.8,
149.0, 5.1, 8.9,83.2, 2.8,
150.0, 5.1, 8.9,83.2, 2.8,
151.0, 5.1, 8.9,83.2, 2.8,
152.0, 5.1, 8.9,83.2, 2.8,
153.0, 5.1, 8.9,83.2, 2.8,
154.0, 5.1, 8.9,83.2, 2.8,
155.0, 5.1, 8.9,83.2, 2.8,
156.0, 5.1, 8.9,83.2, 2.8,
157.0, 5.1, 8.9,83.2, 2.8,
158.0, 5.1, 8.9,83.2, 2.8,
159.0, 5.1, 8.9,83.2, 2.8,
160.0, 5.1, 8.9,83.2, 2.8,
161.0, 5.1, 8.9,83.2, 2.8,
162.0, 5.1, 8.9,83.2, 2.8,
163.0, 5.1, 8.9,83.2, 2.8,
164.0, 5.1, 8.9,83.2, 2.8,
165.0, 5.1, 8.9,83.2, 2.8,
166.0, 5.1, 8.9,83.2, 2.8,
167.0, 5.1, 8.9,83.2, 2.8,
168.0, 5.1, 8.9,83.2, 2.8,
169.0, 5.1, 8.9,83.2, 2.8,
170.0, 5.1, 8.9,83.2, 2.8,
171.0, 5.1, 8.9,83.2, 2.8,
172.0, 5.1, 9.0,83.2, 2.8,
173.0, 5.1, 9.0,83.1, 2.8,
174.0, 5.1, 9.0,83.1, 2.8,
175.0, 5.1, 8.9,83.2, 2.8,
176.0, 5.1, 8.9,83.2, 2.8,
