time,load,runnable,cpu,idle,iowait,irq,net lo,net enp2s0,net wlp3s0,net docker0,
 1.0,7.68,2,6.88%,0.00%,0.00%,0.69%,0,180,120,0,
 2.0,7.68,2,6.50%,0.00%,0.00%,0.62%,0,192,126,0,
 3.0,7.68,2,2.62%,0.00%,0.00%,0.25%,782,46550,164,0,
 4.0,7.68,17,92.19%,0.06%,0.00%,0.00%,0,120,60,0,
 5.0,8.35,17,100.06%,0.00%,0.00%,0.00%,0,120,60,0,
 6.0,8.35,17,100.00%,0.00%,0.00%,0.00%,0,198,0,0,
 7.0,8.35,17,99.94%,0.00%,0.00%,0.00%,0,246,186,0,
 8.0,8.35,17,100.00%,0.00%,0.00%,0.00%,0,360,164,0,
 9.0,8.35,17,100.06%,0.00%,0.00%,0.00%,0,120,60,0,
10.0,8.96,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
11.0,8.96,17,100.38%,0.00%,0.00%,0.00%,0,60,60,0,
12.0,8.96,17,100.00%,0.00%,0.00%,0.00%,0,306,248,0,
13.0,8.96,17,100.00%,0.00%,0.00%,0.00%,0,120,670,0,
14.0,8.96,17,100.00%,0.00%,0.00%,0.00%,0,696,114,0,
15.0,9.52,17,100.00%,0.00%,0.00%,0.00%,0,214,174,0,
16.0,9.52,17,99.94%,0.00%,0.00%,0.00%,0,558,260,0,
17.0,9.52,17,100.06%,0.00%,0.00%,0.00%,0,406,174,0,
18.0,9.52,18,99.94%,0.00%,0.00%,0.00%,0,706,708,0,
19.0,9.52,17,100.00%,0.00%,0.00%,0.00%,0,258,0,0,
20.0,10.04,17,100.00%,0.00%,0.00%,0.00%,0,120,174,0,
21.0,10.04,17,100.00%,0.00%,0.00%,0.00%,0,214,60,0,
22.0,10.04,17,100.00%,0.00%,0.00%,0.06%,0,738,306,0,
23.0,10.04,17,100.00%,0.00%,0.00%,0.00%,0,492,553,0,
24.0,10.04,17,100.00%,0.00%,0.00%,0.00%,0,284,174,0,
25.0,10.52,17,100.44%,0.00%,0.00%,0.00%,0,706,429,0,
26.0,10.52,17,99.94%,0.00%,0.00%,0.00%,0,952,684,0,
27.0,10.52,17,100.06%,0.00%,0.00%,0.00%,0,126,63,0,
