time,retire,frontend,backend,speculate,
 1.0,33.2,44.8,16.4, 5.5,
 2.0,22.5,63.8,10.7, 2.9,
 3.0,55.8,25.4,16.1, 2.7,
 4.0,48.1,33.1,16.9, 2.0,
 5.0,32.6,19.8,47.3, 0.5,
 6.0, 5.5, 7.4,86.9, 0.2,
 7.0, 6.4, 7.0,86.3, 0.3,
 8.0, 6.1, 7.7,85.9, 0.4,
 9.0, 6.4, 7.6,85.6, 0.4,
10.0, 6.9, 7.7,85.0, 0.4,
11.0, 6.2, 7.7,85.8, 0.4,
12.0, 7.1, 7.8,84.6, 0.5,
13.0, 6.5, 7.9,85.1, 0.4,
14.0, 7.2, 8.2,84.1, 0.5,
15.0, 6.6, 8.3,84.7, 0.4,
16.0, 6.9, 8.4,84.2, 0.5,
17.0, 6.6, 8.3,84.8, 0.4,
18.0, 6.5, 8.1,85.0, 0.4,
19.0,15.8, 6.3,77.3, 0.5,
20.0, 7.4, 7.3,84.8, 0.4,
21.0, 7.0, 7.8,84.8, 0.4,
22.0, 6.8, 7.9,84.8, 0.5,
23.0, 7.4, 8.2,84.0, 0.5,
24.0, 6.9, 8.3,84.4, 0.4,
25.0, 7.1, 8.0,84.5, 0.4,
26.0, 6.6, 7.7,85.3, 0.4,
27.0, 6.9, 7.9,84.8, 0.5,
28.0, 7.2, 8.1,84.2, 0.5,
29.0, 6.8, 8.1,84.7, 0.5,
30.0, 7.6, 7.8,84.1, 0.5,
31.0, 7.0, 7.7,84.8, 0.4,
32.0, 7.8, 7.6,84.0, 0.5,
33.0,14.3, 6.6,78.7, 0.5,
34.0, 8.1, 7.6,83.7, 0.5,
35.0, 7.0, 7.9,84.6, 0.4,
36.0, 6.9, 7.9,84.7, 0.5,
37.0, 7.2, 7.9,84.4, 0.5,
38.0, 6.7, 7.9,85.0, 0.4,
39.0, 7.3, 8.2,84.0, 0.5,
40.0, 6.8, 8.2,84.6, 0.5,
41.0, 7.4, 8.3,83.7, 0.5,
42.0, 6.7, 7.9,84.9, 0.4,
43.0, 7.2, 8.1,84.2, 0.5,
44.0, 7.0, 8.1,84.4, 0.5,
45.0, 6.9, 8.0,84.6, 0.5,
46.0,14.7, 6.4,78.3, 0.5,
47.0, 8.1, 7.7,83.8, 0.5,
48.0, 9.0, 7.7,82.7, 0.5,
49.0, 7.2, 7.9,84.5, 0.4,
50.0, 7.4, 8.3,83.8, 0.5,
51.0, 7.1, 7.8,84.6, 0.4,
52.0, 7.3, 8.1,84.1, 0.5,
53.1, 7.2, 8.2,84.2, 0.5,
54.1, 7.2, 8.1,84.2, 0.5,
55.1, 7.5, 8.2,83.8, 0.5,
56.1, 7.2, 8.2,84.2, 0.5,
57.1, 7.7, 8.1,83.7, 0.5,
58.1, 7.1, 8.0,84.4, 0.5,
59.1, 9.9, 7.3,82.3, 0.5,
60.1,12.2, 6.1,81.3, 0.4,
61.1, 7.9, 7.6,84.1, 0.5,
62.1, 8.8, 7.4,83.2, 0.5,
63.1, 7.9, 8.0,83.6, 0.5,
64.1, 7.5, 7.8,84.2, 0.5,
65.1, 7.7, 7.8,84.0, 0.5,
66.1, 7.5, 7.6,84.5, 0.5,
67.1, 7.5, 7.8,84.3, 0.5,
68.1, 7.5, 7.9,84.2, 0.5,
69.1, 7.4, 8.0,84.2, 0.5,
70.1, 7.7, 8.1,83.6, 0.5,
71.1, 7.4, 7.8,84.3, 0.5,
72.1, 8.1, 7.8,83.5, 0.5,
73.1,12.4, 6.0,81.1, 0.5,
74.1,10.8, 6.7,81.9, 0.5,
75.1, 7.7, 7.5,84.3, 0.5,
76.1, 8.7, 7.1,83.6, 0.5,
77.1, 7.7, 7.9,83.9, 0.5,
78.1, 8.1, 7.8,83.6, 0.5,
79.1, 7.7, 7.8,84.0, 0.5,
80.1, 7.4, 7.7,84.5, 0.5,
81.1, 8.0, 8.1,83.4, 0.5,
82.1, 7.4, 7.8,84.3, 0.5,
83.1, 8.1, 8.0,83.5, 0.5,
84.1, 7.3, 7.7,84.5, 0.5,
85.1, 7.7, 7.8,84.1, 0.5,
86.1,13.2, 6.3,79.9, 0.6,
87.1, 8.3, 7.4,83.9, 0.5,
88.1,10.8, 6.8,81.8, 0.5,
89.1, 7.8, 7.6,84.1, 0.5,
90.1, 8.6, 7.6,83.2, 0.5,
91.1, 7.5, 7.7,84.3, 0.5,
92.1, 8.2, 7.9,83.4, 0.5,
93.1, 7.3, 7.7,84.6, 0.5,
94.1, 7.8, 7.9,83.8, 0.5,
95.1, 7.6, 7.8,84.1, 0.5,
96.1, 7.6, 7.9,84.1, 0.5,
97.1, 7.8, 7.7,84.0, 0.5,
98.1, 7.3, 7.6,84.6, 0.5,
99.1,10.9, 6.8,81.7, 0.6,
100.1,10.4, 6.9,82.3, 0.5,
101.1, 9.4, 7.1,82.9, 0.5,
102.1, 9.5, 7.1,82.9, 0.5,
103.1, 8.8, 7.3,83.4, 0.5,
104.1, 7.5, 7.5,84.5, 0.4,
105.1, 7.3, 7.3,84.9, 0.5,
106.1, 7.7, 7.7,84.1, 0.5,
107.1, 7.4, 7.8,84.3, 0.5,
108.1, 7.9, 7.9,83.6, 0.5,
109.1, 7.4, 7.9,84.3, 0.5,
110.1, 7.9, 8.1,83.5, 0.5,
111.1, 7.7, 8.2,83.6, 0.5,
112.1, 8.6, 7.7,83.1, 0.5,
113.1,12.6, 6.3,80.6, 0.5,
114.1, 7.6, 8.1,83.8, 0.5,
115.1,11.3, 6.9,81.3, 0.5,
116.1, 8.1, 7.4,83.9, 0.5,
117.1, 8.6, 7.6,83.2, 0.5,
118.1, 7.4, 7.8,84.4, 0.5,
119.1, 8.0, 8.0,83.4, 0.5,
120.1, 7.4, 8.0,84.1, 0.5,
121.1, 7.8, 8.3,83.5, 0.5,
122.1, 7.5, 8.1,84.0, 0.5,
123.1, 7.7, 8.1,83.7, 0.5,
124.1, 7.6, 8.2,83.8, 0.5,
125.1, 7.5, 8.3,83.8, 0.5,
126.1,12.2, 6.2,81.0, 0.6,
127.1, 9.0, 7.2,83.3, 0.5,
128.1, 9.9, 7.2,82.4, 0.5,
129.1, 8.8, 7.8,82.9, 0.5,
130.1, 9.3, 7.6,82.6, 0.5,
131.1, 7.4, 8.1,84.0, 0.5,
132.1, 7.8, 8.1,83.6, 0.5,
133.1, 7.5, 8.0,84.0, 0.5,
134.1, 7.4, 7.9,84.3, 0.5,
135.1, 7.7, 7.8,84.0, 0.5,
136.1, 7.4, 7.9,84.2, 0.5,
137.1, 7.8, 8.1,83.6, 0.5,
138.1, 7.5, 7.9,84.1, 0.5,
139.1,10.9, 6.8,81.8, 0.5,
140.1, 9.2, 6.7,83.7, 0.5,
141.1, 9.4, 7.6,82.5, 0.5,
142.1, 9.7, 7.2,82.7, 0.5,
143.1, 8.5, 7.6,83.5, 0.5,
144.1, 8.5, 7.6,83.4, 0.5,
145.1, 7.8, 8.1,83.6, 0.5,
146.1, 7.6, 8.0,83.9, 0.5,
147.1, 7.8, 8.2,83.5, 0.5,
148.1, 7.5, 8.2,83.8, 0.5,
149.1, 7.8, 8.2,83.5, 0.5,
150.1, 7.5, 8.1,83.8, 0.5,
151.1, 7.9, 8.1,83.6, 0.5,
152.1, 9.2, 7.2,83.0, 0.5,
153.1, 9.6, 7.3,82.7, 0.5,
154.1,10.0, 7.4,82.1, 0.5,
155.1, 8.2, 7.6,83.6, 0.5,
156.1,10.0, 7.7,81.9, 0.5,
157.1, 7.9, 7.7,83.9, 0.5,
158.1, 8.1, 8.2,83.2, 0.5,
159.1, 7.5, 8.2,83.8, 0.5,
160.1, 7.9, 8.3,83.3, 0.5,
161.1, 7.6, 8.0,83.9, 0.5,
162.1, 7.6, 8.2,83.7, 0.5,
163.1, 7.6, 8.3,83.6, 0.5,
164.1, 7.5, 8.3,83.7, 0.5,
165.1, 8.5, 7.8,83.1, 0.5,
166.1,10.5, 7.0,82.1, 0.5,
167.1, 9.6, 7.3,82.5, 0.5,
168.1, 8.1, 7.6,83.8, 0.5,
169.1,10.1, 7.5,81.8, 0.5,
170.1, 8.2, 8.0,83.3, 0.5,
171.1, 8.2, 7.9,83.4, 0.5,
172.1, 7.5, 8.1,83.9, 0.5,
173.1, 7.8, 8.1,83.6, 0.5,
174.2, 7.8, 8.1,83.6, 0.5,
175.2, 7.4, 8.3,83.8, 0.5,
176.2, 7.5, 8.3,83.7, 0.5,
177.2, 7.4, 8.3,83.8, 0.5,
178.2, 8.5, 7.9,83.0, 0.5,
179.2,10.3, 6.6,82.7, 0.5,
180.2, 8.9, 7.6,83.1, 0.5,
181.2, 8.9, 8.0,82.6, 0.5,
182.2, 8.1, 7.6,83.9, 0.5,
183.2,10.3, 7.4,81.7, 0.5,
184.2, 8.8, 7.8,82.8, 0.5,
185.2, 7.5, 8.1,84.0, 0.4,
186.2, 7.5, 8.1,83.9, 0.5,
187.2, 7.8, 8.3,83.5, 0.5,
188.2, 7.5, 8.2,83.9, 0.5,
189.2, 7.7, 8.2,83.6, 0.5,
190.2, 7.1, 8.1,84.4, 0.4,
191.2, 8.2, 8.1,83.2, 0.5,
192.2,11.2, 6.8,81.5, 0.5,
193.2, 7.9, 8.1,83.6, 0.5,
194.2, 9.4, 7.6,82.5, 0.5,
195.2, 8.2, 7.8,83.6, 0.5,
196.2, 8.9, 7.6,82.9, 0.5,
197.2, 9.4, 7.6,82.6, 0.5,
198.2, 8.0, 8.0,83.6, 0.4,
199.2, 7.3, 8.2,84.1, 0.4,
200.2, 8.0, 8.3,83.3, 0.5,
201.2, 7.6, 8.2,83.8, 0.5,
202.2, 7.8, 8.4,83.3, 0.5,
203.2, 7.3, 8.6,83.7, 0.4,
204.2, 8.0, 8.4,83.1, 0.5,
205.2,10.9, 6.8,81.8, 0.5,
206.2, 7.9, 8.3,83.3, 0.5,
207.2, 9.0, 7.9,82.6, 0.5,
208.2, 8.2, 8.1,83.2, 0.5,
209.2, 8.9, 7.9,82.7, 0.5,
210.2, 9.4, 7.4,82.7, 0.5,
211.2, 8.0, 8.0,83.4, 0.5,
212.2, 8.0, 8.1,83.4, 0.5,
213.2, 7.8, 8.3,83.4, 0.5,
214.2, 7.5, 8.2,83.9, 0.5,
215.2, 7.7, 8.3,83.6, 0.5,
216.2, 7.2, 8.1,84.2, 0.5,
217.2, 7.8, 8.7,83.0, 0.5,
218.2,11.2, 7.5,80.7, 0.5,
219.2, 8.0, 8.5,83.1, 0.5,
220.2, 8.8, 8.2,82.5, 0.5,
221.2, 8.1, 8.3,83.1, 0.5,
222.2, 9.3, 8.3,81.8, 0.5,
223.2, 9.2, 8.0,82.4, 0.5,
224.2, 8.3, 8.5,82.7, 0.5,
225.2, 8.2, 8.1,83.3, 0.4,
226.2, 7.6, 8.2,83.7, 0.5,
227.2, 7.3, 8.3,83.9, 0.5,
228.2, 7.7, 8.5,83.3, 0.5,
229.2, 7.3, 8.4,83.9, 0.5,
230.2, 7.5, 8.5,83.7, 0.4,
231.2,10.9, 6.8,81.7, 0.5,
232.2, 7.9, 8.2,83.4, 0.4,
233.2, 8.2, 8.1,83.3, 0.5,
234.2, 8.4, 8.1,83.1, 0.5,
235.2, 8.1, 8.2,83.2, 0.5,
236.2, 9.1, 7.2,83.3, 0.5,
237.2, 8.7, 8.2,82.5, 0.5,
238.2, 8.2, 8.0,83.4, 0.4,
239.2, 7.7, 8.0,83.8, 0.5,
240.2, 7.5, 8.3,83.7, 0.5,
241.2, 7.3, 8.3,83.9, 0.5,
242.2, 7.5, 8.3,83.8, 0.5,
243.2, 7.6, 8.4,83.6, 0.5,
244.2,10.3, 7.1,82.1, 0.5,
245.2, 8.1, 8.3,83.2, 0.5,
246.2, 8.0, 8.4,83.2, 0.5,
247.2, 8.0, 8.1,83.5, 0.5,
248.2, 7.9, 8.5,83.2, 0.5,
249.2, 9.1, 7.6,82.8, 0.5,
250.2, 8.5, 8.2,82.9, 0.5,
251.2, 8.1, 8.3,83.1, 0.5,
252.2, 8.0, 8.3,83.2, 0.4,
253.2, 7.3, 8.7,83.5, 0.5,
254.2, 7.2, 8.7,83.6, 0.4,
255.2, 7.2, 8.7,83.6, 0.4,
256.2, 7.4, 8.7,83.5, 0.5,
257.2,10.2, 7.2,82.1, 0.5,
258.2, 7.7, 8.4,83.5, 0.4,
259.2, 7.9, 8.4,83.2, 0.5,
260.2, 8.2, 8.0,83.4, 0.5,
261.2, 7.5, 8.8,83.3, 0.4,
262.2, 8.6, 7.7,83.3, 0.5,
263.2, 8.8, 7.9,82.8, 0.5,
264.2, 7.4, 8.5,83.7, 0.4,
265.2, 8.1, 8.2,83.3, 0.5,
266.2, 7.7, 8.5,83.3, 0.5,
267.2, 7.1, 8.6,83.9, 0.4,
268.2, 7.0, 8.4,84.1, 0.4,
269.2, 7.3, 8.6,83.7, 0.5,
270.2, 9.2, 7.2,83.1, 0.5,
271.2, 8.0, 7.8,83.7, 0.5,
272.2, 7.8, 8.1,83.7, 0.4,
273.2, 7.7, 7.7,84.2, 0.4,
274.2, 7.5, 8.1,83.9, 0.5,
275.2, 8.9, 7.7,82.9, 0.5,
276.2, 7.8, 7.9,83.9, 0.4,
277.2, 7.4, 8.3,83.7, 0.5,
278.2, 8.0, 8.1,83.4, 0.4,
279.2, 7.2, 8.2,84.2, 0.4,
280.2, 7.8, 8.4,83.4, 0.5,
281.2, 6.8, 8.5,84.3, 0.4,
282.2, 6.9, 8.5,84.2, 0.4,
283.2, 8.5, 7.9,83.1, 0.5,
284.2, 8.2, 8.0,83.4, 0.4,
285.2, 7.4, 8.5,83.6, 0.5,
286.2, 7.9, 8.1,83.6, 0.4,
287.2, 7.6, 8.2,83.7, 0.5,
288.2, 8.1, 8.2,83.3, 0.4,
289.2, 8.0, 8.0,83.5, 0.4,
290.2, 7.2, 8.4,84.0, 0.4,
291.2, 7.6, 8.3,83.6, 0.4,
292.2, 6.9, 7.9,84.7, 0.4,
293.2, 7.9, 8.4,83.2, 0.5,
294.2, 6.9, 8.3,84.4, 0.4,
295.2, 6.7, 8.6,84.3, 0.4,
296.2, 7.6, 7.8,84.1, 0.5,
297.2, 8.6, 7.7,83.3, 0.5,
298.3, 7.1, 8.5,84.0, 0.4,
299.3, 7.7, 8.3,83.5, 0.5,
300.3, 7.4, 7.9,84.3, 0.4,
301.3, 8.0, 8.3,83.2, 0.5,
302.3, 8.1, 7.6,83.9, 0.4,
303.3, 7.0, 8.4,84.2, 0.4,
304.3, 7.3, 8.6,83.7, 0.4,
305.3, 7.1, 8.1,84.4, 0.4,
306.3, 8.0, 8.3,83.3, 0.5,
307.3, 6.8, 8.6,84.2, 0.4,
308.3, 6.9, 8.6,84.1, 0.4,
309.3, 7.7, 8.3,83.5, 0.5,
310.3, 8.2, 7.3,84.0, 0.4,
311.3, 7.1, 8.3,84.2, 0.5,
312.3, 7.7, 8.3,83.6, 0.4,
313.3, 7.0, 8.2,84.3, 0.4,
314.3, 7.9, 8.2,83.5, 0.5,
315.3, 8.8, 7.3,83.5, 0.4,
316.3, 6.7, 8.6,84.3, 0.4,
317.3, 7.2, 8.5,83.8, 0.5,
318.3, 7.2, 8.6,83.8, 0.4,
319.3, 7.6, 8.0,84.0, 0.5,
320.3, 7.2, 8.4,83.9, 0.4,
321.3, 7.0, 8.6,84.0, 0.4,
322.3, 6.6, 8.9,84.1, 0.4,
323.3, 9.5, 7.3,82.7, 0.5,
324.3, 6.4, 8.2,85.0, 0.4,
325.3, 7.1, 8.3,84.1, 0.4,
326.3, 7.9, 8.1,83.5, 0.5,
327.3, 7.7, 8.0,83.9, 0.4,
328.3, 8.7, 7.3,83.4, 0.5,
