time,load,runnable,cpu,idle,iowait,irq,net lo,net enp2s0,net wlp3s0,net docker0,
 1.0,0.92,2,7.00%,0.00%,0.00%,1.31%,0,268,197,0,
 2.0,0.92,2,6.94%,0.00%,0.00%,0.38%,0,0,0,0,
 3.0,0.85,3,3.50%,0.00%,0.00%,0.69%,840,47150,414,0,
 4.0,0.85,2,3.56%,0.12%,0.00%,0.00%,0,1452,378,0,
 5.0,0.85,17,80.56%,0.06%,0.00%,0.06%,0,1750,567,0,
 6.0,0.85,17,100.00%,0.00%,0.00%,0.00%,0,1640,609,0,
 7.0,0.85,17,100.00%,0.00%,0.00%,0.00%,0,66,0,0,
 8.0,2.06,17,100.00%,0.00%,0.00%,0.00%,0,120,104,0,
 9.0,2.06,17,100.44%,0.00%,0.00%,0.00%,0,0,0,0,
10.0,2.06,17,99.94%,0.00%,0.00%,0.00%,0,126,63,0,
11.0,2.06,17,100.00%,0.00%,0.00%,0.00%,0,0,63,0,
12.0,2.06,17,100.00%,0.00%,0.00%,0.00%,0,260,60,0,
13.0,3.18,17,100.38%,0.00%,0.00%,0.00%,0,0,0,0,
14.0,3.18,17,100.06%,0.00%,0.00%,0.00%,0,120,60,0,
15.0,3.18,17,100.00%,0.00%,0.00%,0.00%,0,126,63,0,
16.0,3.18,17,99.94%,0.00%,0.00%,0.06%,0,324,123,0,
17.0,3.18,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
18.0,4.20,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
19.0,4.20,17,100.38%,0.00%,0.00%,0.00%,0,0,0,0,
20.0,4.20,17,99.94%,0.00%,0.00%,0.06%,0,246,123,0,
21.0,4.20,17,100.00%,0.00%,0.00%,0.00%,0,0,63,0,
22.0,4.20,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
23.0,5.15,17,100.44%,0.00%,0.00%,0.00%,0,628,246,0,
24.0,5.15,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
25.0,5.15,17,100.00%,0.00%,0.00%,0.00%,0,126,63,0,
26.0,5.15,17,100.00%,0.00%,0.00%,0.00%,0,120,63,0,
27.0,5.15,17,100.38%,0.00%,0.00%,0.00%,0,576,598,0,
28.0,6.02,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
29.0,6.02,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
30.0,6.02,17,100.00%,0.00%,0.00%,0.00%,0,246,186,0,
31.0,6.02,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
32.0,6.02,17,100.38%,0.00%,0.00%,0.00%,0,120,0,0,
33.0,6.82,17,100.00%,0.00%,0.00%,0.00%,0,141,60,0,
34.0,6.82,17,100.06%,0.00%,0.00%,0.00%,0,66,0,0,
35.0,6.82,17,99.94%,0.00%,0.00%,0.00%,0,246,186,0,
36.0,6.82,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
37.0,6.82,17,100.44%,0.00%,0.00%,0.00%,0,120,60,0,
38.0,7.55,18,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
39.0,7.55,17,99.94%,0.00%,0.00%,0.00%,0,378,60,0,
40.0,7.55,17,100.00%,0.00%,0.00%,0.00%,0,126,63,0,
41.0,7.55,17,100.06%,0.00%,0.00%,0.00%,0,180,185,0,
42.0,7.55,17,100.38%,0.00%,0.00%,0.00%,0,0,0,0,
43.0,8.23,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
44.0,8.23,17,100.00%,0.00%,0.00%,0.00%,0,246,123,0,
45.0,8.23,17,100.00%,0.00%,0.00%,0.00%,0,246,123,0,
46.0,8.23,17,100.00%,0.00%,0.00%,0.00%,0,470,212,0,
47.0,8.23,17,100.44%,0.00%,0.00%,0.00%,0,120,60,0,
48.0,8.85,17,99.94%,0.00%,0.00%,0.00%,0,0,0,0,
49.0,8.85,17,100.06%,0.00%,0.00%,0.00%,0,120,60,0,
50.0,8.85,17,99.94%,0.00%,0.00%,0.00%,0,823,475,0,
51.0,8.85,17,100.00%,0.00%,0.00%,0.06%,0,901,325,0,
52.0,8.85,17,100.25%,0.00%,0.00%,0.00%,0,450,204,0,
53.0,9.43,17,100.06%,0.00%,0.00%,0.06%,0,450,290,0,
54.0,9.43,17,100.00%,0.00%,0.00%,0.00%,0,381,421,0,
55.0,9.43,17,100.00%,0.00%,0.00%,0.00%,0,368,613,0,
56.0,9.43,17,100.06%,0.00%,0.00%,0.00%,0,650,63,0,
57.0,9.43,17,100.31%,0.00%,0.00%,0.00%,0,182,174,0,
58.0,9.95,17,100.00%,0.00%,0.00%,0.00%,0,242,148,0,
59.0,9.95,17,100.06%,0.00%,0.00%,0.00%,0,356,60,0,
60.0,9.95,17,100.00%,0.00%,0.00%,0.00%,0,470,426,0,
61.0,9.95,17,100.00%,0.00%,0.00%,0.00%,0,552,478,0,
62.0,9.95,17,100.00%,0.00%,0.00%,0.00%,0,94,0,0,
63.0,10.44,17,100.44%,0.00%,0.00%,0.00%,0,0,0,0,
