time,retire,frontend,backend,speculate,
 1.0,33.4,44.8,16.2, 5.6,
 2.0,22.3,64.9,10.1, 2.7,
 3.0,36.3,39.7,20.1, 4.0,
 4.0,25.7,20.2,52.4, 1.8,
 5.0,11.4, 8.5,79.4, 0.8,
 6.0, 8.5, 6.8,84.2, 0.5,
 7.0, 7.4, 6.0,86.1, 0.4,
 8.0, 6.8, 5.5,87.3, 0.4,
 9.0, 6.6, 5.3,87.7, 0.4,
10.0, 6.5, 5.1,88.0, 0.4,
11.0, 6.2, 4.8,88.7, 0.3,
12.0, 6.2, 4.6,88.9, 0.3,
13.0, 6.0, 4.5,89.2, 0.3,
14.0, 5.9, 4.3,89.6, 0.3,
15.0, 5.8, 4.3,89.6, 0.3,
16.0, 5.7, 4.1,90.0, 0.3,
17.0, 5.7, 4.1,89.9, 0.3,
18.0, 5.6, 4.0,90.1, 0.3,
19.0, 5.7, 3.8,90.2, 0.3,
20.0, 6.1, 4.2,89.5, 0.3,
21.0,20.5,14.7,63.5, 1.3,
22.0,12.1, 8.7,78.4, 0.8,
23.0, 9.7, 7.2,82.5, 0.6,
24.0, 9.1, 6.9,83.5, 0.6,
25.0, 8.8, 6.6,84.1, 0.5,
26.0, 8.6, 6.4,84.4, 0.5,
27.0, 8.4, 6.2,84.9, 0.5,
28.0, 8.2, 6.2,85.2, 0.5,
29.0, 8.1, 5.9,85.5, 0.5,
30.0, 8.0, 5.8,85.7, 0.4,
31.0, 8.0, 5.7,85.9, 0.4,
32.0, 7.8, 5.6,86.1, 0.4,
33.0, 7.9, 5.6,86.1, 0.4,
34.0, 7.9, 5.5,86.2, 0.4,
35.0, 8.0, 5.7,85.9, 0.4,
36.0, 7.9, 5.6,86.1, 0.4,
37.0, 7.8, 5.5,86.2, 0.4,
38.0, 7.8, 5.4,86.4, 0.4,
39.0, 7.8, 5.3,86.5, 0.4,
40.0, 7.8, 5.4,86.4, 0.4,
41.0, 7.9, 5.2,86.5, 0.4,
42.0, 7.9, 5.2,86.5, 0.4,
43.0, 7.9, 5.2,86.5, 0.4,
44.0, 7.9, 5.1,86.6, 0.4,
45.0, 7.8, 5.0,86.8, 0.4,
46.0, 7.9, 5.0,86.8, 0.4,
47.0, 7.8, 5.0,86.9, 0.4,
48.0, 7.7, 4.9,87.0, 0.4,
49.0, 7.7, 4.8,87.1, 0.4,
50.0, 7.6, 4.8,87.2, 0.4,
51.0, 7.8, 4.9,86.9, 0.4,
52.0, 7.8, 4.9,87.0, 0.4,
53.0, 7.7, 4.7,87.2, 0.4,
54.0, 9.8, 7.1,82.4, 0.6,
55.0,16.4,14.3,67.5, 1.8,
56.0, 9.4, 8.9,80.5, 1.2,
57.0, 7.7, 7.8,83.5, 1.0,
58.0, 7.3, 7.6,84.2, 0.9,
59.0, 7.0, 7.5,84.6, 0.9,
60.0, 6.8, 7.4,84.9, 0.9,
61.0, 6.9, 7.3,84.9, 0.9,
62.0, 6.6, 7.2,85.3, 0.9,
63.0, 6.6, 7.1,85.5, 0.9,
64.0, 6.7, 7.1,85.4, 0.9,
65.0, 6.5, 7.0,85.7, 0.8,
66.0, 6.6, 6.9,85.7, 0.8,
67.0, 6.5, 6.9,85.8, 0.8,
68.0, 6.3, 6.9,86.0, 0.8,
69.0, 6.4, 6.7,86.0, 0.8,
70.0, 6.7, 6.8,85.6, 0.8,
71.0, 6.5, 6.7,85.9, 0.8,
72.0, 6.5, 6.7,86.0, 0.8,
73.0, 6.3, 6.7,86.2, 0.8,
74.0, 6.5, 6.7,86.0, 0.8,
75.0, 6.6, 6.6,86.0, 0.8,
76.0, 6.6, 6.6,86.0, 0.8,
77.0, 6.8, 6.6,85.8, 0.8,
78.0, 6.7, 6.5,86.0, 0.8,
79.0, 6.7, 6.5,86.0, 0.8,
80.0, 6.6, 6.5,86.1, 0.8,
81.0, 6.6, 6.5,86.2, 0.8,
82.0, 6.6, 6.5,86.1, 0.8,
83.0, 6.4, 6.4,86.5, 0.8,
84.0, 6.7, 6.4,86.1, 0.8,
85.0, 6.6, 6.4,86.2, 0.8,
86.0, 6.6, 6.4,86.2, 0.8,
87.0, 6.9, 6.4,85.9, 0.8,
88.0, 6.8, 6.4,86.0, 0.8,
89.0, 6.7, 6.4,86.2, 0.8,
90.0, 6.5, 6.3,86.4, 0.8,
91.0, 6.8, 6.3,86.1, 0.8,
92.0, 7.1, 6.3,85.8, 0.8,
93.0, 7.0, 6.3,85.9, 0.8,
94.0, 7.0, 6.3,85.9, 0.8,
95.0, 6.7, 6.2,86.3, 0.8,
96.0, 6.7, 6.2,86.3, 0.8,
97.0, 7.0, 6.2,86.0, 0.8,
98.0, 7.0, 6.3,85.9, 0.8,
99.0, 6.7, 6.2,86.3, 0.8,
100.0, 6.5, 6.2,86.4, 0.8,
101.0, 6.8, 6.2,86.2, 0.8,
102.0, 6.9, 6.2,86.1, 0.8,
103.0, 7.0, 6.2,86.0, 0.8,
104.0, 9.4, 8.7,81.0, 0.9,
105.0,10.0, 9.3,79.8, 0.9,
106.0, 6.1, 6.6,86.7, 0.5,
107.0, 5.4, 6.3,87.8, 0.5,
108.0, 5.2, 6.1,88.2, 0.5,
109.0, 5.0, 6.0,88.5, 0.4,
110.0, 4.9, 5.9,88.8, 0.4,
111.0, 4.8, 5.7,89.0, 0.4,
112.0,17.3, 9.0,73.2, 0.4,
113.0,52.9,16.3,30.6, 0.2,
114.0,21.6,11.2,67.1, 0.1,
115.0,18.7,11.5,69.7, 0.1,
116.0,26.3,12.1,61.3, 0.2,
117.0,30.5,10.4,59.0, 0.2,
118.0,17.7, 9.0,73.1, 0.1,
119.0,20.0,10.0,69.9, 0.1,
120.0,30.5,10.6,58.6, 0.2,
121.0,25.7, 9.7,64.4, 0.2,
122.0,28.9,11.1,59.8, 0.2,
123.0,33.8,10.5,55.4, 0.2,
124.0,21.2, 8.4,70.3, 0.2,
125.0,18.5, 9.5,71.9, 0.1,
126.0,19.3,10.4,70.2, 0.1,
127.0,19.2,10.4,70.3, 0.1,
128.0,19.3,10.4,70.2, 0.1,
129.0,19.4,10.4,70.1, 0.1,
130.0,19.4,10.5,70.0, 0.1,
131.0,19.5,10.4,69.9, 0.1,
132.1,19.5,10.5,69.9, 0.1,
133.1,19.4,10.4,70.0, 0.1,
134.1,19.4,10.5,70.0, 0.1,
135.1,20.7,10.6,68.6, 0.1,
136.1,36.9,13.9,49.0, 0.2,
137.1,58.2,22.5,19.2, 0.2,
138.1,56.4,21.2,22.1, 0.3,
139.1,38.8,14.1,45.9, 1.3,
140.1,29.9,12.7,55.9, 1.5,
141.1,28.8,11.5,58.2, 1.4,
142.1,28.9,11.5,58.3, 1.4,
143.1,29.4,11.2,57.9, 1.4,
144.1,29.0,11.3,58.3, 1.4,
145.1,29.1,11.9,57.6, 1.4,
146.1,28.7,13.1,56.9, 1.3,
147.1,29.0,10.9,58.9, 1.2,
148.1,29.2,10.4,59.2, 1.3,
149.1,29.3,10.6,58.8, 1.3,
150.1,29.2,10.7,58.8, 1.3,
151.1,28.8,10.4,59.5, 1.3,
152.1,28.7,10.6,59.4, 1.3,
153.1,28.3,10.7,59.8, 1.2,
154.1,28.8,10.5,59.4, 1.3,
155.1,28.7,10.5,59.5, 1.3,
156.1,29.1,10.6,58.9, 1.3,
157.1,28.8,10.5,59.4, 1.3,
158.1,28.8,10.5,59.4, 1.3,
159.1,29.3,10.5,58.9, 1.3,
160.1,28.7,10.3,59.7, 1.3,
161.1,28.3,10.3,60.2, 1.2,
162.1,28.9,10.4,59.5, 1.3,
163.1,28.6,10.4,59.6, 1.3,
164.1,28.5,10.6,59.6, 1.3,
165.1,29.1,10.8,58.8, 1.3,
166.1,29.0,10.7,59.1, 1.3,
167.1,28.2,10.4,60.2, 1.3,
168.1,28.5,10.8,59.4, 1.3,
169.1,28.5,11.0,59.3, 1.3,
170.1,28.2,11.2,59.4, 1.3,
171.1,28.6,10.8,59.3, 1.3,
172.1,28.6,10.6,59.6, 1.3,
173.1,28.3,10.5,59.9, 1.3,
174.1,28.5,10.6,59.5, 1.3,
175.1,28.3,10.6,59.8, 1.3,
176.1,28.3,10.8,59.6, 1.3,
177.1,28.5,11.0,59.1, 1.3,
178.1,29.0,10.8,58.9, 1.3,
179.1,29.4,10.8,58.5, 1.3,
180.1,28.8,10.6,59.3, 1.3,
181.1,28.9,10.5,59.3, 1.3,
182.1,28.7,10.5,59.4, 1.3,
183.1,28.5,10.5,59.7, 1.3,
184.1,28.6,10.6,59.5, 1.3,
185.1,28.6,10.6,59.5, 1.3,
186.1,28.4,10.5,59.8, 1.3,
187.1,28.3,10.5,59.8, 1.3,
188.1,28.5,10.7,59.5, 1.3,
189.1,28.6,10.8,59.3, 1.3,
190.1,28.6,10.8,59.3, 1.3,
191.1,28.5,11.7,58.5, 1.3,
192.1,28.3,12.4,58.0, 1.4,
193.1,27.7,13.8,57.1, 1.3,
194.1,27.9,11.3,59.4, 1.3,
195.1,28.3,11.8,58.6, 1.3,
196.1,28.1,10.7,59.9, 1.3,
197.1,28.3,10.9,59.6, 1.3,
198.1,28.4,11.0,59.3, 1.3,
199.1,28.6,11.0,59.0, 1.4,
200.1,28.5,11.1,59.0, 1.4,
201.1,28.1,11.0,59.5, 1.3,
202.1,28.1,11.0,59.6, 1.3,
203.1,28.2,11.1,59.4, 1.3,
204.1,28.0,11.1,59.6, 1.3,
205.1,28.1,10.9,59.6, 1.3,
206.1,28.0,10.9,59.8, 1.3,
207.1,28.1,10.8,59.7, 1.3,
208.1,28.3,10.9,59.5, 1.4,
209.1,28.2,10.8,59.6, 1.3,
210.1,27.9,10.8,60.0, 1.3,
211.1,27.9,10.8,60.0, 1.3,
212.1,27.9,10.9,59.8, 1.4,
213.1,27.9,11.1,59.7, 1.3,
214.1,27.7,10.9,60.0, 1.3,
215.1,27.9,10.9,59.9, 1.4,
216.1,27.9,11.0,59.7, 1.4,
217.1,27.7,10.8,60.1, 1.3,
218.1,28.2,11.0,59.4, 1.4,
219.1,28.0,10.8,59.8, 1.4,
220.1,27.9,10.7,60.1, 1.4,
221.1,27.9,10.8,60.0, 1.3,
222.1,27.7,10.7,60.3, 1.3,
223.1,27.8,10.7,60.2, 1.3,
224.1,27.5,10.7,60.5, 1.3,
225.1,27.4,10.6,60.7, 1.3,
226.1,27.9,10.7,60.1, 1.3,
227.1,27.7,10.6,60.4, 1.3,
228.1,27.8,10.8,60.1, 1.3,
229.1,27.8,10.6,60.3, 1.3,
230.1,27.6,10.4,60.7, 1.3,
231.1,27.6,10.5,60.6, 1.3,
232.1,27.7,10.5,60.5, 1.4,
233.1,28.0,10.5,60.2, 1.4,
234.1,28.2,10.6,59.8, 1.4,
235.1,28.0,10.7,59.9, 1.4,
236.1,27.8,10.5,60.3, 1.4,
237.1,27.6,10.9,60.1, 1.4,
238.1,28.0,10.9,59.7, 1.4,
239.1,28.2,11.7,58.7, 1.5,
240.1,29.1,12.3,56.9, 1.7,
241.1,31.4,10.8,55.6, 2.1,
242.1,31.2, 9.3,56.8, 2.7,
243.1,24.6,38.2,34.9, 2.4,
244.1,14.1,10.7,74.2, 1.0,
245.1, 9.0, 7.2,83.2, 0.6,
246.1, 7.7, 6.4,85.5, 0.5,
247.1, 6.9, 5.7,87.0, 0.4,
248.1, 6.8, 5.5,87.3, 0.4,
249.1, 6.5, 5.2,87.9, 0.4,
250.1, 6.4, 5.0,88.3, 0.3,
251.1, 6.2, 4.8,88.7, 0.3,
252.1, 6.1, 4.6,89.0, 0.3,
253.1, 5.9, 4.4,89.3, 0.3,
254.1, 5.9, 4.3,89.6, 0.3,
255.1, 5.7, 4.2,89.8, 0.3,
256.1, 5.7, 4.2,89.8, 0.3,
257.1, 5.7, 4.1,90.0, 0.3,
258.1, 5.7, 3.9,90.1, 0.3,
259.1, 5.9, 4.0,89.9, 0.3,
260.1,18.6,13.4,66.9, 1.1,
261.1,14.8,10.2,74.0, 1.0,
262.1,10.0, 7.2,82.2, 0.6,
263.1, 9.2, 6.7,83.5, 0.6,
264.1, 8.8, 6.5,84.1, 0.5,
265.1, 8.7, 6.3,84.5, 0.5,
