time,retire,frontend,backend,speculate,
 1.0,33.2,44.5,16.7, 5.6,
 2.0,22.7,63.7,10.7, 2.9,
 3.0,34.5,40.2,21.2, 4.1,
 4.0,57.5,24.0,16.6, 1.9,
 5.0,82.0, 5.5,11.8, 0.7,
 6.0,82.1, 5.4,11.8, 0.7,
 7.0,82.4, 5.3,11.6, 0.7,
 8.0,33.6,41.2,21.5, 3.8,
 9.0,32.6,37.7,21.6, 8.2,
10.0,31.9,38.4,23.6, 6.1,
11.0,32.9,37.3,24.1, 5.7,
12.0,31.0,37.4,25.6, 6.1,
13.0,31.7,39.1,19.2,10.1,
14.0,31.4,39.0,19.9, 9.7,
15.0,31.4,38.6,20.6, 9.4,
16.0,31.7,38.5,20.5, 9.3,
17.0,31.1,39.1,19.8,10.0,
18.0,54.5,22.7,19.1, 3.8,
19.0,82.1, 5.5,11.8, 0.6,
20.0,82.2, 5.4,11.8, 0.6,
21.0,45.3,19.0,35.0, 0.8,
22.0,29.6,11.7,57.7, 1.0,
23.0,30.8,11.3,55.8, 2.1,
24.0,32.0,11.0,55.2, 1.9,
25.0,33.3,13.2,51.1, 2.3,
26.0,31.0,11.7,55.5, 1.8,
27.0,32.2,11.4,54.6, 1.9,
28.0,32.4,10.9,54.9, 1.8,
29.0,33.5,10.2,54.5, 1.8,
30.0,32.4,11.5,54.3, 1.8,
31.0,32.4,10.2,55.8, 1.5,
32.0,31.2, 8.6,58.7, 1.5,
33.0,31.9,11.0,55.2, 1.9,
34.0,34.6,14.1,48.8, 2.5,
35.0,35.1,14.7,47.5, 2.7,
36.0,34.9,14.4,48.2, 2.5,
37.0,34.6,13.8,49.4, 2.2,
38.0,36.0,12.7,49.1, 2.2,
39.0,34.8,13.6,49.3, 2.3,
40.0,33.5,13.6,50.7, 2.2,
41.0,32.6,12.6,52.8, 2.0,
42.0,34.3,18.2,45.2, 2.3,
43.0,36.7,21.1,40.5, 1.7,
44.0,38.1,21.3,37.8, 2.7,
45.0,37.6,21.2,39.3, 1.9,
46.0,37.9,21.9,37.9, 2.4,
47.0,38.4,22.6,37.0, 2.0,
48.0,38.6,21.6,37.7, 2.1,
49.0,38.5,22.1,37.1, 2.3,
50.0,38.2,21.9,37.2, 2.7,
51.0,37.4,22.2,37.7, 2.6,
52.0,39.0,24.0,34.5, 2.6,
53.0,37.9,22.6,37.5, 2.0,
54.0,37.5,22.2,37.9, 2.3,
55.0,37.3,22.0,38.7, 2.0,
56.0,37.3,19.6,40.9, 2.1,
57.0,36.7,22.8,38.0, 2.5,
58.0,36.2,22.6,39.1, 2.1,
59.0,36.8,22.2,39.3, 1.8,
60.0,38.6,22.0,37.4, 2.0,
61.0,39.2,22.8,36.0, 2.0,
62.0,38.1,22.7,37.3, 2.0,
63.0,38.4,20.4,39.3, 1.9,
64.0,36.4,19.1,42.5, 2.0,
65.0,35.0,20.4,43.3, 1.3,
66.0,36.4,20.0,41.9, 1.7,
67.0,37.9,22.3,38.0, 1.8,
68.0,38.4,22.9,36.7, 1.9,
69.0,38.6,22.3,37.4, 1.7,
70.0,39.0,23.7,35.1, 2.2,
71.0,40.7,24.1,32.4, 2.8,
72.0,40.3,24.5,32.4, 2.9,
73.0,40.7,24.3,32.1, 2.8,
74.0,40.1,24.0,33.2, 2.8,
75.0,40.3,24.2,32.6, 2.9,
76.0,39.7,23.9,33.6, 2.8,
77.0,40.0,22.9,34.4, 2.8,
78.0,39.3,22.8,34.7, 3.2,
79.0,39.3,23.6,34.3, 2.8,
80.0,39.7,24.1,33.8, 2.5,
81.0,39.9,24.0,33.3, 2.8,
82.0,40.0,23.4,33.9, 2.6,
83.0,40.2,24.2,33.0, 2.6,
84.0,40.9,24.2,32.2, 2.7,
85.0,40.9,24.5,31.9, 2.8,
86.0,40.2,24.7,32.2, 2.8,
87.0,41.0,23.5,32.8, 2.6,
88.0,39.1,23.7,34.1, 3.1,
89.0,38.6,23.6,35.3, 2.5,
90.0,38.8,23.6,35.1, 2.5,
91.0,37.9,23.1,36.1, 2.9,
92.0,38.6,23.3,35.5, 2.5,
93.0,38.5,22.0,37.7, 1.7,
94.0,39.9,22.0,35.7, 2.4,
95.0,38.8,22.1,36.4, 2.8,
96.0,35.1,19.0,44.4, 1.5,
97.0,37.1,18.4,42.2, 2.4,
98.0,38.3,20.3,39.4, 2.0,
99.0,38.2,20.6,39.2, 2.0,
100.0,39.3,20.6,38.1, 2.0,
101.0,39.0,19.5,39.7, 1.7,
102.0,39.9,21.8,35.8, 2.5,
103.0,40.2,22.2,34.8, 2.8,
104.0,40.1,22.2,34.7, 2.9,
105.0,40.6,22.6,33.8, 3.0,
106.0,40.7,22.3,34.1, 2.9,
107.0,40.6,22.8,33.6, 3.0,
108.0,40.2,22.7,34.1, 3.1,
109.0,40.1,22.1,34.9, 2.9,
110.0,39.5,22.5,35.1, 2.9,
111.0,39.1,21.2,36.7, 3.0,
112.0,39.3,22.7,34.6, 3.4,
113.0,39.5,22.8,34.6, 3.1,
114.0,40.9,22.9,33.2, 2.9,
115.0,40.5,22.9,33.5, 3.1,
116.0,40.6,23.1,33.2, 3.1,
117.0,40.5,22.6,34.1, 2.8,
118.0,40.6,23.3,33.1, 3.1,
119.0,40.9,22.6,33.6, 2.9,
120.0,40.7,22.4,34.0, 2.9,
121.0,40.4,22.7,33.9, 2.9,
122.0,40.4,23.4,33.1, 3.1,
123.0,40.7,23.1,33.2, 3.0,
124.0,40.5,22.7,33.9, 2.9,
125.0,39.4,22.9,34.3, 3.3,
126.0,39.3,23.2,34.3, 3.3,
127.0,39.7,22.7,34.8, 2.7,
128.0,39.1,22.1,36.1, 2.7,
129.0,38.0,21.7,37.3, 3.0,
130.0,38.7,22.9,35.3, 3.1,
131.0,38.7,20.7,38.3, 2.3,
132.0,38.8,19.6,39.8, 1.8,
133.0,40.1,20.8,36.3, 2.8,
134.0,40.4,20.3,36.3, 3.0,
135.0,39.4,23.9,32.9, 3.9,
136.0,38.7,19.7,39.6, 2.1,
137.0,39.4,21.8,36.2, 2.6,
138.0,39.8,22.5,34.9, 2.9,
139.0,40.1,23.8,33.0, 3.1,
140.0,39.8,23.7,33.3, 3.2,
141.0,40.0,23.8,32.9, 3.2,
142.0,40.0,23.8,33.0, 3.2,
143.0,39.7,23.6,33.5, 3.2,
144.0,40.6,23.4,33.0, 3.1,
145.0,40.2,23.1,33.7, 3.0,
146.0,40.1,23.7,33.1, 3.1,
147.0,39.5,23.8,33.6, 3.2,
148.0,39.3,24.9,32.2, 3.5,
149.0,39.0,22.5,35.8, 2.7,
150.0,39.5,20.8,37.6, 2.1,
151.0,39.3,20.4,38.5, 1.8,
152.0,39.7,22.5,35.4, 2.4,
153.0,39.4,23.9,34.0, 2.7,
154.0,31.1,33.7,34.0, 1.2,
155.0,19.3,57.1,20.1, 3.5,
156.0,25.3,24.6,48.9, 1.3,
157.0,31.1,10.7,56.4, 1.7,
158.0,30.6,10.9,56.8, 1.7,
159.0,32.6,11.4,54.0, 2.0,
160.0,32.5,13.8,51.3, 2.3,
161.0,30.5,10.8,57.1, 1.6,
162.0,32.6,10.7,54.8, 1.9,
163.0,31.0,10.4,57.0, 1.6,
164.0,33.1, 9.9,55.1, 1.9,
165.0,32.2,10.6,55.4, 1.7,
166.0,30.3, 9.0,59.4, 1.3,
167.0,31.0, 8.9,58.4, 1.7,
168.0,31.4,10.0,56.7, 1.9,
169.0,34.3,14.3,48.7, 2.7,
170.0,34.3,13.5,49.6, 2.5,
171.0,34.3,13.7,49.5, 2.5,
172.0,34.0,12.1,51.8, 2.0,
173.0,34.1,12.1,51.6, 2.2,
174.0,33.8,13.1,50.9, 2.2,
175.0,32.1,12.3,53.5, 2.1,
176.0,32.0,12.1,54.0, 2.0,
177.0,34.1,18.3,45.2, 2.4,
178.0,36.5,20.2,41.6, 1.6,
179.0,37.8,20.7,38.7, 2.8,
180.0,37.4,20.6,40.1, 1.9,
181.0,37.6,21.4,38.7, 2.3,
182.0,38.6,22.3,37.1, 2.0,
183.0,38.6,21.3,38.0, 2.2,
184.0,38.2,21.2,38.3, 2.3,
185.0,38.5,21.8,37.0, 2.7,
186.0,37.5,21.7,38.1, 2.7,
187.0,38.4,23.3,35.8, 2.5,
188.0,37.8,22.5,37.6, 2.1,
189.0,37.8,22.3,37.5, 2.3,
190.0,36.8,21.5,39.8, 2.0,
191.0,37.1,19.2,41.7, 2.0,
192.0,36.4,22.5,38.6, 2.6,
193.0,35.9,22.2,39.9, 2.0,
194.0,36.4,22.0,39.8, 1.8,
195.0,38.7,21.9,37.4, 2.0,
196.0,38.8,22.1,37.1, 2.0,
197.0,38.2,22.6,37.2, 2.0,
198.0,38.5,21.1,38.4, 1.9,
199.1,36.9,18.1,42.9, 2.1,
200.1,35.2,20.2,43.3, 1.4,
201.1,36.0,19.3,43.1, 1.6,
202.1,37.9,21.6,38.8, 1.8,
203.1,38.5,22.3,37.2, 1.9,
204.1,38.9,21.9,37.4, 1.8,
205.1,39.2,23.2,35.5, 2.1,
206.1,40.4,23.5,33.4, 2.7,
207.1,40.5,24.4,32.2, 2.9,
208.1,40.2,23.6,33.4, 2.8,
209.1,40.0,23.3,33.9, 2.7,
210.1,39.9,24.3,32.9, 2.9,
211.1,40.0,23.9,33.3, 2.8,
212.1,40.2,22.9,34.1, 2.8,
213.1,38.9,22.2,35.8, 3.1,
214.1,39.5,23.5,34.0, 2.9,
215.1,39.3,23.9,34.4, 2.5,
216.1,39.9,24.2,33.2, 2.8,
217.1,40.5,24.0,33.0, 2.5,
218.1,40.2,23.9,33.3, 2.6,
219.1,40.4,23.8,33.1, 2.7,
220.1,40.7,23.7,32.9, 2.7,
221.1,40.1,24.9,32.2, 2.8,
222.1,40.7,23.5,33.2, 2.7,
223.1,39.4,23.5,34.1, 2.9,
224.1,38.5,23.8,34.9, 2.8,
225.1,38.9,23.6,35.2, 2.4,
226.1,38.2,22.8,36.2, 2.8,
227.1,38.1,23.5,35.5, 2.8,
228.1,38.9,22.7,36.5, 1.8,
229.1,39.7,22.3,36.0, 2.0,
230.1,40.1,21.5,35.7, 2.8,
231.1,34.7,21.2,42.2, 1.9,
232.1,36.9,17.2,43.8, 2.1,
233.1,37.8,19.5,40.7, 2.0,
234.1,38.3,20.4,39.2, 2.1,
235.1,39.5,20.0,38.4, 2.0,
236.1,39.5,19.3,39.3, 1.8,
237.1,39.7,20.9,37.1, 2.3,
238.1,40.4,21.9,34.8, 2.9,
239.1,40.9,22.0,34.2, 2.9,
240.1,40.6,21.9,34.5, 3.0,
241.1,40.7,22.2,34.1, 3.0,
242.1,40.6,21.8,34.7, 2.9,
243.1,40.7,22.3,33.8, 3.1,
244.1,40.3,22.0,34.7, 3.0,
245.1,40.0,22.5,34.6, 2.9,
246.1,40.0,21.2,35.9, 2.9,
247.1,39.1,21.3,36.3, 3.3,
248.1,39.5,22.5,34.8, 3.2,
249.1,40.4,22.7,34.0, 2.9,
250.1,40.7,21.9,34.3, 3.1,
251.1,40.7,22.6,33.6, 3.1,
252.1,41.1,22.4,33.6, 2.9,
253.1,40.3,22.2,34.5, 3.0,
254.1,41.0,22.0,34.0, 3.0,
255.1,41.0,22.0,34.1, 2.9,
256.1,40.7,22.0,34.4, 2.9,
257.1,40.3,22.5,34.1, 3.1,
258.1,40.5,22.7,33.8, 3.0,
259.1,41.5,22.4,33.0, 3.0,
260.1,39.4,22.2,35.2, 3.2,
261.1,38.9,22.9,34.8, 3.4,
262.1,39.2,21.9,36.1, 2.7,
263.1,39.2,22.0,36.1, 2.7,
264.1,38.6,21.8,36.7, 3.0,
265.1,38.3,22.1,36.5, 3.1,
266.1,39.2,21.6,36.8, 2.5,
267.1,39.2,19.8,39.2, 1.8,
268.1,39.7,20.2,37.6, 2.5,
269.1,40.3,20.2,36.6, 3.0,
270.1,39.6,23.2,33.4, 3.8,
271.1,38.6,21.0,38.0, 2.5,
272.1,39.4,20.7,37.7, 2.3,
273.1,40.5,22.9,33.7, 2.9,
274.1,40.1,23.8,33.0, 3.1,
275.1,39.9,23.8,33.2, 3.2,
276.1,39.6,23.7,33.4, 3.2,
277.1,40.7,24.0,32.1, 3.3,
278.1,40.3,23.9,32.6, 3.2,
279.1,40.5,23.6,32.7, 3.1,
280.1,40.4,22.8,33.8, 3.0,
281.1,40.2,23.5,33.3, 3.1,
282.1,40.0,24.3,32.5, 3.2,
283.1,39.4,24.8,32.3, 3.5,
284.1,39.2,22.9,35.0, 2.8,
285.1,39.4,20.9,37.6, 2.1,
286.1,39.3,20.6,38.2, 1.9,
287.1,39.5,21.6,36.6, 2.3,
288.1,39.9,23.2,33.9, 3.0,
289.1,28.6,39.1,30.6, 1.7,
290.1,19.6,57.5,19.4, 3.5,
291.1,27.3,17.0,54.9, 0.9,
292.1,32.0,10.7,55.4, 1.9,
293.1,31.7,11.4,55.1, 1.8,
294.1,33.4,11.8,52.6, 2.1,
295.1,32.2,13.4,52.2, 2.2,
296.1,31.8,11.0,55.4, 1.7,
297.1,33.4,10.8,53.9, 2.0,
298.1,31.3,10.4,56.7, 1.6,
299.1,34.2,10.8,53.0, 2.0,
300.1,32.8,10.9,54.5, 1.8,
301.1,30.5, 8.3,60.2, 1.0,
302.1,31.5,10.7,55.8, 2.0,
303.1,33.0,11.1,53.8, 2.0,
304.1,34.4,14.4,48.5, 2.7,
305.1,34.4,13.9,49.2, 2.5,
306.1,34.8,14.2,48.6, 2.5,
307.1,34.8,12.2,50.9, 2.1,
308.1,35.3,12.7,49.9, 2.1,
309.1,34.2,13.8,49.7, 2.3,
310.1,32.4,12.4,53.1, 2.1,
311.1,32.7,11.9,53.4, 2.0,
312.1,35.1,21.2,41.3, 2.5,
313.1,37.1,19.9,41.0, 2.0,
314.1,38.0,19.8,39.7, 2.5,
315.1,37.5,20.1,40.4, 2.0,
316.1,37.3,20.6,39.9, 2.2,
317.1,38.4,21.4,38.3, 1.9,
318.1,38.0,20.4,39.3, 2.3,
319.1,39.3,20.9,37.4, 2.4,
320.1,37.8,21.7,37.7, 2.7,
321.1,37.8,22.0,37.5, 2.6,
322.1,38.6,23.5,35.3, 2.5,
323.1,37.8,21.9,38.4, 2.0,
324.1,37.4,22.0,38.3, 2.3,
325.1,36.9,21.2,40.0, 1.9,
326.1,36.7,19.2,41.9, 2.3,
327.1,36.5,22.3,38.9, 2.4,
328.1,36.2,22.2,39.6, 2.0,
329.1,36.6,21.6,40.1, 1.8,
