time,load,runnable,cpu,idle,iowait,irq,net lo,net enp2s0,net wlp3s0,net docker0,
 1.0,0.92,2,7.12%,0.00%,0.00%,0.69%,0,362,186,0,
 2.0,0.92,2,6.56%,0.00%,0.00%,0.19%,0,236,42,0,
 3.0,0.92,2,3.56%,0.00%,0.00%,0.12%,750,48165,560,0,
 4.0,0.85,2,2.69%,0.00%,0.00%,0.19%,0,384,250,0,
 5.0,0.85,17,57.81%,0.06%,0.00%,0.19%,0,236,0,0,
 6.0,0.85,17,99.94%,0.00%,0.00%,0.00%,0,494,168,0,
 7.0,0.85,17,100.00%,0.00%,0.00%,0.00%,0,330,176,0,
 8.0,0.85,17,100.00%,0.00%,0.00%,0.00%,0,728,452,0,
 9.0,2.06,17,100.44%,0.00%,0.00%,0.00%,0,236,102,0,
10.0,2.06,17,99.94%,0.00%,0.00%,0.00%,0,384,176,0,
11.0,2.06,17,100.06%,0.00%,0.00%,0.00%,0,718,292,0,
12.0,2.06,17,100.00%,0.00%,0.00%,0.00%,0,356,102,0,
13.0,2.06,17,99.94%,0.00%,0.00%,0.00%,0,454,102,0,
14.0,3.18,17,100.00%,0.00%,0.00%,0.06%,0,296,120,0,
15.0,3.18,17,100.00%,0.00%,0.00%,0.00%,0,302,42,0,
16.0,3.18,17,100.00%,0.00%,0.00%,0.00%,0,564,228,0,
17.0,3.18,17,99.94%,0.00%,0.00%,0.00%,0,296,60,0,
18.0,3.18,17,100.06%,0.00%,0.00%,0.00%,0,436,42,0,
19.0,4.20,17,100.00%,0.00%,0.00%,0.00%,0,386,42,0,
20.0,4.20,17,100.00%,0.00%,0.00%,0.00%,0,910,102,0,
21.0,4.20,17,99.94%,0.00%,0.00%,0.00%,0,993,1065,0,
22.0,4.20,17,100.44%,0.00%,0.00%,0.00%,0,866,102,0,
23.0,4.20,17,100.00%,0.00%,0.00%,0.00%,0,236,471,0,
24.0,5.15,17,100.00%,0.00%,0.00%,0.00%,0,116,42,0,
25.0,5.15,17,100.00%,0.00%,0.00%,0.00%,0,236,102,0,
26.0,5.15,17,100.00%,0.00%,0.00%,0.00%,0,362,228,0,
27.0,5.15,17,100.00%,0.00%,0.00%,0.00%,0,296,164,0,
28.0,5.15,17,100.00%,0.00%,0.00%,0.00%,0,116,42,0,
29.0,6.02,17,100.00%,0.00%,0.00%,0.00%,0,236,102,0,
30.0,6.02,17,100.00%,0.00%,0.00%,0.00%,0,482,183,0,
31.0,6.02,17,100.00%,0.00%,0.00%,0.00%,0,362,165,0,
