time,retire,frontend,backend,speculate,
 1.0,33.0,45.0,16.5, 5.5,
 2.0,22.7,63.5,11.0, 2.9,
 3.0,43.3,34.8,18.3, 3.7,
 4.0,64.2,18.5,15.6, 1.8,
 5.0,33.6,37.9,28.2, 0.7,
 6.0,43.3,18.4,37.9, 0.2,
 7.0,14.4, 9.4,76.1, 0.1,
 8.0,15.6, 8.5,75.2, 0.7,
 9.0,23.1,12.7,63.6, 0.6,
10.0,17.1,10.1,72.4, 0.5,
11.0,16.6,10.4,72.6, 0.4,
12.0,16.3,10.2,73.1, 0.4,
13.0,16.1,10.0,73.5, 0.4,
14.0,16.3, 9.7,73.6, 0.4,
15.0,15.9, 9.6,74.1, 0.4,
16.0,15.8, 9.6,74.2, 0.4,
17.0,16.1, 9.6,73.9, 0.4,
18.0,15.9, 9.2,74.4, 0.4,
19.0,15.7, 9.6,74.3, 0.4,
20.0,16.0, 9.7,73.9, 0.5,
21.0,12.8,13.8,73.2, 0.3,
22.0,12.5, 7.2,79.8, 0.5,
23.0,29.9,25.7,42.8, 1.6,
24.0,13.5,12.7,73.4, 0.5,
25.0,14.6, 7.8,77.0, 0.6,
26.0,29.0,26.4,43.0, 1.6,
27.0,14.0,14.7,70.8, 0.5,
28.0,15.2, 9.2,75.0, 0.6,
29.0,12.9,17.5,68.9, 0.7,
30.0,11.3,17.2,70.9, 0.6,
31.0,11.9,16.3,71.1, 0.7,
32.0,11.4,16.4,71.6, 0.6,
33.0,12.5,16.5,70.4, 0.7,
34.0,10.2,12.1,77.5, 0.3,
35.0,21.4,12.8,64.8, 0.9,
36.0,28.3,26.0,44.1, 1.6,
37.0, 9.4,11.7,78.6, 0.3,
38.0,19.4,12.1,67.7, 0.8,
39.0,11.4,17.6,70.4, 0.6,
40.0,11.4,16.8,71.1, 0.6,
41.0,11.4,16.4,71.6, 0.6,
42.0,11.5,16.5,71.4, 0.7,
43.0,14.2,17.5,67.6, 0.7,
44.0, 9.3, 9.7,80.6, 0.3,
45.0,28.4,20.2,50.0, 1.4,
46.0,23.0,22.4,53.5, 1.1,
47.0,11.4, 9.4,78.7, 0.4,
48.0,17.3,16.4,65.5, 0.8,
49.0,11.3,17.3,70.8, 0.6,
50.0,11.4,16.6,71.4, 0.6,
51.0,11.3,16.5,71.6, 0.6,
52.0,11.6,16.3,71.4, 0.7,
53.0,13.5,15.5,70.5, 0.5,
54.0,17.7,12.2,69.4, 0.7,
55.0,28.8,25.3,44.4, 1.6,
56.0,15.0,15.6,68.9, 0.5,
57.0,17.7,12.5,69.0, 0.7,
58.0,11.7,17.6,70.0, 0.6,
59.0,11.4,17.0,71.0, 0.6,
60.0,11.3,16.5,71.5, 0.6,
61.0,11.4,16.4,71.5, 0.7,
62.0,13.5,16.9,68.9, 0.6,
63.0,13.8,12.1,73.7, 0.5,
64.0,29.1,22.6,46.8, 1.5,
65.0,19.8,19.8,59.6, 0.9,
66.0,16.1,11.8,71.4, 0.6,
67.0,13.8,17.1,68.4, 0.7,
68.0,11.2,17.3,70.8, 0.6,
69.0,11.3,16.6,71.5, 0.6,
70.0,11.6,16.2,71.5, 0.6,
71.0,13.4,16.7,69.2, 0.7,
72.0,12.7,12.8,74.1, 0.5,
73.0,24.8,18.0,56.1, 1.1,
74.0,24.0,23.1,51.7, 1.2,
75.0,15.5,13.1,70.8, 0.6,
76.0,15.7,15.7,68.0, 0.7,
77.0,11.3,17.2,70.9, 0.6,
78.0,11.3,16.4,71.6, 0.6,
79.0,11.3,16.3,71.8, 0.6,
80.0,12.3,16.4,70.6, 0.7,
81.0,12.5,15.6,71.4, 0.5,
82.0,21.6,15.5,62.0, 0.9,
83.0,28.2,24.8,45.5, 1.5,
84.0,14.7,14.3,70.5, 0.6,
85.0,17.2,15.0,67.0, 0.7,
86.0,12.5,17.4,69.4, 0.7,
87.0,11.5,16.8,71.1, 0.6,
88.0,11.3,16.5,71.6, 0.6,
89.0,11.9,16.1,71.3, 0.7,
90.0,13.2,15.4,70.8, 0.5,
91.0,18.1,14.2,67.0, 0.7,
92.0,28.4,23.7,46.4, 1.5,
93.0,16.7,16.7,66.0, 0.7,
94.0,17.6,14.8,66.8, 0.7,
95.0,12.5,17.2,69.6, 0.7,
96.0,11.3,16.9,71.1, 0.6,
97.0,11.2,16.6,71.5, 0.6,
98.0,11.4,16.6,71.4, 0.6,
99.0,13.2,16.8,69.4, 0.6,
100.0,15.4,13.4,70.6, 0.6,
101.0,28.4,22.7,47.5, 1.4,
102.0,19.7,19.0,60.5, 0.8,
