time,load,runnable,cpu,idle,iowait,irq,net lo,net enp2s0,net wlp3s0,net docker0,
 1.0,1.32,2,6.88%,0.00%,0.00%,1.31%,0,312,183,0,
 2.0,1.32,2,6.81%,0.00%,0.00%,0.38%,0,382,186,0,
 3.0,1.32,1,3.00%,0.06%,0.00%,0.06%,840,47480,474,0,
 4.0,1.32,2,3.50%,0.00%,0.00%,0.12%,0,552,429,0,
 5.0,1.32,17,40.81%,0.00%,0.00%,0.00%,0,180,120,0,
 6.0,2.50,17,100.00%,0.00%,0.00%,0.00%,0,312,120,0,
 7.0,2.50,17,100.00%,0.00%,0.00%,0.06%,0,387,123,0,
 8.0,2.50,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
 9.0,2.50,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
10.0,2.50,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
11.0,3.58,17,100.38%,0.00%,0.00%,0.00%,0,120,0,0,
12.0,3.58,17,100.00%,0.00%,0.00%,0.00%,0,126,126,0,
13.0,3.58,17,100.06%,0.00%,0.00%,0.00%,0,417,60,0,
14.0,3.58,17,99.94%,0.00%,0.00%,0.00%,0,259,138,0,
15.0,3.58,17,100.00%,0.00%,0.00%,0.00%,0,0,159,0,
16.0,4.58,17,99.94%,0.00%,0.00%,0.00%,0,205,0,0,
17.0,4.58,17,100.06%,0.00%,0.00%,0.00%,0,63,63,0,
18.0,4.58,17,99.94%,0.00%,0.00%,0.00%,0,120,60,0,
19.0,4.58,17,100.06%,0.00%,0.00%,0.00%,0,120,60,0,
20.0,4.58,17,99.94%,0.00%,0.00%,0.00%,0,0,0,0,
21.0,5.49,17,100.44%,0.00%,0.00%,0.00%,0,116,42,0,
22.0,5.49,17,100.00%,0.00%,0.00%,0.00%,0,246,63,0,
23.0,5.49,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
24.0,5.49,17,100.00%,0.00%,0.00%,0.00%,0,148,0,0,
25.0,5.49,17,100.00%,0.00%,0.00%,0.00%,0,268,282,0,
26.0,6.33,17,99.94%,0.00%,0.00%,0.00%,0,180,122,0,
27.0,6.33,17,100.00%,0.00%,0.00%,0.06%,0,246,186,0,
28.0,6.33,17,100.44%,0.00%,0.00%,0.00%,0,666,390,0,
29.0,6.33,17,100.00%,0.00%,0.00%,0.00%,0,148,262,0,
30.0,6.33,17,99.94%,0.00%,0.00%,0.00%,0,750,174,0,
31.0,7.11,17,100.00%,0.00%,0.00%,0.00%,0,214,174,0,
32.0,7.11,17,100.00%,0.00%,0.00%,0.00%,0,368,388,0,
33.0,7.11,17,100.00%,0.00%,0.00%,0.00%,0,334,462,0,
34.0,7.11,17,100.06%,0.00%,0.00%,0.00%,0,280,60,0,
35.0,7.11,17,99.94%,0.00%,0.00%,0.00%,0,526,134,0,
36.0,7.82,17,100.44%,0.00%,0.00%,0.00%,0,0,114,0,
37.0,7.82,17,100.00%,0.00%,0.00%,0.00%,0,340,186,0,
38.0,7.82,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
39.0,7.82,17,100.00%,0.00%,0.00%,0.00%,0,120,184,0,
40.0,7.82,17,100.00%,0.00%,0.00%,0.00%,0,164,174,0,
41.0,8.47,17,100.00%,0.00%,0.00%,0.00%,0,214,0,0,
42.0,8.47,17,99.94%,0.00%,0.00%,0.00%,0,306,248,0,
43.0,8.47,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
44.0,8.47,17,100.06%,0.00%,0.00%,0.00%,0,0,60,0,
45.0,8.47,17,100.38%,0.00%,0.00%,0.00%,0,120,60,0,
46.0,9.08,17,100.06%,0.00%,0.00%,0.00%,0,120,60,0,
47.0,9.08,17,99.94%,0.00%,0.00%,0.00%,0,246,126,0,
48.0,9.08,17,100.00%,0.00%,0.00%,0.00%,0,0,174,0,
49.0,9.08,17,100.00%,0.00%,0.00%,0.00%,0,214,60,0,
50.0,9.08,17,100.06%,0.00%,0.00%,0.00%,0,538,200,0,
51.0,9.63,17,100.00%,0.00%,0.00%,0.00%,0,60,0,0,
52.0,9.63,17,100.00%,0.00%,0.00%,0.00%,0,306,186,0,
53.0,9.63,17,100.00%,0.00%,0.00%,0.00%,0,60,250,0,
54.0,9.63,17,100.31%,0.00%,0.00%,0.00%,0,2206,672,0,
55.0,9.63,17,100.06%,0.00%,0.00%,0.00%,0,1943,630,0,
56.0,10.14,18,99.94%,0.00%,0.00%,0.06%,0,1684,588,0,
57.0,10.14,17,100.00%,0.00%,0.00%,0.00%,0,186,126,0,
58.0,10.14,17,100.06%,0.00%,0.00%,0.00%,0,0,0,0,
59.0,10.14,17,99.94%,0.00%,0.00%,0.00%,0,140,0,0,
60.0,10.14,17,100.00%,0.00%,0.00%,0.00%,0,242,134,0,
61.0,10.61,17,100.06%,0.00%,0.00%,0.00%,0,120,60,0,
62.0,10.61,17,99.94%,0.00%,0.00%,0.00%,0,266,126,0,
63.0,10.61,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
64.0,10.61,17,100.44%,0.00%,0.00%,0.00%,0,120,60,0,
65.0,10.61,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
66.0,11.04,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
67.0,11.04,17,99.94%,0.00%,0.00%,0.00%,0,246,186,0,
68.0,11.04,17,100.06%,0.00%,0.00%,0.00%,0,258,60,0,
69.0,11.04,17,100.00%,0.00%,0.00%,0.00%,0,856,405,0,
70.0,11.04,17,100.00%,0.00%,0.00%,0.00%,0,298,79,0,
71.0,11.44,17,100.00%,0.00%,0.00%,0.00%,0,0,60,0,
72.0,11.44,17,100.38%,0.00%,0.00%,0.00%,0,424,304,0,
73.0,11.44,17,99.94%,0.00%,0.00%,0.00%,0,120,60,0,
74.0,11.44,17,100.00%,0.00%,0.00%,0.00%,0,382,60,0,
75.0,11.44,17,100.06%,0.00%,0.00%,0.00%,0,0,0,0,
76.0,11.81,17,100.00%,0.00%,0.00%,0.00%,0,298,139,0,
77.0,11.81,17,100.00%,0.00%,0.00%,0.00%,0,246,186,0,
78.0,11.81,17,100.00%,0.00%,0.00%,0.00%,0,180,0,0,
79.0,11.81,17,100.00%,0.00%,0.00%,0.00%,0,60,60,0,
80.0,11.81,17,99.94%,0.00%,0.00%,0.06%,0,120,60,0,
81.0,12.14,17,100.38%,0.00%,0.00%,0.00%,0,120,60,0,
82.0,12.14,17,100.06%,0.00%,0.00%,0.00%,0,246,186,0,
83.0,12.14,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
84.0,12.14,17,100.00%,0.00%,0.00%,0.00%,0,298,238,0,
85.0,12.14,17,100.00%,0.00%,0.00%,0.00%,0,536,326,0,
86.0,12.45,18,99.94%,0.00%,0.00%,0.00%,0,180,122,0,
87.0,12.45,17,98.62%,1.06%,0.00%,0.00%,0,126,126,0,
88.0,12.45,17,100.00%,0.00%,0.00%,0.00%,0,268,208,0,
89.0,12.45,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
90.0,12.45,17,100.44%,0.00%,0.00%,0.00%,0,268,208,0,
91.0,12.74,17,100.00%,0.00%,0.00%,0.00%,0,505,123,0,
92.0,12.74,17,99.94%,0.00%,0.00%,0.00%,0,274,334,0,
93.0,12.74,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
94.0,12.74,17,100.06%,0.00%,0.00%,0.00%,0,258,60,0,
95.0,12.74,17,100.00%,0.00%,0.00%,0.00%,0,268,74,0,
96.0,13.16,17,99.94%,0.00%,0.00%,0.00%,0,0,60,0,
97.0,13.16,17,100.00%,0.00%,0.00%,0.06%,0,246,186,0,
98.0,13.16,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
99.0,13.16,17,100.38%,0.00%,0.00%,0.00%,0,120,60,0,
100.0,13.16,17,100.00%,0.00%,0.00%,0.00%,0,1162,547,0,
101.0,13.39,17,100.00%,0.00%,0.00%,0.00%,0,60,60,0,
102.0,13.39,17,100.00%,0.00%,0.00%,0.00%,0,798,554,0,
103.0,13.39,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
104.0,13.39,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
105.0,13.39,17,100.06%,0.00%,0.00%,0.00%,0,120,60,0,
106.0,13.59,17,99.94%,0.00%,0.00%,0.00%,0,120,60,0,
107.0,13.59,17,100.00%,0.00%,0.00%,0.00%,0,246,186,0,
108.0,13.59,17,100.44%,0.00%,0.00%,0.00%,0,0,0,0,
109.0,13.59,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
110.0,13.59,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
111.1,13.79,17,99.94%,0.00%,0.00%,0.00%,0,120,60,0,
112.1,13.79,17,100.06%,0.00%,0.00%,0.00%,0,126,126,0,
113.1,13.79,17,99.94%,0.00%,0.00%,0.00%,0,0,0,0,
114.1,13.79,17,99.94%,0.00%,0.00%,0.06%,0,1744,588,0,
115.1,13.79,17,100.00%,0.00%,0.00%,0.06%,0,1624,588,0,
116.1,13.96,17,100.38%,0.00%,0.00%,0.00%,0,1762,588,0,
117.1,13.96,17,100.06%,0.00%,0.00%,0.00%,0,126,126,0,
118.1,13.96,17,100.00%,0.00%,0.00%,0.00%,0,1340,0,0,
119.1,13.96,18,99.94%,0.00%,0.00%,0.00%,0,0,0,0,
120.1,13.96,17,100.00%,0.00%,0.00%,0.00%,0,136,0,0,
121.1,14.13,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
122.1,14.13,17,100.00%,0.00%,0.00%,0.00%,0,387,123,0,
123.1,14.13,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
124.1,14.13,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
125.1,14.13,17,100.44%,0.00%,0.00%,0.00%,0,120,60,0,
126.1,14.28,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
127.1,14.28,17,99.94%,0.00%,0.00%,0.00%,0,246,186,0,
128.1,14.28,17,100.00%,0.00%,0.00%,0.00%,0,492,369,0,
129.1,14.28,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
130.1,14.28,17,100.00%,0.00%,0.00%,0.00%,0,259,219,0,
131.1,14.42,17,100.06%,0.00%,0.00%,0.00%,0,120,60,0,
132.1,14.42,17,99.94%,0.00%,0.00%,0.00%,0,265,126,0,
133.1,14.42,17,100.00%,0.00%,0.00%,0.00%,0,276,138,0,
134.1,14.42,17,100.06%,0.00%,0.00%,0.00%,0,120,60,0,
135.1,14.42,17,100.38%,0.00%,0.00%,0.00%,0,120,60,0,
136.1,14.54,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
137.1,14.54,17,99.94%,0.00%,0.00%,0.00%,0,126,186,0,
138.1,14.54,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
139.1,14.54,17,100.06%,0.00%,0.00%,0.00%,0,120,60,0,
140.1,14.54,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
141.1,14.66,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
142.1,14.66,17,100.00%,0.00%,0.00%,0.00%,0,1267,186,0,
143.1,14.66,17,100.00%,0.00%,0.00%,0.00%,0,2162,60,0,
144.1,14.66,17,99.94%,0.00%,0.00%,0.00%,0,600,1417,0,
145.1,14.66,17,100.00%,0.00%,0.00%,0.00%,0,296,222,0,
146.1,14.77,17,100.38%,0.00%,0.00%,0.00%,0,120,60,0,
147.1,14.77,17,100.06%,0.00%,0.00%,0.00%,0,306,248,0,
148.1,14.77,17,99.94%,0.00%,0.00%,0.00%,0,268,208,0,
149.1,14.77,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
150.1,14.77,17,100.00%,0.00%,0.00%,0.00%,0,2502,2334,0,
151.1,14.87,17,100.00%,0.00%,0.00%,0.06%,0,120,60,0,
152.1,14.87,17,100.00%,0.00%,0.00%,0.00%,0,394,186,0,
153.1,14.87,17,100.00%,0.00%,0.00%,0.00%,0,0,148,0,
154.1,14.87,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
155.1,14.87,17,100.00%,0.00%,0.00%,0.00%,0,2358,2224,0,
156.1,14.96,17,100.44%,0.00%,0.00%,0.00%,0,360,228,0,
157.1,14.96,17,100.00%,0.00%,0.00%,0.00%,0,126,126,0,
158.1,14.96,17,100.00%,0.00%,0.00%,0.00%,0,2210,2150,0,
159.1,14.96,17,100.00%,0.00%,0.00%,0.00%,0,732,390,0,
160.1,14.96,17,99.94%,0.00%,0.00%,0.00%,0,2210,2150,0,
161.1,15.04,17,100.06%,0.00%,0.00%,0.00%,0,120,0,0,
162.1,15.04,17,100.00%,0.00%,0.00%,0.00%,0,126,186,0,
163.1,15.04,17,100.00%,0.00%,0.00%,0.00%,0,321,122,0,
164.1,15.04,17,99.94%,0.00%,0.00%,0.00%,0,120,60,0,
165.1,15.04,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
166.1,15.12,17,100.50%,0.00%,0.00%,0.00%,0,0,0,0,
167.1,15.12,17,99.94%,0.00%,0.00%,0.00%,0,1198,854,0,
168.1,15.12,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
169.1,15.12,17,100.06%,0.00%,0.00%,0.00%,0,120,60,0,
170.1,15.12,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
171.1,15.19,17,99.94%,0.00%,0.00%,0.00%,0,120,60,0,
172.1,15.19,17,100.06%,0.00%,0.00%,0.00%,0,246,186,0,
173.1,15.19,17,100.00%,0.00%,0.00%,0.00%,0,386,328,0,
174.1,15.19,17,99.94%,0.00%,0.00%,0.00%,0,2034,880,0,
175.1,15.19,17,100.38%,0.00%,0.00%,0.00%,0,3008,1394,0,
176.1,15.25,17,100.00%,0.00%,0.00%,0.00%,0,1684,838,0,
177.1,15.25,17,100.06%,0.00%,0.00%,0.00%,0,496,126,0,
178.1,15.25,17,99.94%,0.00%,0.00%,0.00%,0,182,0,0,
179.1,15.25,17,100.00%,0.00%,0.00%,0.00%,0,300,0,0,
