time,load,runnable,cpu,idle,iowait,irq,net lo,net enp2s0,net wlp3s0,net docker0,
 1.0,8.80,2,6.75%,0.00%,0.00%,0.75%,0,0,0,0,
 2.0,8.80,2,6.56%,0.00%,0.00%,0.50%,0,289,0,0,
 3.0,8.80,2,2.25%,0.00%,0.00%,0.31%,840,45924,0,0,
 4.0,8.80,17,88.44%,0.06%,0.00%,0.12%,0,246,0,0,
 5.0,8.80,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
 6.0,9.38,17,100.06%,0.00%,0.00%,0.00%,0,252,0,0,
 7.0,9.38,17,99.94%,0.00%,0.00%,0.00%,0,120,0,0,
 8.0,9.38,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
 9.0,9.38,17,100.00%,0.00%,0.00%,0.00%,0,246,0,0,
10.0,9.38,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
11.0,9.91,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
12.0,9.91,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
13.0,9.91,17,100.06%,0.00%,0.00%,0.00%,0,1740,0,0,
14.0,9.91,17,100.00%,0.00%,0.00%,0.00%,0,1630,0,0,
15.0,9.91,17,100.00%,0.00%,0.00%,0.00%,0,1772,0,0,
16.0,10.40,17,100.00%,0.00%,0.00%,0.00%,0,213,0,0,
17.0,10.40,17,99.94%,0.00%,0.00%,0.00%,0,0,0,0,
18.0,10.40,17,100.00%,0.00%,0.00%,0.00%,0,394,0,0,
19.0,10.40,17,100.00%,0.00%,0.00%,0.00%,0,422,0,0,
20.0,10.40,17,100.38%,0.00%,0.00%,0.00%,0,268,0,0,
21.0,10.85,17,100.06%,0.00%,0.00%,0.00%,0,0,0,0,
22.0,10.85,17,100.00%,0.00%,0.00%,0.00%,0,371,0,0,
23.0,10.85,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
24.0,10.85,17,100.00%,0.00%,0.00%,0.00%,0,246,0,0,
25.0,10.85,17,100.00%,0.00%,0.00%,0.00%,0,148,0,0,
26.0,11.26,17,100.00%,0.00%,0.00%,0.00%,0,270,0,0,
27.0,11.26,17,100.00%,0.00%,0.00%,0.00%,0,180,0,0,
28.0,11.26,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
29.0,11.26,17,100.00%,0.00%,0.00%,0.00%,0,246,0,0,
30.0,11.26,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
31.0,11.64,17,99.94%,0.00%,0.00%,0.00%,0,120,0,0,
32.0,11.64,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
33.0,11.64,17,100.06%,0.00%,0.00%,0.00%,0,120,0,0,
34.0,11.64,17,100.00%,0.00%,0.00%,0.00%,0,192,0,0,
35.0,11.64,17,100.38%,0.00%,0.00%,0.00%,0,120,0,0,
36.0,11.99,17,100.00%,0.00%,0.00%,0.00%,0,180,0,0,
37.0,11.99,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
38.0,11.99,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
39.0,11.99,17,100.00%,0.00%,0.00%,0.00%,0,183,0,0,
40.0,11.99,17,99.94%,0.00%,0.00%,0.00%,0,120,0,0,
41.0,12.31,17,100.00%,0.00%,0.00%,0.00%,0,60,0,0,
42.0,12.31,17,100.06%,0.00%,0.00%,0.00%,0,103,0,0,
43.0,12.31,17,99.94%,0.00%,0.00%,0.00%,0,120,0,0,
44.0,12.31,17,100.00%,0.00%,0.00%,0.00%,0,186,0,0,
45.0,12.31,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
46.0,12.61,17,100.06%,0.00%,0.00%,0.00%,0,0,0,0,
47.0,12.61,17,100.00%,0.00%,0.00%,0.00%,0,810,0,0,
48.0,12.61,17,100.00%,0.00%,0.00%,0.00%,0,214,0,0,
49.0,12.61,17,100.00%,0.00%,0.00%,0.00%,0,340,0,0,
50.0,12.61,17,100.38%,0.00%,0.00%,0.00%,0,94,0,0,
51.0,12.88,17,100.00%,0.00%,0.00%,0.00%,0,214,0,0,
52.0,12.88,17,100.00%,0.00%,0.00%,0.00%,0,990,0,0,
53.0,12.88,17,100.00%,0.00%,0.00%,0.00%,0,612,0,0,
54.0,12.88,17,100.00%,0.00%,0.00%,0.00%,0,832,0,0,
55.0,12.88,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
56.0,13.13,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
57.0,13.13,17,100.00%,0.00%,0.00%,0.00%,0,284,0,0,
58.0,13.13,17,100.00%,0.00%,0.00%,0.00%,0,214,0,0,
59.0,13.13,17,100.00%,0.00%,0.00%,0.00%,0,126,0,0,
60.0,13.13,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
61.0,13.36,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
62.0,13.36,17,100.00%,0.00%,0.00%,0.00%,0,223,0,0,
63.0,13.36,17,100.38%,0.00%,0.00%,0.00%,0,0,0,0,
64.0,13.36,17,100.06%,0.00%,0.00%,0.00%,0,183,0,0,
65.0,13.36,17,99.94%,0.00%,0.00%,0.00%,0,180,0,0,
66.0,13.57,17,100.00%,0.00%,0.00%,0.00%,0,274,0,0,
67.0,13.57,17,100.00%,0.00%,0.00%,0.00%,0,60,0,0,
68.0,13.57,17,100.00%,0.00%,0.00%,0.00%,0,180,0,0,
69.0,13.57,17,100.00%,0.00%,0.00%,0.00%,0,306,0,0,
70.0,13.57,17,100.06%,0.00%,0.00%,0.00%,0,180,0,0,
71.0,13.77,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
72.0,13.77,17,99.94%,0.00%,0.00%,0.00%,0,60,0,0,
73.0,13.77,17,100.00%,0.00%,0.00%,0.00%,0,60,0,0,
74.0,13.77,17,100.44%,0.00%,0.00%,0.00%,0,1990,0,0,
75.0,13.77,17,100.00%,0.00%,0.00%,0.00%,0,2152,0,0,
76.0,13.94,17,100.00%,0.00%,0.00%,0.00%,0,1856,0,0,
77.0,13.94,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
78.0,13.94,17,100.00%,0.00%,0.00%,0.00%,0,148,0,0,
79.0,13.94,17,100.00%,0.00%,0.00%,0.00%,0,126,0,0,
80.0,13.94,17,99.94%,0.00%,0.00%,0.00%,0,820,0,0,
81.0,14.11,17,100.00%,0.00%,0.00%,0.00%,0,180,0,0,
82.0,14.11,17,100.00%,0.00%,0.00%,0.00%,0,319,0,0,
83.0,14.11,17,100.06%,0.00%,0.00%,0.00%,0,268,0,0,
84.0,14.11,17,100.00%,0.00%,0.00%,0.00%,0,246,0,0,
85.0,14.11,17,100.00%,0.00%,0.00%,0.00%,0,612,0,0,
86.0,14.26,17,100.00%,0.00%,0.00%,0.00%,0,268,0,0,
87.0,14.26,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
88.0,14.26,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
89.0,14.26,17,100.38%,0.00%,0.00%,0.06%,0,363,0,0,
90.0,14.26,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
91.0,14.40,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
92.0,14.40,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
93.0,14.40,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
94.0,14.40,17,100.00%,0.00%,0.00%,0.00%,0,366,0,0,
95.0,14.40,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
96.0,14.53,17,100.00%,0.00%,0.00%,0.00%,0,319,0,0,
97.0,14.53,17,99.94%,0.00%,0.00%,0.00%,0,180,0,0,
98.0,14.53,17,100.00%,0.00%,0.00%,0.00%,0,180,0,0,
99.0,14.53,17,100.00%,0.00%,0.00%,0.00%,0,126,0,0,
100.0,14.53,17,100.00%,0.00%,0.00%,0.00%,0,60,0,0,
101.0,14.65,17,100.00%,0.00%,0.00%,0.00%,0,60,0,0,
102.0,14.65,17,100.44%,0.00%,0.00%,0.00%,0,163,0,0,
103.0,14.65,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
104.0,14.65,17,100.00%,0.00%,0.00%,0.00%,0,246,0,0,
105.0,14.65,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
106.0,14.76,17,100.00%,0.00%,0.00%,0.00%,0,180,0,0,
107.0,14.76,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
108.0,14.76,17,100.00%,0.00%,0.00%,0.00%,0,246,0,0,
109.0,14.76,17,100.00%,0.00%,0.00%,0.00%,0,246,0,0,
110.0,14.76,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
111.0,14.86,17,99.94%,0.00%,0.00%,0.00%,0,120,0,0,
112.0,14.86,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
113.0,14.86,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
114.0,14.86,17,100.06%,0.00%,0.00%,0.00%,0,246,0,0,
115.0,14.86,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
116.0,14.95,17,100.38%,0.00%,0.00%,0.00%,0,0,0,0,
117.0,14.95,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
118.0,14.95,17,100.06%,0.00%,0.00%,0.00%,0,236,0,0,
119.0,14.95,17,100.00%,0.00%,0.00%,0.00%,0,246,0,0,
120.0,14.95,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
121.0,15.03,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
122.0,15.03,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
123.0,15.03,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
124.0,15.03,17,100.00%,0.00%,0.00%,0.00%,0,126,0,0,
125.0,15.03,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
126.0,15.11,17,99.94%,0.00%,0.00%,0.00%,0,120,0,0,
127.0,15.11,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
128.0,15.11,17,100.00%,0.00%,0.00%,0.00%,0,180,0,0,
129.0,15.11,17,100.06%,0.00%,0.00%,0.00%,0,186,0,0,
130.0,15.11,17,99.94%,0.00%,0.00%,0.00%,0,180,0,0,
131.0,15.18,17,100.38%,0.00%,0.00%,0.00%,0,60,0,0,
132.0,15.18,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
133.0,15.18,17,100.00%,0.00%,0.00%,0.00%,0,1564,0,0,
134.0,15.18,17,100.00%,0.00%,0.00%,0.00%,0,1694,0,0,
135.0,15.18,17,100.06%,0.00%,0.00%,0.00%,0,3112,0,0,
136.0,15.25,17,100.00%,0.00%,0.00%,0.00%,0,74,0,0,
137.0,15.25,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
138.0,15.25,17,99.94%,0.00%,0.00%,0.00%,0,0,0,0,
139.0,15.25,17,100.00%,0.00%,0.00%,0.00%,0,274,0,0,
140.0,15.25,17,100.00%,0.00%,0.00%,0.00%,0,268,0,0,
141.0,15.31,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
142.0,15.31,17,100.00%,0.00%,0.00%,0.00%,0,223,0,0,
143.0,15.31,17,100.06%,0.00%,0.00%,0.00%,0,148,0,0,
144.0,15.31,17,100.00%,0.00%,0.00%,0.00%,0,602,0,0,
145.0,15.31,17,100.38%,0.00%,0.00%,0.00%,0,120,0,0,
146.0,15.36,17,100.00%,0.00%,0.00%,0.00%,0,268,0,0,
147.0,15.36,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
148.0,15.36,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
149.0,15.36,17,100.00%,0.00%,0.00%,0.00%,0,246,0,0,
150.0,15.36,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
151.0,15.41,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
