time,retire,frontend,backend,speculate,
 1.0,33.1,45.0,16.4, 5.5,
 2.0,22.6,63.4,11.2, 2.9,
 3.0,33.8,41.6,20.4, 4.3,
 4.0,37.8,40.4,21.4, 0.4,
 5.0,41.5,47.1,11.1, 0.2,
 6.0,41.7,47.3,10.8, 0.2,
 7.0,41.6,47.3,10.9, 0.2,
 8.0,41.4,47.2,11.2, 0.2,
 9.0,41.4,47.9,10.4, 0.2,
10.0,41.6,47.5,10.7, 0.2,
11.0,21.2,34.4,42.1, 2.3,
12.0,10.5,19.2,69.6, 0.7,
13.0,12.8,12.1,74.4, 0.7,
14.0,12.6,12.6,74.2, 0.6,
15.0,12.6,12.7,74.1, 0.6,
16.0,12.6,12.4,74.4, 0.6,
17.0,12.8,11.9,74.8, 0.6,
18.0,12.8,12.1,74.5, 0.6,
19.0,12.6,12.7,74.0, 0.6,
20.0,13.1,11.4,74.7, 0.8,
21.0,12.8,12.0,74.5, 0.7,
22.0,12.8,12.2,74.5, 0.6,
23.0,13.4,10.8,75.1, 0.7,
24.0,21.9, 8.0,68.5, 1.6,
25.0,70.2, 5.8,15.9, 8.2,
26.0,73.2, 6.0,10.9, 9.8,
27.0,72.5, 6.0,11.6, 9.9,
28.0,72.4, 6.2,11.2,10.3,
29.0,72.9, 6.1,10.8,10.2,
30.0,72.9, 5.9,11.4, 9.8,
31.0,72.9, 5.8,11.7, 9.6,
32.0,73.2, 5.7,11.9, 9.2,
33.0,73.8, 5.7,11.2, 9.2,
34.0,73.3, 5.9,11.1, 9.6,
35.0,72.7, 5.8,11.9, 9.5,
36.0,73.5, 5.8,11.2, 9.5,
37.0,73.0, 5.9,11.6, 9.6,
38.0,72.7, 5.8,12.0, 9.5,
39.0,73.1, 5.8,11.6, 9.4,
40.0,73.0, 5.8,11.8, 9.4,
41.0,73.7, 5.8,11.1, 9.4,
42.0,73.5, 5.8,11.2, 9.4,
43.0,73.7, 5.6,11.7, 9.0,
44.0,74.5, 5.4,11.7, 8.5,
45.0,74.9, 5.3,11.4, 8.3,
46.0,74.7, 5.4,11.5, 8.4,
47.0,74.5, 5.5,11.4, 8.6,
48.0,74.1, 5.4,11.9, 8.6,
49.0,73.7, 5.6,11.8, 8.9,
50.0,74.2, 5.5,11.6, 8.7,
51.0,74.8, 5.5,10.9, 8.8,
52.0,74.6, 5.5,11.1, 8.8,
53.0,74.4, 5.6,11.1, 8.9,
54.0,74.5, 5.6,11.0, 8.9,
55.0,74.1, 5.6,11.3, 8.9,
56.0,73.7, 5.6,11.6, 9.1,
57.0,73.8, 5.7,11.3, 9.2,
58.0,75.3, 5.2,11.6, 7.9,
59.0,76.7, 4.9,11.4, 7.1,
60.0,76.4, 5.1,11.0, 7.5,
61.0,75.4, 5.3,11.1, 8.2,
62.0,74.5, 5.4,11.7, 8.4,
63.0,74.8, 5.5,11.1, 8.6,
64.0,74.4, 5.6,11.3, 8.8,
65.0,74.2, 5.6,11.2, 8.9,
66.0,74.1, 5.8,10.9, 9.2,
67.0,73.7, 5.8,11.2, 9.3,
68.0,73.4, 5.9,11.2, 9.6,
69.0,73.1, 5.9,11.3, 9.7,
70.0,72.5, 5.9,12.0, 9.6,
71.0,73.1, 6.0,11.2, 9.8,
72.0,72.7, 6.0,11.3, 9.9,
73.0,73.3, 5.8,11.3, 9.5,
74.0,73.3, 5.9,11.3, 9.6,
75.0,71.0, 6.4,11.6,10.9,
76.0,69.6, 6.5,12.6,11.3,
77.0,68.5, 7.0,12.1,12.4,
78.0,67.8, 7.3,11.7,13.2,
79.0,67.6, 7.4,11.7,13.4,
80.0,66.6, 7.4,12.7,13.4,
81.0,67.4, 7.4,11.8,13.4,
82.0,67.7, 7.4,11.6,13.3,
83.0,67.3, 7.2,12.7,12.8,
84.0,67.8, 7.2,12.2,12.8,
85.0,68.0, 7.1,12.2,12.7,
86.0,67.9, 7.2,12.1,12.9,
87.0,67.5, 7.4,11.6,13.5,
88.0,67.5, 7.3,12.1,13.1,
