time,load,runnable,cpu,idle,iowait,irq,net lo,net enp2s0,net wlp3s0,net docker0,
 1.0,4.98,2,6.81%,0.00%,0.00%,0.50%,0,246,126,0,
 2.0,4.58,2,6.88%,0.00%,0.00%,0.31%,0,1286,714,0,
 3.0,4.58,1,2.81%,0.00%,0.00%,0.25%,782,47380,370,0,
 4.0,4.58,17,39.12%,0.06%,0.00%,0.06%,0,120,60,0,
 5.0,4.58,17,100.00%,0.00%,0.00%,0.00%,0,557,208,0,
 6.0,4.58,17,100.06%,0.00%,0.00%,0.00%,0,258,126,0,
 7.0,5.50,17,100.38%,0.00%,0.00%,0.00%,0,66,0,0,
 8.0,5.50,17,100.00%,0.00%,0.00%,0.00%,0,2092,818,0,
 9.0,5.50,17,100.00%,0.00%,0.00%,0.00%,0,1856,672,0,
10.0,5.50,17,99.94%,0.00%,0.00%,0.00%,0,2004,820,0,
11.0,5.50,17,100.06%,0.00%,0.00%,0.00%,0,426,126,0,
12.0,6.34,17,99.94%,0.00%,0.00%,0.00%,0,582,140,0,
13.0,6.34,17,100.06%,0.00%,0.00%,0.00%,0,0,148,0,
14.0,6.34,17,99.94%,0.00%,0.00%,0.00%,0,260,60,0,
15.0,6.34,17,100.44%,0.00%,0.00%,0.00%,0,535,134,0,
16.0,6.34,17,100.00%,0.00%,0.00%,0.00%,0,444,436,0,
17.0,7.11,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
18.0,7.11,17,100.00%,0.00%,0.00%,0.00%,0,250,60,0,
19.0,7.11,17,99.94%,0.00%,0.00%,0.06%,0,532,134,0,
20.0,7.11,17,100.00%,0.00%,0.00%,0.00%,0,362,0,0,
21.0,7.11,17,100.00%,0.00%,0.00%,0.06%,0,126,126,0,
22.0,7.82,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
23.0,7.82,17,100.00%,0.00%,0.00%,0.00%,0,492,246,0,
24.0,7.82,17,100.00%,0.00%,0.00%,0.00%,0,260,60,0,
25.0,7.82,17,100.38%,0.00%,0.00%,0.00%,0,0,0,0,
26.0,7.82,17,100.00%,0.00%,0.00%,0.00%,0,402,264,0,
27.0,8.48,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
28.0,8.48,17,100.00%,0.00%,0.00%,0.00%,0,259,60,0,
29.0,8.48,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
30.0,8.48,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
31.0,8.48,17,100.00%,0.00%,0.00%,0.00%,0,312,186,0,
32.0,9.08,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
33.0,9.08,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
34.0,9.08,17,100.00%,0.00%,0.00%,0.00%,0,139,60,0,
35.0,9.08,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
36.0,9.08,17,100.00%,0.00%,0.00%,0.00%,0,246,186,0,
37.0,9.64,17,99.94%,0.00%,0.00%,0.00%,0,120,0,0,
38.0,9.64,17,100.00%,0.00%,0.00%,0.00%,0,0,60,0,
39.0,9.64,17,100.06%,0.00%,0.00%,0.00%,0,0,0,0,
40.0,9.64,17,99.94%,0.00%,0.00%,0.06%,0,180,122,0,
41.0,9.64,17,100.38%,0.00%,0.00%,0.00%,0,246,186,0,
42.0,10.15,17,100.00%,0.00%,0.00%,0.00%,0,138,0,0,
43.0,10.15,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
44.0,10.15,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
45.0,10.15,17,100.00%,0.00%,0.00%,0.00%,0,366,183,0,
46.0,10.15,17,100.00%,0.00%,0.00%,0.00%,0,126,126,0,
47.0,10.62,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
48.0,10.62,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
49.0,10.62,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
50.0,10.62,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
51.0,10.62,17,100.06%,0.00%,0.00%,0.00%,0,246,186,0,
52.0,11.05,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
53.0,11.05,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
54.0,11.05,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
55.0,11.05,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
56.0,11.05,17,100.00%,0.00%,0.00%,0.00%,0,500,442,0,
57.0,11.44,17,100.38%,0.00%,0.00%,0.00%,0,120,60,0,
58.0,11.44,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
59.0,11.44,17,100.00%,0.00%,0.00%,0.00%,0,0,60,0,
60.0,11.44,17,99.94%,0.00%,0.00%,0.00%,0,120,60,0,
61.0,11.44,17,100.00%,0.00%,0.00%,0.00%,0,246,186,0,
62.0,11.81,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
63.0,11.81,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
64.0,11.81,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
65.0,11.81,17,100.00%,0.00%,0.00%,0.00%,0,482,282,0,
66.0,11.81,17,100.00%,0.00%,0.00%,0.00%,0,265,285,0,
