time,retire,frontend,backend,speculate,
 1.0,33.3,44.9,16.2, 5.6,
 2.0,22.6,64.6,10.1, 2.8,
 3.0,27.8,45.7,22.1, 4.4,
 4.0,27.0,44.5,16.6,11.9,
 5.0,25.2,48.6,12.8,13.4,
 6.0,25.0,48.8,12.8,13.4,
 7.0,24.8,49.2,12.6,13.4,
 8.0,24.5,49.2,13.0,13.3,
 9.0,24.7,49.8,12.1,13.4,
10.0,24.2,50.0,12.5,13.3,
11.0,23.7,50.5,12.5,13.3,
12.0,23.6,50.8,12.3,13.3,
13.0,23.6,50.8,12.4,13.3,
14.0,23.4,50.4,13.0,13.3,
15.0,23.7,49.9,13.4,13.1,
16.0,23.4,50.4,12.9,13.2,
17.0,23.3,49.9,13.6,13.2,
18.0,24.0,49.1,13.7,13.2,
19.0,24.3,48.6,14.1,13.0,
20.0,25.0,48.0,14.1,13.0,
21.0,25.5,46.9,14.7,12.8,
22.0,25.8,46.9,14.3,13.0,
23.0,25.1,48.7,12.8,13.4,
24.0,25.0,48.8,12.7,13.4,
25.0,24.6,49.5,12.4,13.5,
26.0,24.5,50.0,12.1,13.5,
27.0,24.2,49.7,12.7,13.4,
28.0,24.4,50.1,11.8,13.7,
29.0,24.3,50.0,12.1,13.6,
30.0,24.0,50.9,11.5,13.6,
31.0,23.9,50.0,12.7,13.4,
32.0,24.1,49.9,12.6,13.4,
33.0,24.1,49.7,12.9,13.3,
34.0,24.1,49.4,13.2,13.2,
35.0,24.5,48.6,14.0,12.9,
36.0,24.4,48.8,14.1,12.7,
37.0,24.9,49.2,12.6,13.3,
38.0,25.1,49.0,12.5,13.5,
39.0,24.9,49.5,12.1,13.6,
40.0,24.6,49.3,12.6,13.5,
41.0,24.3,49.7,12.5,13.5,
42.0,24.2,50.2,12.1,13.6,
43.0,24.2,50.1,12.2,13.6,
44.0,24.1,50.0,12.4,13.6,
45.0,23.9,50.0,12.7,13.5,
46.0,23.7,50.3,12.5,13.5,
47.0,23.8,50.4,12.3,13.5,
48.0,24.3,49.5,13.0,13.3,
49.0,24.5,49.0,13.2,13.2,
50.0,24.7,48.1,14.0,13.1,
51.0,24.5,48.2,14.3,13.1,
52.0,24.7,48.7,13.3,13.3,
53.0,24.9,47.7,14.4,13.0,
54.0,25.3,46.9,15.0,12.8,
55.0,26.5,44.7,16.3,12.5,
56.0,29.8,39.0,19.4,11.8,
57.0,29.8,39.0,19.3,11.9,
58.0,25.9,47.2,13.8,13.2,
59.0,25.0,49.0,12.6,13.4,
60.0,24.9,49.2,12.5,13.4,
61.0,24.6,49.6,12.4,13.4,
62.0,24.5,49.8,12.3,13.4,
63.0,24.3,50.0,12.3,13.4,
64.0,24.3,49.9,12.4,13.3,
65.0,24.4,50.0,12.3,13.3,
66.0,24.2,49.8,12.9,13.1,
67.0,23.9,50.2,12.7,13.1,
68.0,23.9,50.5,12.5,13.1,
69.0,23.9,50.4,12.9,12.9,
70.0,24.0,50.0,13.3,12.7,
71.0,24.1,49.8,13.4,12.7,
72.0,25.1,48.4,14.0,12.5,
73.0,27.2,45.4,15.6,11.9,
74.0,28.2,43.5,16.9,11.4,
75.0,25.9,47.5,13.9,12.7,
76.0,24.9,49.1,12.7,13.3,
77.0,24.8,49.8,11.8,13.5,
78.0,24.5,49.4,12.6,13.5,
