time,load,runnable,cpu,idle,iowait,irq,net lo,net enp2s0,net wlp3s0,net docker0,
 1.0,4.76,2,6.81%,0.00%,0.00%,0.50%,0,612,0,0,
 2.0,4.76,2,6.50%,0.00%,0.00%,0.56%,0,186,0,0,
 3.0,4.76,2,2.12%,0.00%,0.00%,0.19%,840,45870,0,0,
 4.0,4.76,17,88.69%,0.06%,0.00%,0.00%,0,120,0,0,
 5.0,4.76,17,100.00%,0.00%,0.00%,0.00%,0,246,0,0,
 6.0,5.66,17,100.00%,0.00%,0.00%,0.00%,0,132,0,0,
 7.0,5.66,17,100.00%,0.00%,0.00%,0.00%,0,482,0,0,
 8.0,5.66,17,100.00%,0.00%,0.00%,0.00%,0,240,0,0,
 9.0,5.66,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
10.0,5.66,17,100.00%,0.00%,0.00%,0.00%,0,274,0,0,
11.0,6.49,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
12.0,6.49,17,100.00%,0.00%,0.00%,0.00%,0,268,0,0,
13.0,6.49,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
14.0,6.49,17,100.00%,0.00%,0.00%,0.00%,0,2238,0,0,
15.0,6.49,17,100.38%,0.00%,0.00%,0.00%,0,432,0,0,
16.0,7.25,17,100.00%,0.00%,0.00%,0.00%,0,2210,0,0,
17.0,7.25,17,100.06%,0.00%,0.00%,0.00%,0,268,0,0,
18.0,7.25,17,99.94%,0.00%,0.00%,0.00%,0,0,0,0,
19.0,7.25,17,100.00%,0.00%,0.00%,0.00%,0,236,0,0,
20.0,7.25,17,100.00%,0.00%,0.00%,0.00%,0,246,0,0,
21.0,8.03,17,100.06%,0.00%,0.00%,0.00%,0,120,0,0,
22.0,8.03,17,99.94%,0.00%,0.00%,0.00%,0,0,0,0,
23.0,8.03,17,100.06%,0.00%,0.00%,0.00%,0,180,0,0,
24.0,8.03,17,100.00%,0.00%,0.00%,0.00%,0,366,0,0,
25.0,8.03,17,99.94%,0.00%,0.00%,0.00%,0,430,0,0,
26.0,8.67,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
27.0,8.67,17,100.06%,0.00%,0.00%,0.00%,0,488,0,0,
28.0,8.67,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
29.0,8.67,17,99.94%,0.00%,0.00%,0.00%,0,754,0,0,
30.0,8.67,17,100.38%,0.00%,0.00%,0.00%,0,126,0,0,
31.0,9.26,17,100.06%,0.00%,0.00%,0.00%,0,186,0,0,
32.0,9.26,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
33.0,9.26,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
34.0,9.26,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
35.0,9.26,17,100.00%,0.00%,0.00%,0.00%,0,246,0,0,
36.0,9.80,17,100.00%,0.00%,0.00%,0.00%,0,240,0,0,
37.0,9.80,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
38.0,9.80,17,99.94%,0.00%,0.00%,0.00%,0,0,0,0,
39.0,9.80,17,100.06%,0.00%,0.00%,0.00%,0,120,0,0,
40.0,9.80,17,100.00%,0.00%,0.00%,0.00%,0,186,0,0,
41.0,10.30,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
42.0,10.30,17,100.00%,0.00%,0.00%,0.00%,904,7057,0,0,
43.0,10.30,17,99.94%,0.00%,0.00%,0.00%,0,120,0,0,
44.0,10.30,17,100.06%,0.00%,0.00%,0.00%,0,120,0,0,
45.0,10.30,18,99.94%,0.00%,0.00%,0.00%,0,126,0,0,
46.0,10.99,17,100.06%,0.00%,0.00%,0.00%,0,120,0,0,
47.0,10.99,17,100.44%,0.00%,0.00%,0.00%,0,240,0,0,
48.0,10.99,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
49.0,10.99,17,99.94%,0.00%,0.00%,0.00%,0,1740,0,0,
