time,load,runnable,cpu,idle,iowait,irq,net lo,net enp2s0,net wlp3s0,net docker0,
 1.0,12.42,2,6.88%,0.00%,0.00%,0.19%,0,612,0,0,
 2.0,11.50,2,7.00%,0.00%,0.00%,0.06%,0,120,60,0,
 3.0,11.50,1,2.62%,0.00%,0.00%,0.75%,840,46944,908,0,
 4.0,11.50,17,80.12%,0.00%,0.00%,0.12%,0,306,185,0,
 5.0,11.50,17,100.00%,0.00%,0.00%,0.00%,0,0,63,0,
 6.0,11.50,17,100.00%,0.00%,0.00%,0.00%,0,252,60,0,
 7.0,11.86,17,100.00%,0.00%,0.00%,0.00%,0,2114,1958,0,
 8.0,11.86,17,99.94%,0.00%,0.00%,0.00%,0,360,228,0,
 9.0,11.86,17,100.00%,0.00%,0.00%,0.00%,0,126,126,0,
10.0,11.86,17,100.06%,0.00%,0.00%,0.00%,0,475,213,0,
11.0,11.86,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
12.0,12.20,17,100.00%,0.00%,0.00%,0.00%,0,612,429,0,
13.0,12.20,17,100.00%,0.00%,0.00%,0.00%,0,2822,2459,0,
14.0,12.20,17,100.38%,0.00%,0.00%,0.00%,0,738,492,0,
15.0,12.20,17,100.00%,0.00%,0.00%,0.00%,0,0,63,0,
16.0,12.20,17,100.00%,0.00%,0.00%,0.00%,0,2246,328,0,
17.0,12.50,17,100.00%,0.00%,0.00%,0.00%,0,2326,1256,0,
18.0,12.50,17,100.06%,0.00%,0.00%,0.00%,0,4060,0,0,
19.0,12.50,17,99.94%,0.00%,0.00%,0.06%,0,2336,2174,0,
20.0,12.50,17,99.94%,0.00%,0.00%,0.00%,0,214,137,0,
21.0,12.50,17,100.06%,0.00%,0.00%,0.00%,0,148,148,0,
22.0,12.78,17,99.94%,0.00%,0.00%,0.00%,0,0,0,0,
23.0,12.78,17,100.00%,0.00%,0.00%,0.00%,0,366,0,0,
24.0,12.78,17,100.00%,0.00%,0.00%,0.06%,0,274,211,0,
25.0,12.78,17,100.00%,0.00%,0.00%,0.00%,0,268,271,0,
26.0,12.78,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
27.0,13.04,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
28.0,13.04,17,100.38%,0.00%,0.00%,0.00%,0,74,74,0,
29.0,13.04,17,100.06%,0.00%,0.00%,0.00%,0,246,123,0,
30.0,13.04,17,100.00%,0.00%,0.00%,0.00%,0,120,123,0,
31.0,13.04,17,100.00%,0.00%,0.00%,0.00%,0,268,134,0,
32.0,13.28,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
33.0,13.28,17,99.94%,0.00%,0.00%,0.00%,0,0,0,0,
34.0,13.28,17,100.00%,0.00%,0.00%,0.00%,0,246,123,0,
35.0,13.28,17,100.00%,0.00%,0.00%,0.00%,0,0,63,0,
36.0,13.28,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
37.0,13.49,17,100.00%,0.00%,0.00%,0.00%,0,60,60,0,
38.0,13.49,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
39.0,13.49,17,100.00%,0.00%,0.00%,0.00%,0,246,123,0,
40.0,13.49,17,100.44%,0.00%,0.00%,0.00%,0,748,369,0,
41.0,13.49,17,99.94%,0.00%,0.00%,0.00%,0,0,60,0,
42.0,13.69,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
43.0,13.69,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
44.0,13.69,17,100.00%,0.00%,0.00%,0.06%,0,246,0,0,
45.0,13.69,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
46.0,13.69,17,100.00%,0.00%,0.00%,0.00%,0,258,0,0,
47.0,13.88,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
48.0,13.88,17,100.00%,0.00%,0.00%,0.00%,0,616,356,0,
49.0,13.88,17,100.00%,0.00%,0.00%,0.00%,0,126,177,0,
50.0,13.88,17,100.00%,0.00%,0.00%,0.00%,0,750,174,0,
51.0,13.88,17,100.00%,0.00%,0.00%,0.00%,0,214,114,0,
52.0,14.05,17,100.00%,0.00%,0.00%,0.00%,0,214,174,0,
53.0,14.05,17,100.00%,0.00%,0.00%,0.00%,0,352,114,0,
54.0,14.05,17,100.38%,0.00%,0.00%,0.00%,0,340,411,0,
55.0,14.05,17,100.00%,0.00%,0.00%,0.00%,0,564,177,0,
56.0,14.05,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
57.0,14.21,17,100.00%,0.00%,0.00%,0.00%,0,94,0,0,
58.0,14.21,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
59.0,14.21,17,99.94%,0.00%,0.00%,0.00%,0,246,307,0,
60.0,14.21,17,100.06%,0.00%,0.00%,0.00%,0,284,237,0,
61.0,14.21,17,99.94%,0.00%,0.00%,0.00%,0,214,0,0,
62.0,14.35,17,100.00%,0.00%,0.00%,0.00%,0,0,60,0,
63.0,14.35,17,100.00%,0.00%,0.00%,0.00%,0,399,60,0,
64.0,14.35,18,100.44%,0.00%,0.00%,0.00%,0,306,185,0,
65.0,14.35,17,100.00%,0.00%,0.00%,0.00%,0,120,123,0,
66.0,14.35,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
67.0,14.48,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
68.0,14.48,17,100.00%,0.00%,0.00%,0.00%,0,120,174,0,
69.0,14.48,17,100.00%,0.00%,0.00%,0.00%,0,340,123,0,
70.0,14.48,17,100.00%,0.00%,0.00%,0.00%,0,0,63,0,
71.0,14.48,17,100.00%,0.00%,0.00%,0.00%,0,261,60,0,
72.0,14.60,17,100.00%,0.00%,0.00%,0.00%,0,60,0,0,
73.0,14.60,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
74.0,14.60,17,100.00%,0.00%,0.00%,0.00%,0,339,276,0,
75.0,14.60,17,100.00%,0.00%,0.00%,0.00%,0,0,63,0,
76.0,14.60,17,100.00%,0.00%,0.00%,0.00%,0,1920,678,0,
77.0,14.72,17,100.00%,0.00%,0.00%,0.00%,0,1800,630,0,
78.0,14.72,17,100.44%,0.00%,0.00%,0.00%,0,1802,0,0,
79.0,14.72,17,99.94%,0.00%,0.00%,0.00%,0,186,63,0,
80.0,14.72,17,100.00%,0.00%,0.00%,0.00%,0,148,63,0,
81.0,14.72,17,100.00%,0.00%,0.00%,0.00%,0,148,222,0,
82.0,14.82,17,100.00%,0.00%,0.00%,0.00%,0,60,0,0,
83.0,14.82,17,100.00%,0.00%,0.00%,0.00%,0,300,60,0,
84.0,14.82,17,100.00%,0.00%,0.00%,0.00%,0,1022,485,0,
85.0,14.82,17,100.00%,0.00%,0.00%,0.00%,0,886,407,0,
86.0,14.82,17,100.06%,0.00%,0.00%,0.00%,0,194,94,0,
87.0,14.91,17,100.00%,0.00%,0.00%,0.00%,0,254,154,0,
88.0,14.91,17,99.94%,0.00%,0.00%,0.00%,0,402,302,0,
89.0,14.91,17,100.00%,0.00%,0.00%,0.00%,0,504,1153,0,
90.0,14.91,17,100.06%,0.00%,0.00%,0.00%,0,0,129,0,
91.0,14.91,17,99.94%,0.00%,0.00%,0.00%,0,760,60,0,
92.0,15.00,17,100.44%,0.00%,0.00%,0.00%,0,120,60,0,
93.0,15.00,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
94.0,15.00,17,100.00%,0.00%,0.00%,0.00%,0,282,245,0,
95.0,15.00,17,100.00%,0.00%,0.00%,0.00%,0,120,123,0,
96.0,15.00,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
97.0,15.08,17,99.94%,0.00%,0.00%,0.00%,0,259,60,0,
98.0,15.08,17,100.06%,0.00%,0.00%,0.00%,0,120,0,0,
99.0,15.08,17,100.00%,0.00%,0.00%,0.00%,0,126,123,0,
100.0,15.08,17,100.00%,0.00%,0.00%,0.00%,0,120,123,0,
101.0,15.08,17,99.94%,0.00%,0.00%,0.00%,0,60,60,0,
102.0,15.15,17,100.06%,0.00%,0.00%,0.00%,0,0,0,0,
103.0,15.15,17,100.00%,0.00%,0.00%,0.06%,0,139,159,0,
104.0,15.15,17,99.94%,0.00%,0.00%,0.00%,0,186,186,0,
105.0,15.15,17,100.38%,0.00%,0.00%,0.00%,0,120,0,0,
106.0,15.15,17,100.06%,0.00%,0.00%,0.00%,0,120,60,0,
107.0,15.22,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
108.0,15.22,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
109.0,15.22,17,100.00%,0.00%,0.00%,0.00%,0,306,185,0,
110.0,15.22,17,99.94%,0.00%,0.00%,0.00%,0,120,63,0,
111.0,15.22,17,100.06%,0.00%,0.00%,0.00%,0,0,0,0,
112.0,15.29,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
113.0,15.29,17,100.00%,0.00%,0.00%,0.00%,0,246,0,0,
114.0,15.29,17,100.00%,0.00%,0.00%,0.00%,0,183,60,0,
115.0,15.29,17,99.94%,0.00%,0.00%,0.00%,0,213,276,0,
116.0,15.29,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
117.0,15.34,17,100.50%,0.00%,0.00%,0.00%,0,120,60,0,
118.0,15.34,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
119.0,15.34,17,100.00%,0.00%,0.00%,0.00%,0,126,0,0,
120.0,15.34,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
121.0,15.34,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
122.0,15.40,17,99.94%,0.00%,0.00%,0.00%,0,120,60,0,
123.0,15.40,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
124.0,15.40,17,100.00%,0.00%,0.00%,0.00%,0,126,123,0,
125.0,15.40,17,100.00%,0.00%,0.00%,0.00%,0,322,63,0,
126.0,15.40,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
127.0,15.44,17,100.06%,0.00%,0.00%,0.00%,0,120,60,0,
128.0,15.44,17,99.94%,0.00%,0.00%,0.00%,0,0,0,0,
129.0,15.44,17,100.00%,0.00%,0.00%,0.00%,0,186,123,0,
130.0,15.44,17,100.00%,0.00%,0.00%,0.00%,0,120,123,0,
131.0,15.44,17,100.38%,0.00%,0.00%,0.00%,0,120,60,0,
132.0,15.49,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
