time,retire,frontend,backend,speculate,
 1.0,33.5,44.9,16.0, 5.6,
 2.0,22.1,64.5,10.6, 2.7,
 3.0,27.9,45.5,22.3, 4.4,
 4.0,49.4,31.2,16.9, 2.6,
 5.0,46.2,35.3,16.1, 2.4,
 6.0,48.1,34.8,14.2, 2.9,
 7.0,45.9,38.2,13.1, 2.8,
 8.0,48.1,34.7,14.0, 3.2,
 9.0,48.8,34.1,13.6, 3.5,
10.0,49.7,32.3,14.4, 3.6,
11.0,51.7,32.2,12.5, 3.5,
12.0,48.0,36.8,12.3, 2.9,
13.0,46.9,36.8,13.4, 2.9,
14.0,50.3,33.1,13.3, 3.4,
15.0,45.2,38.2,13.9, 2.7,
16.0,48.4,35.1,13.4, 3.1,
17.0,47.3,35.6,14.1, 3.0,
18.0,48.1,34.1,14.6, 3.2,
19.0,49.8,35.0,12.1, 3.1,
20.0,52.0,32.5,12.1, 3.3,
21.0,56.8,27.2,12.3, 3.7,
22.0,48.3,32.5,16.5, 2.7,
23.0,48.2,31.3,17.7, 2.8,
24.0,48.6,32.5,16.1, 2.8,
25.0,49.7,31.0,16.2, 3.1,
26.0,47.6,33.9,15.7, 2.9,
27.0,46.2,33.8,17.4, 2.6,
28.0,45.9,34.9,16.4, 2.8,
29.0,48.1,34.2,14.8, 2.9,
30.0,45.5,35.9,16.1, 2.5,
31.0,45.4,36.0,16.1, 2.6,
32.0,45.8,35.3,16.7, 2.1,
33.0,45.9,34.2,17.7, 2.3,
34.0,47.7,34.7,15.0, 2.5,
35.0,46.9,37.2,13.6, 2.2,
36.0,47.9,36.3,13.2, 2.6,
37.0,48.8,35.6,13.0, 2.6,
38.0,46.8,37.2,13.5, 2.5,
39.0,46.8,36.5,14.5, 2.3,
40.0,46.6,37.0,14.2, 2.2,
41.0,46.2,37.4,14.1, 2.3,
42.0,46.3,37.7,13.9, 2.1,
43.0,47.7,36.4,13.4, 2.6,
44.0,46.7,37.0,14.1, 2.3,
45.0,46.3,37.2,13.9, 2.6,
46.0,45.7,36.3,15.5, 2.4,
47.0,47.5,36.2,13.8, 2.6,
48.0,45.3,38.4,13.8, 2.5,
49.0,46.7,36.2,14.6, 2.5,
50.0,45.5,38.6,13.6, 2.3,
51.0,47.6,36.1,13.4, 2.9,
52.0,47.6,36.0,13.7, 2.6,
53.0,49.4,34.1,13.7, 2.7,
54.0,47.5,33.7,16.1, 2.7,
55.0,45.8,35.7,16.5, 2.0,
56.0,46.9,35.5,15.4, 2.2,
57.0,45.9,36.2,15.7, 2.2,
58.0,47.7,35.2,14.9, 2.3,
59.0,47.7,34.4,15.3, 2.6,
60.0,48.9,33.6,14.7, 2.7,
61.0,48.7,33.3,15.3, 2.7,
62.0,58.0,25.1,12.8, 4.1,
63.0,53.4,29.3,13.7, 3.7,
64.0,51.2,31.5,14.2, 3.1,
65.0,51.2,29.9,15.7, 3.3,
66.0,50.9,31.8,14.0, 3.3,
67.0,49.5,31.3,16.2, 3.0,
68.0,50.4,31.3,15.4, 2.9,
69.0,55.4,28.6,12.2, 3.9,
70.0,55.8,27.1,13.3, 3.9,
71.0,55.3,28.9,11.9, 3.9,
72.0,49.1,34.9,13.6, 2.4,
73.0,45.6,38.1,14.2, 2.1,
74.0,45.0,38.7,13.9, 2.3,
75.0,45.0,39.2,13.2, 2.5,
76.0,45.1,40.5,12.0, 2.3,
77.0,44.5,41.3,11.9, 2.3,
78.0,44.5,41.0,12.1, 2.3,
79.0,44.9,41.1,11.6, 2.3,
80.0,44.8,41.0,11.9, 2.3,
81.0,45.6,39.9,11.9, 2.5,
82.0,44.9,40.6,11.9, 2.5,
83.0,44.5,41.2,11.9, 2.4,
84.0,45.5,39.3,12.9, 2.3,
85.0,45.5,38.3,13.9, 2.3,
86.0,43.8,39.4,14.4, 2.4,
87.0,44.0,39.1,14.3, 2.6,
88.0,42.8,40.4,14.5, 2.4,
89.0,42.9,40.7,13.9, 2.5,
90.0,41.9,41.3,14.2, 2.5,
91.0,42.9,40.6,14.0, 2.5,
92.0,43.4,40.8,13.4, 2.4,
93.0,44.3,38.9,14.3, 2.5,
94.0,45.7,37.3,14.7, 2.4,
95.0,45.6,37.4,14.7, 2.3,
96.0,44.5,39.2,13.5, 2.8,
97.0,43.8,38.4,15.7, 2.1,
98.0,44.2,38.0,15.5, 2.3,
99.0,45.0,38.6,13.8, 2.5,
100.0,44.1,39.2,14.4, 2.4,
101.0,44.6,35.6,17.5, 2.3,
102.0,44.3,37.9,15.2, 2.6,
103.0,44.9,37.9,15.2, 2.1,
104.0,44.1,39.5,14.2, 2.2,
105.0,44.3,39.5,14.0, 2.2,
106.0,44.0,39.1,14.7, 2.2,
107.0,46.3,36.9,14.4, 2.4,
108.0,45.3,37.2,15.1, 2.3,
109.0,45.4,37.8,14.3, 2.5,
110.0,44.7,39.3,13.8, 2.2,
111.0,44.6,37.5,15.7, 2.2,
112.0,44.4,39.1,14.0, 2.6,
113.0,44.2,39.0,14.7, 2.1,
114.0,45.1,37.5,14.5, 2.9,
115.0,47.0,36.2,13.6, 3.2,
116.0,45.0,37.1,14.7, 3.2,
117.0,45.7,37.3,14.1, 3.0,
118.0,45.3,39.2,12.3, 3.2,
119.0,46.3,37.9,12.8, 3.0,
120.0,46.1,37.5,13.6, 2.8,
121.0,48.7,35.5,12.6, 3.2,
122.0,49.8,35.3,11.7, 3.2,
123.0,49.1,36.4,11.2, 3.4,
124.0,48.9,36.3,11.9, 2.9,
125.0,45.5,36.5,16.0, 2.0,
126.0,44.6,37.1,16.3, 2.0,
127.0,46.2,35.8,15.8, 2.2,
128.0,45.6,36.4,15.9, 2.1,
129.0,45.9,35.6,16.4, 2.1,
130.0,47.8,35.7,14.2, 2.3,
131.0,47.3,37.0,13.2, 2.5,
132.0,45.1,37.3,15.6, 2.0,
133.0,45.3,38.4,14.2, 2.1,
134.0,45.1,38.4,14.4, 2.1,
135.0,44.8,35.7,17.5, 1.9,
136.0,44.6,34.3,19.3, 1.8,
137.0,44.9,34.3,19.1, 1.8,
138.0,46.6,35.0,16.5, 1.9,
139.0,45.8,36.0,16.2, 2.0,
140.0,45.7,36.8,15.4, 2.1,
141.0,46.1,35.9,15.4, 2.6,
142.0,46.0,34.6,17.3, 2.1,
143.0,45.7,34.7,17.7, 1.9,
144.0,46.9,34.1,17.1, 2.0,
145.0,45.7,35.3,17.1, 1.9,
146.0,45.5,35.8,16.5, 2.1,
147.0,45.5,35.5,17.1, 1.9,
148.0,45.3,35.0,17.8, 1.9,
149.0,45.8,36.3,16.0, 1.9,
150.0,45.3,34.6,18.4, 1.7,
151.0,44.3,34.2,19.7, 1.8,
152.0,44.6,33.4,20.3, 1.8,
153.0,46.0,33.7,18.6, 1.8,
154.0,44.5,34.2,19.2, 2.1,
155.0,44.3,35.3,18.4, 2.0,
156.0,45.4,36.1,16.5, 1.9,
157.0,45.0,36.7,16.1, 2.2,
158.0,45.2,38.1,13.9, 2.7,
159.0,47.3,36.0,14.1, 2.7,
160.0,47.5,34.8,14.9, 2.9,
161.0,48.4,37.1,11.9, 2.6,
162.0,48.5,36.7,12.1, 2.7,
163.0,47.1,38.2,12.3, 2.4,
164.0,47.5,36.4,13.6, 2.5,
