time,load,runnable,cpu,idle,iowait,irq,net lo,net enp2s0,net wlp3s0,net docker0,
 1.0,9.38,2,6.69%,0.00%,0.00%,0.62%,0,0,0,0,
 2.0,9.38,2,6.69%,0.00%,0.00%,0.38%,0,268,0,0,
 3.0,9.38,2,2.19%,0.00%,0.00%,0.31%,840,46138,0,0,
 4.0,9.38,17,88.81%,0.06%,0.00%,0.19%,0,246,0,0,
 5.0,9.91,17,100.44%,0.00%,0.00%,0.00%,0,492,0,0,
 6.0,9.91,17,100.00%,0.00%,0.00%,0.00%,0,400,0,0,
 7.0,9.91,17,99.94%,0.00%,0.00%,0.00%,0,334,0,0,
 8.0,9.91,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
 9.0,9.91,17,100.06%,0.00%,0.00%,0.00%,0,126,0,0,
10.0,10.40,17,100.00%,0.00%,0.00%,0.00%,0,268,0,0,
11.0,10.40,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
12.0,10.40,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
13.0,10.40,17,100.00%,0.00%,0.00%,0.00%,0,268,0,0,
14.0,10.40,17,99.94%,0.00%,0.00%,0.00%,0,126,0,0,
15.0,10.85,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
16.0,10.85,17,100.06%,0.00%,0.00%,0.00%,0,120,0,0,
17.0,10.85,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
18.0,10.85,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
19.0,10.85,17,100.00%,0.00%,0.00%,0.00%,0,246,0,0,
20.0,11.26,17,99.94%,0.00%,0.00%,0.00%,0,120,0,0,
21.0,11.26,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
22.0,11.26,17,100.00%,0.00%,0.00%,0.00%,0,1340,0,0,
23.0,11.26,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
24.0,11.26,17,100.00%,0.00%,0.00%,0.00%,0,1982,0,0,
25.0,11.64,17,100.06%,0.00%,0.00%,0.00%,0,1624,0,0,
26.0,11.64,17,100.00%,0.00%,0.00%,0.00%,0,1856,0,0,
27.0,11.64,17,100.38%,0.00%,0.00%,0.00%,0,0,0,0,
28.0,11.64,17,100.00%,0.00%,0.00%,0.00%,0,246,0,0,
29.0,11.64,17,100.00%,0.00%,0.00%,0.00%,0,126,0,0,
30.0,11.99,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
31.0,11.99,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
32.0,11.99,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
33.0,11.99,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
34.0,11.99,17,100.00%,0.00%,0.00%,0.00%,0,246,0,0,
35.0,12.31,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
36.0,12.31,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
37.0,12.31,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
38.0,12.31,17,100.00%,0.00%,0.00%,0.00%,0,416,0,0,
39.0,12.31,17,100.00%,0.00%,0.00%,0.00%,0,246,0,0,
40.0,12.61,17,100.00%,0.00%,0.00%,0.00%,0,186,0,0,
41.0,12.61,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
42.0,12.61,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
43.0,12.61,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
44.0,12.61,17,100.00%,0.00%,0.00%,0.00%,0,246,0,0,
45.0,12.88,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
46.0,12.88,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
47.0,12.88,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
48.0,12.88,17,100.00%,0.00%,0.00%,0.00%,0,270,0,0,
49.0,12.88,17,100.00%,0.00%,0.00%,0.00%,0,126,0,0,
50.0,13.13,17,100.38%,0.00%,0.00%,0.00%,0,120,0,0,
51.0,13.13,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
52.0,13.13,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
53.0,13.13,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
54.0,13.13,17,100.06%,0.00%,0.00%,0.00%,0,265,0,0,
55.0,13.36,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
56.0,13.36,17,100.00%,0.00%,0.00%,0.00%,0,180,0,0,
57.0,13.36,17,99.94%,0.00%,0.00%,0.00%,0,120,0,0,
58.0,13.36,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
59.0,13.36,17,100.00%,0.00%,0.00%,0.00%,0,246,0,0,
60.0,13.57,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
61.0,13.57,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
62.0,13.57,17,100.06%,0.00%,0.00%,0.00%,0,148,0,0,
63.0,13.57,17,99.94%,0.00%,0.00%,0.00%,0,268,0,0,
64.0,13.57,17,100.00%,0.00%,0.00%,0.00%,0,246,0,0,
65.0,13.77,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
66.0,13.77,17,100.00%,0.00%,0.00%,0.00%,0,148,0,0,
67.0,13.77,17,100.00%,0.00%,0.00%,0.00%,0,760,0,0,
68.0,13.77,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
69.0,13.77,17,100.06%,0.00%,0.00%,0.00%,0,492,0,0,
70.0,13.94,17,99.94%,0.00%,0.00%,0.06%,0,1174,0,0,
71.0,13.94,17,100.38%,0.00%,0.00%,0.00%,0,0,0,0,
72.0,13.94,17,100.00%,0.00%,0.00%,0.00%,0,236,0,0,
73.0,13.94,17,100.06%,0.00%,0.00%,0.00%,0,384,0,0,
74.0,13.94,17,100.00%,0.00%,0.00%,0.00%,0,246,0,0,
75.0,14.11,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
76.0,14.11,17,100.00%,0.00%,0.00%,0.00%,0,236,0,0,
77.0,14.11,17,100.00%,0.00%,0.00%,0.00%,0,236,0,0,
78.0,14.11,17,100.00%,0.00%,0.00%,0.00%,0,236,0,0,
79.0,14.11,17,100.00%,0.00%,0.00%,0.00%,0,126,0,0,
80.0,14.26,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
81.0,14.26,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
82.0,14.26,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
83.0,14.26,17,99.94%,0.00%,0.00%,0.00%,0,1916,0,0,
84.0,14.26,17,100.06%,0.00%,0.00%,0.00%,0,1982,0,0,
85.0,14.40,17,100.00%,0.00%,0.00%,0.00%,0,1972,0,0,
86.0,14.40,17,99.94%,0.00%,0.00%,0.00%,0,0,0,0,
87.0,14.40,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
88.0,14.40,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
89.0,14.40,17,100.00%,0.00%,0.00%,0.00%,0,126,0,0,
90.0,14.53,17,100.00%,0.00%,0.00%,0.00%,0,276,0,0,
91.0,14.53,17,100.06%,0.00%,0.00%,0.00%,0,0,0,0,
92.0,14.53,17,100.38%,0.00%,0.00%,0.00%,0,120,0,0,
93.0,14.53,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
94.0,14.53,17,100.00%,0.00%,0.00%,0.00%,0,246,0,0,
95.0,14.65,17,100.00%,0.00%,0.00%,0.00%,0,492,0,0,
96.0,14.65,17,99.94%,0.00%,0.00%,0.00%,0,612,0,0,
97.0,14.65,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
98.0,14.65,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
99.0,14.65,17,100.00%,0.00%,0.00%,0.00%,0,126,0,0,
100.0,14.76,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
101.0,14.76,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
102.0,14.76,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
103.0,14.76,17,100.06%,0.00%,0.00%,0.00%,0,416,0,0,
104.0,14.76,17,100.00%,0.00%,0.00%,0.00%,0,317,0,0,
105.0,14.86,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
106.0,14.86,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
107.0,14.86,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
108.0,14.86,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
109.0,14.86,17,100.00%,0.00%,0.00%,0.00%,0,246,0,0,
110.0,14.95,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
111.0,14.95,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
112.0,14.95,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
113.0,14.95,17,99.94%,0.00%,0.00%,0.00%,0,120,0,0,
114.0,14.95,17,100.00%,0.00%,0.00%,0.00%,0,246,0,0,
115.0,15.03,17,100.44%,0.00%,0.00%,0.00%,0,120,0,0,
116.0,15.03,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
117.0,15.03,17,100.00%,0.00%,0.00%,0.00%,0,180,0,0,
118.0,15.03,17,100.06%,0.00%,0.00%,0.00%,0,366,0,0,
119.0,15.03,17,100.00%,0.00%,0.00%,0.00%,0,246,0,0,
120.0,15.11,17,100.00%,0.00%,0.00%,0.00%,0,832,0,0,
121.0,15.11,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
122.0,15.11,17,99.94%,0.00%,0.00%,0.00%,0,268,0,0,
123.0,15.11,17,100.00%,0.00%,0.00%,0.00%,0,268,0,0,
124.0,15.11,17,100.00%,0.00%,0.00%,0.00%,0,126,0,0,
125.0,15.18,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
126.0,15.18,17,100.00%,0.00%,0.00%,0.00%,0,268,0,0,
127.0,15.18,17,100.00%,0.00%,0.00%,0.00%,0,268,0,0,
128.0,15.18,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
129.0,15.18,17,99.94%,0.00%,0.00%,0.00%,0,246,0,0,
130.0,15.25,17,100.06%,0.00%,0.00%,0.00%,0,2790,0,0,
131.0,15.25,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
132.0,15.25,17,100.38%,0.00%,0.00%,0.00%,0,952,0,0,
133.0,15.25,17,100.00%,0.00%,0.00%,0.00%,0,148,0,0,
