time,retire,frontend,backend,speculate,
 1.0,33.3,45.0,16.1, 5.6,
 2.0,22.7,63.3,11.1, 2.9,
 3.0,29.8,45.6,20.1, 4.5,
 4.0,57.8,21.2,20.5, 0.6,
 5.0,61.7,16.4,21.4, 0.5,
 6.0,16.3,41.2,42.3, 0.2,
 7.0, 2.1,10.0,87.9, 0.1,
 8.0, 1.9, 2.5,95.6, 0.0,
 9.0, 1.8, 2.3,95.9, 0.0,
10.0, 1.8, 2.0,96.1, 0.0,
11.0, 2.1, 2.1,95.7, 0.1,
12.0, 2.1, 2.0,95.8, 0.1,
13.0, 1.9, 2.5,95.7, 0.0,
14.0, 1.8, 2.4,95.8, 0.0,
15.0, 1.8, 2.2,96.0, 0.0,
16.0, 2.0, 2.1,95.9, 0.0,
17.0, 2.2, 2.1,95.7, 0.1,
18.0, 1.8, 2.3,95.9, 0.0,
19.0, 1.8, 2.5,95.6, 0.0,
20.0, 1.8, 2.2,95.9, 0.0,
21.0, 1.9, 2.0,96.0, 0.1,
22.0, 2.2, 2.1,95.7, 0.1,
23.0, 1.9, 2.1,96.0, 0.0,
24.0, 1.9, 2.4,95.7, 0.0,
25.0, 1.8, 2.2,95.9, 0.0,
26.0, 1.9, 1.9,96.1, 0.1,
27.0, 2.1, 2.0,95.8, 0.1,
28.0, 2.0, 1.9,96.0, 0.1,
29.0, 1.9, 2.2,95.9, 0.0,
30.0, 1.8, 2.2,96.0, 0.0,
31.0, 1.8, 1.9,96.2, 0.1,
32.0, 2.1, 1.9,96.0, 0.1,
33.0, 2.1, 1.8,96.0, 0.1,
34.0, 1.9, 2.0,96.1, 0.0,
35.0, 1.8, 2.1,96.1, 0.0,
36.0, 1.8, 1.9,96.2, 0.0,
37.0, 2.0, 1.8,96.1, 0.1,
38.0, 2.1, 1.9,96.0, 0.1,
39.0, 1.9, 1.9,96.2, 0.0,
40.0, 1.8, 2.1,96.1, 0.0,
41.0, 1.8, 1.9,96.2, 0.0,
42.0, 2.0, 1.8,96.2, 0.1,
43.0, 2.1, 1.9,96.0, 0.1,
44.0, 1.9, 1.8,96.2, 0.1,
45.0, 1.8, 2.1,96.0, 0.0,
46.0, 1.8, 2.0,96.1, 0.0,
47.0, 1.9, 1.8,96.3, 0.1,
48.0, 2.0, 1.8,96.2, 0.1,
49.0, 2.0, 1.8,96.2, 0.1,
50.0, 1.9, 1.9,96.2, 0.0,
51.0, 1.8, 1.8,96.3, 0.0,
52.0, 1.9, 1.7,96.4, 0.1,
53.1, 2.0, 1.6,96.3, 0.1,
54.1, 2.0, 1.7,96.3, 0.1,
55.1, 1.9, 1.7,96.3, 0.0,
56.1, 1.8, 1.7,96.4, 0.0,
57.1, 1.9, 1.7,96.3, 0.0,
58.1, 2.0, 1.7,96.3, 0.1,
59.1, 2.0, 1.7,96.3, 0.1,
60.1, 1.9, 1.8,96.3, 0.0,
