time,load,runnable,cpu,idle,iowait,irq,net lo,net enp2s0,net wlp3s0,net docker0,
 1.0,0.74,2,6.75%,0.00%,0.00%,0.69%,0,904,575,0,
 2.0,0.74,2,6.88%,0.00%,0.00%,0.31%,0,724,453,0,
 3.0,0.74,1,2.38%,0.00%,0.00%,0.25%,782,46858,558,0,
 4.0,0.74,17,23.19%,0.00%,0.00%,0.06%,0,552,489,0,
 5.0,0.74,17,100.00%,0.00%,0.00%,0.00%,0,418,270,0,
 6.0,1.97,17,100.00%,0.00%,0.00%,0.00%,0,428,162,0,
 7.0,1.97,17,100.38%,0.00%,0.00%,0.00%,0,176,102,0,
 8.0,1.97,17,100.06%,0.00%,0.00%,0.00%,0,300,120,0,
 9.0,1.97,17,99.94%,0.00%,0.00%,0.00%,0,116,42,0,
10.0,1.97,17,100.00%,0.00%,0.00%,0.00%,0,438,183,0,
11.0,3.09,17,100.44%,0.00%,0.00%,0.00%,0,552,306,0,
12.0,3.09,17,100.00%,0.00%,0.00%,0.00%,0,180,120,0,
13.0,3.09,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
14.0,3.09,17,100.00%,0.00%,0.00%,0.00%,0,180,122,0,
15.0,3.09,17,100.38%,0.00%,0.00%,0.00%,0,366,126,0,
16.0,4.12,17,100.06%,0.00%,0.00%,0.00%,0,0,0,0,
17.0,4.12,17,99.94%,0.00%,0.00%,0.00%,0,120,60,0,
18.0,4.12,17,100.00%,0.00%,0.00%,0.00%,0,60,60,0,
19.0,4.12,17,100.44%,0.00%,0.00%,0.00%,0,321,120,0,
20.0,4.12,17,99.94%,0.00%,0.00%,0.00%,0,326,186,0,
21.0,5.08,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
22.0,5.08,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
23.0,5.08,17,100.06%,0.00%,0.00%,0.00%,0,0,0,0,
24.0,5.08,17,100.38%,0.00%,0.00%,0.00%,0,2310,1042,0,
25.0,5.08,17,99.94%,0.00%,0.00%,0.06%,0,2096,1006,0,
26.0,5.95,17,100.00%,0.00%,0.00%,0.00%,0,1740,630,0,
27.0,5.95,17,100.00%,0.00%,0.00%,0.00%,0,326,206,0,
28.0,5.95,17,100.00%,0.00%,0.00%,0.00%,0,103,103,0,
29.0,5.95,17,100.44%,0.00%,0.00%,0.00%,0,595,472,0,
30.0,5.95,17,100.00%,0.00%,0.00%,0.00%,0,126,126,0,
31.0,6.76,17,99.94%,0.00%,0.00%,0.00%,0,0,0,0,
32.0,6.76,17,100.06%,0.00%,0.00%,0.00%,0,120,60,0,
33.0,6.76,17,100.00%,0.00%,0.00%,0.00%,0,388,123,0,
34.0,6.76,17,100.38%,0.00%,0.00%,0.00%,0,180,120,0,
35.0,6.76,17,99.94%,0.00%,0.00%,0.00%,0,123,123,0,
36.0,7.50,17,100.00%,0.00%,0.00%,0.06%,0,283,223,0,
37.0,7.50,17,100.00%,0.00%,0.00%,0.00%,0,103,103,0,
38.0,7.50,18,100.38%,0.00%,0.00%,0.00%,0,223,103,0,
39.0,7.50,17,100.00%,0.00%,0.00%,0.00%,0,0,60,0,
40.0,7.50,17,100.00%,0.00%,0.00%,0.00%,0,246,186,0,
41.0,8.18,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
42.0,8.18,17,100.00%,0.00%,0.00%,0.00%,0,236,42,0,
43.0,8.18,17,100.38%,0.00%,0.00%,0.00%,0,272,180,0,
44.0,8.18,17,100.00%,0.00%,0.00%,0.00%,0,236,42,0,
45.0,8.18,17,100.00%,0.00%,0.00%,0.00%,0,126,186,0,
46.0,8.80,17,100.44%,0.00%,0.00%,0.00%,0,0,0,0,
47.0,8.80,17,99.94%,0.00%,0.00%,0.00%,0,258,60,0,
48.0,8.80,17,100.00%,0.00%,0.00%,0.00%,0,296,222,0,
49.0,8.80,17,100.00%,0.00%,0.00%,0.00%,0,536,268,0,
50.0,8.80,17,100.06%,0.00%,0.00%,0.00%,0,126,126,0,
51.0,9.38,17,100.38%,0.00%,0.00%,0.00%,0,268,208,0,
