time,retire,frontend,backend,speculate,
 1.0,33.2,45.1,16.2, 5.5,
 2.0,22.7,63.6,10.8, 2.9,
 3.0,30.5,45.0,20.1, 4.5,
 4.0,22.4,38.5,38.7, 0.5,
 5.0, 3.9, 1.4,94.7, 0.0,
 6.0, 6.4, 2.3,91.2, 0.1,
 7.0, 1.4, 2.2,96.4, 0.0,
 8.0, 1.4, 2.3,96.3, 0.0,
 9.0, 1.6, 2.1,96.2, 0.1,
10.0, 2.2, 1.7,95.9, 0.1,
11.0, 2.2, 1.7,96.0, 0.1,
12.0, 2.6, 1.4,96.0, 0.1,
13.0, 7.9, 2.2,89.8, 0.1,
14.0, 1.4, 2.2,96.4, 0.0,
15.0, 1.4, 2.9,95.7, 0.0,
16.0, 1.8, 2.1,96.0, 0.1,
17.0, 2.2, 1.7,95.9, 0.1,
18.0, 2.2, 1.8,95.9, 0.1,
19.0, 3.6, 1.7,94.6, 0.1,
20.0, 6.9, 2.3,90.7, 0.1,
21.0, 1.4, 2.2,96.4, 0.0,
22.0, 1.4, 2.5,96.0, 0.0,
23.0, 1.9, 2.3,95.7, 0.1,
24.0, 2.2, 1.8,95.9, 0.1,
25.0, 2.3, 1.8,95.8, 0.1,
26.0, 5.3, 2.0,92.7, 0.1,
27.0, 5.1, 2.3,92.5, 0.1,
28.0, 1.4, 2.3,96.3, 0.0,
29.0, 1.4, 2.5,96.0, 0.0,
30.0, 2.0, 2.1,95.8, 0.1,
31.0, 2.2, 1.7,96.0, 0.1,
32.0, 2.6, 1.8,95.5, 0.1,
33.0, 6.6, 2.1,91.2, 0.1,
34.0, 3.8, 2.2,93.9, 0.1,
35.0, 1.4, 2.3,96.3, 0.0,
36.0, 1.5, 2.3,96.1, 0.1,
37.0, 2.1, 1.8,95.9, 0.1,
38.0, 2.3, 1.7,95.9, 0.1,
39.0, 3.2, 2.0,94.8, 0.1,
40.0, 6.6, 2.5,90.8, 0.1,
41.0, 3.0, 2.3,94.6, 0.1,
42.0, 1.4, 2.3,96.2, 0.0,
43.0, 1.6, 2.3,96.0, 0.1,
44.0, 2.2, 1.8,95.9, 0.1,
45.0, 2.5, 1.9,95.6, 0.1,
46.0, 3.8, 2.2,93.9, 0.1,
47.0, 6.2, 2.5,91.2, 0.1,
48.0, 2.2, 2.6,95.2, 0.1,
49.0, 1.5, 2.3,96.1, 0.0,
50.0, 1.9, 2.1,96.0, 0.1,
51.0, 2.3, 1.8,95.9, 0.1,
52.0, 2.8, 1.9,95.2, 0.1,
53.0, 4.6, 2.3,93.1, 0.1,
54.0, 5.1, 2.4,92.4, 0.1,
55.0, 1.7, 2.4,95.9, 0.1,
56.0, 1.6, 2.2,96.1, 0.1,
57.0, 2.1, 1.8,96.1, 0.1,
58.0, 2.4, 1.8,95.7, 0.1,
59.0, 3.4, 2.1,94.4, 0.1,
60.0, 5.2, 2.6,92.1, 0.1,
61.0, 3.7, 2.6,93.7, 0.1,
62.0, 1.6, 2.4,96.0, 0.1,
63.0, 1.7, 2.2,96.0, 0.1,
64.0, 2.2, 1.8,95.9, 0.1,
65.0, 2.7, 2.0,95.2, 0.1,
66.0, 4.1, 2.3,93.6, 0.1,
67.1, 5.2, 2.5,92.3, 0.1,
68.1, 2.6, 2.4,95.0, 0.1,
69.1, 1.6, 2.3,96.0, 0.1,
70.1, 1.9, 2.0,96.0, 0.1,
71.1, 2.5, 1.8,95.7, 0.1,
72.1, 3.2, 2.1,94.7, 0.1,
73.1, 4.4, 2.4,93.1, 0.1,
74.1, 4.5, 2.5,93.0, 0.1,
75.1, 2.0, 2.4,95.6, 0.1,
76.1, 1.7, 2.2,96.1, 0.1,
77.1, 2.1, 1.8,95.9, 0.1,
78.1, 2.7, 1.9,95.3, 0.1,
79.1, 3.8, 2.3,93.8, 0.1,
80.1, 4.5, 2.4,93.0, 0.1,
81.1, 3.5, 2.6,93.8, 0.1,
82.1, 1.7, 2.4,95.8, 0.1,
83.1, 1.8, 1.9,96.1, 0.1,
84.1, 2.5, 1.8,95.6, 0.1,
85.1, 3.1, 2.1,94.8, 0.1,
86.1, 4.1, 2.3,93.5, 0.1,
87.1, 4.6, 2.5,92.8, 0.1,
88.1, 2.4, 2.5,95.1, 0.1,
89.1, 1.7, 2.2,96.0, 0.1,
90.1, 2.1, 1.9,95.9, 0.1,
91.1, 3.1, 1.9,94.9, 0.1,
92.1, 3.4, 2.2,94.3, 0.1,
93.1, 4.0, 2.4,93.5, 0.1,
