time,load,runnable,cpu,idle,iowait,irq,net lo,net enp2s0,net wlp3s0,net docker0,
 1.0,7.05,2,6.69%,0.00%,0.00%,0.50%,0,183,123,0,
 2.0,6.56,2,6.75%,0.00%,0.00%,0.56%,0,63,63,0,
 3.0,6.56,1,2.50%,0.00%,0.00%,0.19%,782,46776,764,0,
 4.0,6.56,17,83.00%,0.00%,0.00%,0.25%,0,0,0,0,
 5.0,6.56,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
 6.0,6.56,17,100.00%,0.00%,0.00%,0.00%,0,195,0,0,
 7.0,7.32,17,100.38%,0.00%,0.00%,0.00%,0,249,126,0,
 8.0,7.32,17,100.06%,0.00%,0.00%,0.00%,0,0,208,0,
 9.0,7.32,17,99.94%,0.00%,0.00%,0.00%,0,120,60,0,
10.0,7.32,17,100.00%,0.00%,0.00%,0.00%,292,658,698,0,
11.0,7.32,17,100.00%,0.00%,0.00%,0.00%,0,323,60,0,
12.0,8.02,17,100.06%,0.00%,0.00%,0.00%,0,63,63,0,
13.0,8.02,17,100.38%,0.00%,0.00%,0.00%,0,273,0,0,
14.0,8.02,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
15.0,8.02,17,100.00%,0.00%,0.00%,0.00%,0,180,122,0,
16.0,8.02,17,100.00%,0.00%,0.00%,0.00%,0,195,0,0,
17.0,8.65,17,100.00%,0.00%,0.00%,0.00%,0,183,186,0,
18.0,8.65,17,100.38%,0.00%,0.00%,0.00%,0,0,0,0,
19.0,8.65,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
20.0,8.65,17,100.06%,0.00%,0.00%,0.00%,0,0,0,0,
21.0,8.65,17,99.94%,0.00%,0.00%,0.00%,0,183,60,0,
22.0,9.24,17,100.00%,0.00%,0.00%,0.00%,0,63,126,0,
23.0,9.24,17,100.00%,0.00%,0.00%,0.00%,0,612,429,0,
24.0,9.24,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
25.0,9.24,17,100.38%,0.00%,0.00%,0.00%,0,141,0,0,
26.0,9.24,17,100.06%,0.00%,0.00%,0.00%,0,1923,693,0,
27.0,9.78,17,99.94%,0.00%,0.00%,0.00%,0,1803,693,0,
28.0,9.78,17,100.00%,0.00%,0.00%,0.00%,0,1740,0,0,
29.0,9.78,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
30.0,9.78,17,100.44%,0.00%,0.00%,0.00%,0,0,0,0,
31.0,9.78,17,100.00%,0.00%,0.00%,0.00%,0,63,0,0,
