time,retire,frontend,backend,speculate,
 1.0,33.4,44.7,16.3, 5.6,
 2.0,22.4,64.5,10.3, 2.8,
 3.0,28.2,45.0,22.3, 4.6,
 4.0,16.5,45.2,33.9, 4.3,
 5.0,32.5,31.8,20.9,14.8,
 6.0,33.0,31.3,20.7,15.0,
 7.0,34.5,30.4,19.7,15.4,
 8.0,32.6,30.1,22.4,14.8,
 9.0,24.8,27.8,36.2,11.2,
10.0,35.6, 9.8,54.5, 0.1,
11.0,31.7, 8.3,54.9, 5.0,
12.0,13.2, 8.3,72.8, 5.7,
13.0,11.7, 7.9,74.8, 5.6,
14.0,11.2, 7.7,75.7, 5.5,
15.0,10.9, 7.2,76.6, 5.2,
16.0,10.3, 7.2,77.2, 5.2,
17.0,10.0, 7.0,77.9, 5.1,
18.0, 9.8, 6.9,78.3, 5.0,
19.0, 9.8, 6.7,78.6, 4.9,
20.0, 9.8, 6.6,78.8, 4.8,
21.0, 9.7, 6.5,79.0, 4.8,
22.0, 9.7, 6.4,79.2, 4.7,
23.0, 9.8, 6.4,79.1, 4.7,
24.0, 9.8, 6.5,78.9, 4.7,
25.0, 9.8, 6.5,78.9, 4.8,
26.0, 9.9, 6.6,78.7, 4.8,
27.0, 9.8, 6.8,78.4, 5.0,
28.0, 9.9, 6.9,78.2, 5.0,
29.0, 9.7, 6.8,78.5, 4.9,
30.0,10.0, 6.8,78.2, 5.0,
31.0, 9.8, 6.9,78.3, 5.0,
32.0, 9.9, 6.9,78.2, 5.0,
33.0, 9.9, 6.8,78.3, 5.0,
34.0, 9.9, 6.8,78.3, 5.0,
35.0,10.2, 6.8,78.0, 5.0,
36.0, 9.9, 6.9,78.1, 5.1,
37.0,10.1, 6.9,78.1, 5.0,
38.0,10.0, 6.9,78.0, 5.0,
39.0, 9.9, 6.9,78.3, 5.0,
40.0, 9.9, 6.9,78.2, 5.0,
41.0,10.0, 7.0,77.9, 5.1,
42.0,10.2, 6.9,77.9, 5.0,
43.0,10.1, 7.0,77.9, 5.1,
44.0,10.0, 6.8,78.2, 5.0,
45.0, 9.9, 6.9,78.2, 5.0,
46.0, 9.9, 6.9,78.1, 5.0,
47.0,10.0, 6.9,78.0, 5.1,
48.0,10.3, 6.8,77.9, 5.0,
49.0,10.0, 6.8,78.2, 5.0,
50.0,10.1, 6.9,78.0, 5.0,
51.0, 9.8, 6.9,78.2, 5.0,
52.0, 9.8, 7.0,78.1, 5.1,
53.0, 9.9, 7.0,77.9, 5.1,
54.0, 9.9, 7.0,78.0, 5.1,
55.0, 9.9, 7.0,78.0, 5.1,
56.0,10.0, 7.0,77.8, 5.2,
57.0, 9.9, 7.0,77.9, 5.1,
58.0, 9.9, 7.0,77.9, 5.1,
59.0,10.0, 7.0,77.8, 5.2,
60.0,10.0, 7.1,77.7, 5.2,
61.0,10.1, 7.1,77.5, 5.2,
62.0,10.1, 7.1,77.7, 5.2,
63.0,10.1, 7.1,77.6, 5.2,
64.0,10.2, 6.9,77.9, 5.0,
65.0,10.1, 6.8,78.1, 5.0,
66.0,10.0, 7.0,77.8, 5.1,
67.0, 9.9, 7.1,77.8, 5.2,
68.0,10.0, 7.1,77.7, 5.2,
69.0, 9.9, 7.0,77.9, 5.1,
70.0, 9.9, 7.0,77.9, 5.1,
71.0, 9.9, 7.0,77.9, 5.1,
72.0, 9.9, 7.0,77.9, 5.1,
73.0, 9.9, 7.0,77.9, 5.1,
74.0, 9.9, 7.0,78.0, 5.1,
75.0,10.0, 7.0,77.9, 5.1,
76.0, 9.9, 7.0,78.0, 5.1,
77.0,10.3, 7.3,77.0, 5.3,
78.0,14.4,10.6,68.0, 7.1,
79.0,12.6,10.5,69.8, 7.1,
80.0,11.4, 9.6,72.3, 6.7,
81.0,10.8, 8.6,74.3, 6.3,
82.0,10.8, 8.4,74.7, 6.1,
83.0,10.2, 7.5,76.9, 5.4,
84.0,10.1, 7.0,77.8, 5.1,
85.0,10.5, 6.9,77.7, 4.9,
86.0,10.6, 6.6,78.1, 4.7,
87.0,10.0, 6.5,78.9, 4.6,
88.0, 9.5, 6.4,79.4, 4.6,
89.0, 9.5, 6.4,79.4, 4.7,
90.0, 9.4, 6.4,79.7, 4.6,
91.0, 9.2, 6.3,79.8, 4.6,
92.0, 9.2, 6.2,80.0, 4.5,
93.0, 9.2, 6.3,80.0, 4.6,
94.0, 9.5, 6.4,79.5, 4.6,
95.0, 9.5, 6.3,79.6, 4.6,
96.0, 9.4, 6.4,79.6, 4.7,
97.0, 9.5, 6.5,79.2, 4.8,
98.0, 9.7, 6.6,79.0, 4.8,
99.0, 9.7, 6.6,78.8, 4.8,
100.0, 9.5, 6.5,79.3, 4.7,
101.0, 9.9, 6.6,78.6, 4.8,
102.0, 9.7, 6.6,78.9, 4.8,
103.0, 9.6, 6.7,78.7, 4.9,
104.0, 9.6, 6.7,78.7, 4.9,
105.0, 9.5, 6.8,78.7, 4.9,
106.0, 9.4, 6.7,79.0, 4.8,
107.0, 9.6, 6.7,78.8, 4.9,
108.0, 9.8, 6.7,78.5, 4.9,
109.0, 9.9, 6.8,78.5, 4.9,
110.0, 9.6, 6.8,78.6, 4.9,
111.0, 9.8, 6.8,78.4, 5.0,
112.0, 9.9, 6.8,78.4, 4.9,
113.0, 9.9, 6.6,78.8, 4.8,
114.0, 9.7, 6.5,79.0, 4.7,
115.0, 9.9, 6.7,78.5, 4.9,
116.0,10.0, 6.8,78.3, 4.9,
117.0, 9.9, 6.7,78.6, 4.8,
118.0,10.0, 6.7,78.5, 4.8,
119.0, 9.8, 6.7,78.6, 4.8,
120.0, 9.8, 6.8,78.6, 4.9,
121.0, 9.7, 6.7,78.9, 4.8,
122.0, 9.8, 6.7,78.7, 4.8,
123.0, 9.8, 6.7,78.6, 4.9,
124.0, 9.9, 6.8,78.4, 4.9,
125.0,10.6, 6.5,78.0, 4.8,
126.0,10.8, 6.4,78.1, 4.8,
127.0,10.2, 6.8,78.0, 5.0,
128.0,10.0, 6.6,78.5, 4.8,
129.0, 9.9, 6.7,78.6, 4.8,
130.0, 9.9, 6.7,78.5, 4.9,
131.0, 9.9, 6.7,78.6, 4.8,
132.0, 9.9, 6.7,78.6, 4.8,
133.0,10.0, 6.8,78.3, 4.9,
134.0, 9.9, 6.8,78.3, 5.0,
135.0, 9.8, 6.7,78.7, 4.9,
136.0, 9.9, 6.8,78.4, 5.0,
137.0,10.3, 7.0,77.6, 5.1,
138.0,10.2, 6.9,77.8, 5.0,
139.0, 9.9, 6.9,78.2, 5.0,
140.0, 9.7, 6.8,78.5, 5.0,
141.0, 9.7, 6.8,78.6, 4.9,
142.0, 9.7, 6.7,78.7, 4.9,
143.0,10.0, 6.8,78.2, 5.0,
144.0,10.2, 6.9,78.0, 4.9,
145.0,10.1, 6.8,78.2, 4.9,
146.0, 9.8, 6.7,78.6, 4.9,
147.0, 9.7, 6.6,78.9, 4.8,
148.0, 9.9, 6.7,78.5, 4.9,
149.0,10.2, 6.8,78.1, 4.9,
150.0, 9.6, 6.8,78.8, 4.9,
151.0, 9.6, 6.8,78.6, 5.0,
152.0, 9.7, 6.7,78.7, 4.9,
153.0,10.0, 6.7,78.4, 4.9,
154.0,10.1, 6.7,78.3, 4.9,
155.0,10.7, 6.9,77.5, 5.0,
156.0,10.1, 6.7,78.4, 4.8,
157.0,10.1, 6.7,78.3, 4.9,
158.0, 9.9, 6.7,78.4, 5.0,
159.0,10.2, 6.8,78.0, 5.0,
160.0,10.8, 6.9,77.3, 5.0,
161.0,10.5, 7.0,77.5, 5.0,
162.0,10.1, 7.1,77.7, 5.1,
163.0, 9.9, 7.1,77.8, 5.1,
164.0, 9.9, 7.1,77.8, 5.2,
165.0, 9.8, 7.1,77.8, 5.2,
166.0, 9.8, 7.0,78.0, 5.2,
167.0, 9.9, 7.1,77.9, 5.1,
168.0, 9.9, 7.1,77.9, 5.2,
169.0, 9.8, 7.1,78.0, 5.1,
170.0, 9.8, 7.0,78.1, 5.1,
171.0, 9.8, 7.0,78.0, 5.1,
172.0, 9.8, 7.1,77.9, 5.2,
173.0, 9.8, 7.0,78.1, 5.1,
174.0, 9.8, 7.0,78.0, 5.1,
175.0, 9.7, 7.0,78.2, 5.1,
176.0, 9.8, 6.9,78.2, 5.1,
177.0, 9.9, 6.9,78.1, 5.0,
178.0, 9.9, 6.9,78.2, 5.0,
179.0, 9.9, 6.9,78.1, 5.0,
