time,load,runnable,cpu,idle,iowait,irq,net lo,net enp2s0,net wlp3s0,net docker0,
 1.0,12.70,2,6.81%,0.00%,0.00%,0.69%,0,120,0,0,
 2.0,11.77,2,6.62%,0.00%,0.00%,0.31%,0,0,0,0,
 3.0,11.77,2,2.44%,0.06%,0.00%,0.19%,782,45792,0,0,
 4.0,11.77,17,64.38%,0.00%,0.00%,0.06%,0,246,0,0,
 5.0,11.77,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
 6.0,11.77,17,100.00%,0.00%,0.00%,0.00%,0,132,0,0,
 7.0,12.11,17,100.00%,0.00%,0.00%,0.00%,0,186,0,0,
 8.0,12.11,17,100.00%,0.00%,0.00%,0.00%,0,416,0,0,
 9.0,12.11,17,100.00%,0.00%,0.00%,0.00%,0,246,0,0,
10.0,12.11,17,100.06%,0.00%,0.00%,0.00%,0,0,0,0,
11.0,12.11,17,100.38%,0.00%,0.00%,0.00%,0,328,0,0,
12.0,12.42,17,100.00%,0.00%,0.00%,0.00%,0,180,0,0,
13.0,12.42,17,100.00%,0.00%,0.00%,0.00%,0,328,0,0,
14.0,12.42,17,100.00%,0.00%,0.00%,0.00%,0,126,0,0,
15.0,12.42,17,100.00%,0.00%,0.00%,0.00%,0,268,0,0,
16.0,12.42,17,100.00%,0.00%,0.00%,0.00%,0,1524,0,0,
17.0,12.71,17,100.00%,0.00%,0.00%,0.00%,0,1740,0,0,
18.0,12.71,17,100.00%,0.00%,0.00%,0.00%,0,1908,0,0,
19.0,12.71,17,99.94%,0.00%,0.00%,0.00%,0,1754,0,0,
20.0,12.71,17,100.00%,0.00%,0.00%,0.00%,0,694,0,0,
21.0,12.71,17,100.06%,0.00%,0.00%,0.00%,0,120,0,0,
22.0,12.97,17,100.00%,0.00%,0.00%,0.00%,0,246,0,0,
23.0,12.97,17,99.94%,0.00%,0.00%,0.00%,0,66,0,0,
24.0,12.97,17,100.00%,0.00%,0.00%,0.00%,0,402,0,0,
25.0,12.97,17,100.44%,0.00%,0.00%,0.00%,0,612,0,0,
26.0,12.97,17,99.94%,0.00%,0.00%,0.00%,0,552,0,0,
27.0,13.21,17,100.00%,0.00%,0.00%,0.00%,0,180,0,0,
28.0,13.21,17,100.00%,0.00%,0.00%,0.00%,0,549,0,0,
29.0,13.21,17,100.00%,0.00%,0.00%,0.00%,0,246,0,0,
30.0,13.21,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
31.0,13.21,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
32.0,13.44,17,100.06%,0.00%,0.00%,0.00%,0,120,0,0,
33.0,13.44,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
34.0,13.44,17,100.00%,0.00%,0.00%,0.00%,0,542,0,0,
35.0,13.44,17,100.00%,0.00%,0.00%,0.00%,0,150,0,0,
36.0,13.44,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
37.0,13.64,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
38.0,13.64,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
